[0] 3:20	[music]
[96] 9:23	Okay? So, think of it this way.
[97] 9:26	She would have had the same social
[98] 9:27	status as a high military commander
[99] 9:29	would have.
[100] 9:31	She wouldn't have been able to order
[101] 9:32	troops around that way. I mean, she
[102] 9:33	didn't have the same authority or
[103] 9:36	power that Potiphar had, but she had the
[104] 9:39	same social status
[105] 9:41	that Potiphar had.
[106] 9:44	So, when you have the disparity between
[107] 9:46	a slave
[108] 9:48	who's basically second from the bottom
[109] 9:50	of the strata totem pole
[110] 9:53	to
[111] 9:55	wife of a commander of the king's guard,
[112] 9:58	very high social status,
[113] 10:01	that disparity alone would have been
[114] 10:04	enough to cause a tremendous scandal.
[115] 10:08	So,
[116] 10:16	um
[117] 10:21	I don't understand.
[118] 10:23	Dark blade here, so not MR Mess.
[119] 10:27	I don't know what you mean by that.
[120] 10:29	But anyway, that's that's the that's the
[121] 10:32	relative difference in the question
[122] 10:35	uh there. Is it's it's it's quite a a
[123] 10:38	vast social leap.
[124] 10:41	Uh she would have been a member of the
[125] 10:43	pot people, which is the upper class,
[126] 10:45	not the remech, which is the lower
[127] 10:47	class.
[128] 10:48	So, it's it's the class distinction here
[129] 10:51	is very very
[130] 10:54	broad as such.
[131] 10:56	So, that would have been the crime here
[132] 10:58	even more than the um
[133] 11:02	It was less of a crime for her to commit
[134] 11:05	adultery
[135] 11:07	than it was to commit adultery with a
[136] 11:09	slave.
[137] 11:11	It's a violation of social norms, and
[138] 11:14	because it would have it was such a
[139] 11:16	violation of social norms, that would
[140] 11:19	have
[141] 11:20	incurred quite the punishment.
[142] 11:23	So,
[143] 11:25	hope that helps. Thank you for the
[144] 11:26	question. Really appreciate it.
[145] 11:36	>> Okay, next one here
[146] 11:38	is from
[147] 11:40	Nino KR.
[148] 11:42	Uh
[149] 11:44	person asks, "Thoughts on Steven L.
[150] 11:46	Anderson and how he affected the church?
[151] 11:48	Asking because like Greg Locke,
[152] 11:51	I've witnessed his influence and impact
[153] 11:53	on the church for years and how badly
[154] 11:55	affect and and it's badly affected the
[155] 11:58	gospel. Oh,
[156] 12:00	Anderson's a dirtbag.
[157] 12:02	Anderson is a dirtbag.
[158] 12:04	And I don't mind saying that.
[159] 12:08	Um
[160] 12:10	he
[161] 12:15	it's
[162] 12:16	I mean, okay, let's let's put this right
[163] 12:18	out here. He's an anti-Semite.
[164] 12:21	He's a Holocaust denier.
[165] 12:25	Uh he abuses imprecatory prayer by
[166] 12:29	praying for the death of his enemies
[167] 12:33	and people who he he opposes.
[168] 12:38	He was part of the independent
[169] 12:40	fundamental uh fundamentalist Baptist
[170] 12:43	sect
[171] 12:46	and found that they were too
[172] 12:47	conservative.
[173] 12:49	So
[174] 12:50	Oh, yeah. Oh, yeah, they were too They
[175] 12:53	were too They were too liberal. Too too
[176] 12:55	liberal. They were too liberal. The
[177] 12:58	independent fundamentalist Baptist were
[178] 13:00	too liberal for him.
[179] 13:06	Uh he not racist enough.
[180] 13:12	So
[181] 13:16	So he he started his own denomination
[182] 13:18	called the new independent
[183] 13:21	fundamentalist
[184] 13:23	Baptists.
[185] 13:26	Um
[186] 13:28	and it's gone full out heretical.
[187] 13:31	Okay? It's full out heretical.
[188] 13:34	Uh two doctrines in particular that are
[189] 13:36	believed by the new independent
[190] 13:39	fundamentalist Baptist sect
[191] 13:42	are that homosexuals cannot be saved.
[192] 13:47	Now,
[193] 13:50	Christ can save any sin.
[194] 13:54	That's the power of the gospel of Jesus
[195] 13:56	Christ. That's any sin can be
[196] 14:00	repented and saved. You can be saved
[197] 14:03	from.
[198] 14:04	Okay?
[199] 14:06	But there's the There's another part of
[200] 14:08	that sect that's also very heretical.
[201] 14:12	Which is the belief that Jesus paid for
[202] 14:14	sins by burning in hell.
[203] 14:19	Mrs. Producer is just looking at me like
[204] 14:22	I'm
[205] 14:23	talking about aliens here.
[206] 14:25	>> They are.
[207] 14:27	>> [laughter]
[208] 14:27	>> So, we're not talking about
[209] 14:28	Christianity.
[210] 14:30	>> Yeah.
[211] 14:31	Yeah, we're not talking Christianity.
[212] 14:33	Christianity has left the barn here.
[213] 14:40	So,
[214] 14:42	um he believes Jesus burned in hell for
[215] 14:44	sins,
[216] 14:45	which is so heretical it isn't even
[217] 14:47	funny.
[218] 14:48	He believes that homosexuals cannot be
[219] 14:50	saved, also heretical.
[220] 14:54	Uh he's KJV only.
[221] 14:56	No surprise there.
[222] 14:58	He's [snorts] a Holocaust denier and an
[223] 15:00	anti-Semite.
[224] 15:02	Prays for death upon his opponents. Like
[225] 15:04	for example, he's the infamous for
[226] 15:05	saying that he he he's prayed for Obama
[227] 15:08	to be killed.
[228] 15:11	He's a young earth creationist, a
[229] 15:12	dispensationalist, and he also is a
[230] 15:15	cessationist.
[231] 15:17	So,
[232] 15:18	he's your general all around scumbag.
[233] 15:22	And I have no problem saying that.
[234] 15:25	Okay, so
[235] 15:27	that's my thoughts on Steven L.
[236] 15:29	Anderson.
[237] 15:31	Uh hope you found that um
[238] 15:34	interesting.
[239] 15:38	Mama Ghost
[240] 15:42	Oh, so he's one of those and those and
[241] 15:45	those.
[242] 15:48	Yeah.
[243] 15:49	>> Ryan,
[244] 15:50	wow, is that all?
[245] 15:52	>> Ryan, [laughter]
[246] 15:53	wow, is that all?
[247] 15:56	Isn't that enough?
[248] 15:57	>> [laughter]
[249] 16:00	>> Mama,
[250] 16:01	um
[251] 16:05	>> Andrew
[252] 16:06	Graham, I'm sure there's more.
[253] 16:08	>> Andrew Graham, I'm sure there's more.
[254] 16:09	There there probably is.
[255] 16:11	But we're not going to go into it here.
[256] 16:14	We've We've gone into enough. That's all
[257] 16:16	we need to know.
[258] 16:19	>> [laughter]
[259] 16:20	>> Is there any square on the heretical
[260] 16:22	Christian bingo he missed?
[261] 16:24	>> Mama says, is there any square on the
[262] 16:26	heretical Christian bingo he missed?
[263] 16:28	I'm not saying there is, but
[264] 16:31	um there could be.
[265] 16:36	>> [laughter]
[266] 16:37	>> Milo Mortimer
[267] 16:39	Well, calling him homophobic would
[268] 16:41	actually be the right term to use.
[269] 16:44	He's not a Look, I don't think it's the
[270] 16:46	right term cuz that implies he's afraid
[271] 16:48	of them. He's not afraid of them.
[272] 16:50	He just dislikes them.
[273] 16:52	>> He just hates everything.
[274] 16:53	>> just hates them. I mean, he hates He
[275] 16:54	hates uh
[276] 16:56	He also believes in what's called
[277] 16:58	third degree separation.
[278] 17:01	And I love this one. This is one I
[279] 17:03	really
[280] 17:04	um
[281] 17:06	I think it's really uh
[282] 17:08	third degree separation. If you don't
[283] 17:10	know this already, a lot of
[284] 17:12	fundamentalists believe in second degree
[285] 17:15	separation. Okay?
[286] 17:17	Okay, what's second degree separation?
[287] 17:21	If
[288] 17:22	If If Mrs. Producer doesn't believe what
[289] 17:25	I believe,
[290] 17:26	I'm supposed to separate from her.
[291] 17:31	Okay?
[292] 17:32	And if she were If she believes what I
[293] 17:34	believe,
[294] 17:36	and she works with somebody who doesn't
[295] 17:38	believe what I believe,
[296] 17:41	then I'm supposed to disassociate from
[297] 17:42	her. That's second degree separation.
[298] 17:44	So, first degree separation, if she
[299] 17:46	doesn't believe what I believe, I
[300] 17:48	separate. Second degree, she works with
[301] 17:50	somebody who doesn't believe what I
[302] 17:52	believe, therefore I separate from her.
[303] 17:54	They believe in third degree separation.
[304] 17:59	Which is
[305] 18:01	if she
[306] 18:04	If she works with someone who believes
[307] 18:06	what I believe, but that person works
[308] 18:08	with somebody else that doesn't believe
[309] 18:11	what I believe, I'm supposed to shun
[310] 18:14	her,
[311] 18:15	the other believer,
[312] 18:17	and the guy that doesn't believe.
[313] 18:24	It's It's wacko.
[314] 18:26	This is just wacko stuff.
[315] 18:30	>> [laughter]
[316] 18:38	>> Uh Nino KR, it's concerning hearing some
[317] 18:40	of these, knowing his cult spread
[318] 18:42	throughout all denominations in order to
[319] 18:44	be saved in under true denomination. Oh
[320] 18:46	my Oh boy, shaking my Well, I don't
[321] 18:49	think
[322] 18:50	I don't think it's spread as much as
[323] 18:52	people think it does. It's one of those
[324] 18:54	things
[325] 18:56	Yeah, Slam RN says,
[326] 18:59	uh Stephen has an anger problem among a
[327] 19:01	few dozen other problems. Yeah, he does,
[328] 19:03	definitely. I mean, he he's he's known
[329] 19:05	for his tirades and outbursts.
[330] 19:09	And he's he's he's excommunicated all
[331] 19:12	his his four eldest children.
[332] 19:15	Dude has 12 children. Eight are still
[333] 19:18	minors. The four that are now adults
[334] 19:20	have been excommunicated from his
[335] 19:21	church.
[336] 19:23	Tells you what a great daddy he is.
[337] 19:28	>> Tells you what kind of God he serves.
[338] 19:29	>> Yeah.
[339] 19:32	Yeah, just oh my [laughter] gosh. Dude.
[340] 19:36	Dude.
[341] 19:38	>> Completely ignoring that you will know
[342] 19:40	them later.
[343] 19:42	>> Yeah, yeah.
[344] 19:43	Yeah, you'll know them as Christians by
[345] 19:45	their love, huh? Yeah.
[346] 19:52	Uh Chad Lunix says, "This is true in the
[347] 19:54	fundamental Baptist church I grew up in.
[348] 19:57	They had a school as well. They made
[349] 19:59	teachers sign a contract saying they
[350] 20:01	believe everything they believed.
[351] 20:02	Several teachers quit."
[352] 20:04	Yeah, I wouldn't be surprised with that.
[353] 20:10	Mama says, "That should disqualify him."
[354] 20:11	Oh, yeah. He's His house is in order. In
[355] 20:13	order.
[356] 20:14	You know, a man's house is not in order.
[357] 20:16	He's disqualified as being an elder.
[358] 20:18	Yeah. Biblically Biblically saying that
[359] 20:21	man should not be a pastor or an elder.
[360] 20:28	>> But he's claiming
[361] 20:30	his house is in order because he just
[362] 20:32	kicks people out.
[363] 20:33	>> Yeah, he just No, that is true. He does
[364] 20:35	claim his house is in order cuz he kicks
[365] 20:36	people out. Yeah.
[366] 20:42	>> What house should he be in?
[367] 20:44	>> Yeah, he wouldn't be in his house for
[368] 20:45	long, that's for sure.
[369] 20:49	Chad Lunix says, "Don't forget dancing
[370] 20:50	is a sin." Oh, yeah.
[371] 20:53	Dancing,
[372] 20:54	mild profanity,
[373] 20:57	alcohol,
[374] 20:58	0%
[375] 21:00	beer.
[376] 21:01	That one I thought was interesting.
[377] 21:04	>> [laughter]
[378] 21:05	>> 0% beer.
[379] 21:08	Beer that has zero al- alcohol in it,
[380] 21:11	but it looks like beer.
[381] 21:13	And because it has the the the aura of
[382] 21:17	sinfulness,
[383] 21:19	you can't drink it.
[384] 21:22	Because it has zero alcohol in it, but
[385] 21:24	it looks like alcohol.
[386] 21:28	Kind of like drinking Martinelli's,
[387] 21:29	right?
[388] 21:30	>> Yeah.
[389] 21:30	>> Looks like champagne.
[390] 21:33	It's carbonated grape juice or apple
[391] 21:36	juice
[392] 21:37	with no alcohol in it at all, but it
[393] 21:40	looks sinful.
[394] 21:41	Ooh. Ooh.
[395] 21:52	Ay, ay, ay.
[396] 21:54	Okay, with that said, let's move on to
[397] 21:56	the next question here.
[398] 22:01	Yeah, my voice is getting a little
[399] 22:02	clogged, so.
[400] 22:04	All right, next one is from uh Justin
[401] 22:06	the Rhino.
[402] 22:07	Asked, "In Luke 22:19-20,
[403] 22:10	what does the Greek for remembrance mean
[404] 22:12	in context of the moment? It's hotly
[405] 22:15	contested and feels like everyone has
[406] 22:16	their own emotional interpretation."
[407] 22:18	Pull up the Bible here.
[408] 22:20	>> [clears throat]
[409] 22:23	>> Okay, we're going to go to
[410] 22:25	Luke
[411] 22:28	22
[412] 22:31	19-20.
[413] 22:34	And the text reads, "And when he And
[414] 22:36	when he had taken some bread and given
[415] 22:38	thanks, he broke it and gave it to them
[416] 22:40	saying, This is my body which is given
[417] 22:42	for you.
[418] 22:44	Do this in remembrance of me.
[419] 22:48	And in the same way, he took the cup
[420] 22:49	after they had eaten and saying,
[421] 22:52	This cup which is poured out for you
[422] 22:55	is the new covenant of my blood."
[423] 22:57	All right, the question the the word in
[424] 23:00	question here is this remembrance.
[425] 23:02	Okay?
[426] 23:04	And it is
[427] 23:07	It is the word um
[428] 23:10	anam
[429] 23:13	anamnesis.
[430] 23:14	Okay?
[431] 23:16	And it comes from the Greek root
[432] 23:19	anamnesko
[433] 23:21	or anamneske
[434] 23:23	which means to remember. It quite
[435] 23:26	literally means call up again.
[436] 23:29	That's what it means. It's It's the same
[437] 23:31	word that we get the word mnemonic from
[438] 23:34	as in a mnemonic device to use
[439] 23:36	to remember something.
[440] 23:38	Okay?
[441] 23:40	So
[442] 23:42	there really isn't any question about
[443] 23:45	what the word means in the Greek. It
[444] 23:46	means to remember. And there's a lot of
[445] 23:49	uh of uses for this in other related
[446] 23:51	literatures as well where it's just used
[447] 23:54	as to mean
[448] 23:56	recall. Recall or remember.
[449] 24:00	So it's not memorize, it's not It's just
[450] 24:03	bring back into memory.
[451] 24:05	Reflect on it again.
[452] 24:08	That sort of thing.
[453] 24:12	So
[454] 24:14	I think that the question is a lot more
[455] 24:17	nuanced around People ask, "Well, is the
[456] 24:21	presence in the body or is this a
[457] 24:23	remembrance?"
[458] 24:25	Well, you know
[459] 24:27	I think this can be both.
[460] 24:29	Why can't it be both?
[461] 24:32	So I just I just don't
[462] 24:36	um
[463] 24:39	Dark Blade goes "Is it also why mnemonic
[464] 24:42	has an obnoxious silent M at the
[465] 24:44	beginning?" Yes, it is.
[466] 24:47	Yeah, it's the reason why mnemonic has
[467] 24:49	that obnoxious silent M in the minute at
[468] 24:51	the beginning. It's Greek.
[469] 24:53	Cuz in in in remembrance here, it would
[470] 24:55	be anamnesco.
[471] 24:59	Or anamnesis.
[472] 25:01	Yeah, so it is it is a an obnoxious end
[473] 25:04	of the beginning. It comes from the
[474] 25:05	Greek.
[475] 25:08	So,
[476] 25:11	um but in in the in the context of this
[477] 25:13	passage, it is really clear
[478] 25:16	that you're supposed to do this thing
[479] 25:20	in remembrance of him.
[480] 25:23	Anything else beyond that is is sort of
[481] 25:27	eisegesis, sort of intruding in on the
[482] 25:29	text to give it a meaning that
[483] 25:32	that the text isn't saying itself.
[484] 25:35	Now, I'm not denying that that's a
[485] 25:37	that's a legitimate reading, but what
[486] 25:39	I'm saying is in the light of the text
[487] 25:42	that we have here,
[488] 25:43	there really is no
[489] 25:46	um
[490] 25:47	there's no issue here of what the text
[491] 25:49	is saying. Okay? So, I hope that helps.
[492] 25:52	Thank you very much for the question.
[493] 25:54	Really appreciate it. It is to remember.
[494] 25:58	So,
[495] 25:59	if you do believe in real presence of
[496] 26:02	the
[497] 26:03	of Christ's body and blood in the
[498] 26:05	elements,
[499] 26:06	you can't also discount the remembrance
[500] 26:09	aspect, too, cuz that's in the text.
[501] 26:14	So, hope that helps. Thanks for the
[502] 26:16	question. Really appreciate it.
[503] 26:21	Okay, next one here.
[504] 26:25	It's also from
[505] 26:28	um
[506] 26:29	Justin Rhino.
[507] 26:31	In the discussion of the true church, is
[508] 26:33	the perspective the church has more to
[509] 26:36	say about God's will than God?
[510] 26:39	Uh I only ever hear about what the
[511] 26:41	church says, never what what God never
[512] 26:43	what God says.
[513] 26:45	Um
[514] 26:48	I think this is going to depend upon
[515] 26:49	which church tradition you're coming
[516] 26:51	from.
[517] 26:54	Um I know in Eastern Orthodoxy they will
[518] 26:56	also say the church says
[519] 26:59	as though the church is speaking on
[520] 27:02	behalf of God.
[521] 27:04	And I think there's there's a kind of a
[522] 27:05	warning line we have to be very very
[523] 27:07	careful of
[524] 27:09	if you want to take that approach,
[525] 27:11	which is it is possible to turn the the
[526] 27:13	church into a kind of idol.
[527] 27:15	It's totally possible
[528] 27:17	where the church is speaking instead of
[529] 27:19	God.
[530] 27:21	That's idolatry.
[531] 27:24	So, I think we got to be very There's a
[532] 27:27	very careful line there when one sort of
[533] 27:30	elevates
[534] 27:32	that church the the the status of the
[535] 27:35	church as being the vessel that speaks
[536] 27:39	in lieu of God himself.
[537] 27:41	The problem is we don't have that
[538] 27:43	authority
[539] 27:45	from
[540] 27:46	what God has said
[541] 27:49	to presume to speak as God.
[542] 27:53	I think that's a very careful line that
[543] 27:54	we have to be careful never to cross.
[544] 28:02	And I'm not to beat on Orthodox here.
[545] 28:05	I've seen Catholics do the same thing.
[546] 28:08	Seen Catholics do this exact same thing.
[547] 28:12	So, it is something that say big
[548] 28:14	magisterial churches tend to have a
[549] 28:18	um tendency to towards.
[550] 28:22	So,
[551] 28:23	now the whole discussion of the true
[552] 28:26	church is also
[553] 28:29	a a can of worms. It's a total can of
[554] 28:32	worms.
[555] 28:34	>> [snorts]
[556] 28:34	>> Like
[557] 28:35	prior to 1054,
[558] 28:37	Eastern Orthodoxy,
[559] 28:40	which was still part uh combined with
[560] 28:43	Roman Catholicism, could claim
[561] 28:45	to be the only true church.
[562] 28:49	That is That was a absolutely
[563] 28:53	reasonable bonafide claim prior to 1054
[564] 28:58	cuz there were no other recognized
[565] 29:01	groups of Christianity.
[566] 29:04	Okay?
[567] 29:05	Prior to 1054.
[568] 29:07	Yeah, there were some some
[569] 29:10	Yeah, the Coptic Orthodox, but they're
[570] 29:11	they were still sort of under that that
[571] 29:14	big umbrella. Okay?
[572] 29:16	After 1054, you really couldn't make
[573] 29:18	that claim anymore.
[574] 29:21	And
[575] 29:23	the problem is when you adhere to
[576] 29:25	tradition
[577] 29:26	without recognizing its temporal
[578] 29:28	aspects,
[579] 29:30	you can get into to this cycle of
[580] 29:33	saying, "Well, the true church is this
[581] 29:35	one ecclesiastical body as opposed to
[582] 29:38	the universal church."
[583] 29:42	So,
[584] 29:42	>> [clears throat]
[585] 29:44	>> so even that old discussion around what
[586] 29:46	constitutes the true church is a can of
[587] 29:48	worms.
[588] 29:51	No church could today No ecclesiastical
[589] 29:53	body
[590] 29:54	can claim in good conscience to be the
[591] 29:58	true church.
[592] 30:00	It is only the true church as long as
[593] 30:03	it's part of the universal church.
[594] 30:07	So,
[595] 30:09	uh so even that aspect of this question
[596] 30:12	is is full of weeds. It's full of weeds.
[597] 30:16	So, anyway, I hope that helps. Thank you
[598] 30:18	for the question. Really appreciate it.
[599] 30:22	Next here is from Mr. White
[600] 30:25	uh who said asks, "Is there a problem
[601] 30:29	saying that the late bronze 2B mudbrick
[602] 30:31	wall at Jericho was a casemate
[603] 30:33	considering the foundation according to
[604] 30:34	Myko Nigro
[605] 30:36	was only 2 m wide?" Um no, it's not. Um
[606] 30:40	we don't have most of the 2B wall,
[607] 30:42	anyway.
[608] 30:43	Uh, the what we have is a remnants of a
[609] 30:47	2A wall
[610] 30:50	without destruction layer.
[611] 30:55	So, because we have the 2A wall with no
[612] 30:57	destruction layer,
[613] 30:59	there is inferred a 2B wall that would
[614] 31:02	have sat on top of the 2A wall.
[615] 31:07	Now,
[616] 31:08	>> [clears throat]
[617] 31:08	>> there are also some remnants of the um
[618] 31:11	casings, too.
[619] 31:13	So, we don't just have the 2-m wide
[620] 31:15	wall. Now, that 2-m wide wall is the
[621] 31:17	exterior wall.
[622] 31:19	We do have evidence of the casings.
[623] 31:23	Um, it's not not not all over the place,
[624] 31:26	but we do have have some evidence of the
[625] 31:28	casings.
[626] 31:29	And
[627] 31:31	um, what we're missing is the interior
[628] 31:33	wall.
[629] 31:35	That's what we're missing. So, we've got
[630] 31:37	the exterior wall, we've got the casing
[631] 31:39	walls,
[632] 31:40	but we don't have What we don't have is
[633] 31:42	the interior wall.
[634] 31:45	If we had the interior wall, this would
[635] 31:47	be a slam dunk.
[636] 31:49	But, the interior wall is for some
[637] 31:52	reason missing, and we don't exactly
[638] 31:53	know why. Probably cuz of the site
[639] 31:56	leveling.
[640] 31:58	So, it does appear that site leveling
[641] 32:00	may have been involved with the with
[642] 32:03	um with the removal of that interior
[643] 32:05	wall.
[644] 32:06	So, I hope that helps.
[645] 32:10	Okay, next on the question here
[646] 32:15	is from Chau Yee.
[647] 32:17	Uh, for 50 uh
[648] 32:19	um Myanmar rand.
[649] 32:22	Uh, he asks, "How will you explain
[650] 32:24	theology of Christ's divinity in John
[651] 32:26	17:22
[652] 32:28	20 to 22 to Mormons and Muslims?"
[653] 32:32	Ooh.
[654] 32:33	Um,
[655] 32:36	I wouldn't.
[656] 32:38	I wouldn't.
[657] 32:40	Here's Let Let's look at the text and
[658] 32:42	then I'll explain why I wouldn't even
[659] 32:44	try to explain this to to Muslims and
[660] 32:47	Mormons. Okay?
[661] 32:50	John
[662] 32:53	17
[663] 32:57	20
[664] 32:59	to 22.
[665] 33:00	Okay.
[666] 33:02	And the text reads,
[667] 33:03	"I do not ask in behalf of these alone,
[668] 33:06	but for those also who believe in me
[669] 33:08	through their word,
[670] 33:09	that they may be all that they all may
[671] 33:12	be one, even as you, Father,
[672] 33:15	are in me and I in you,
[673] 33:19	that they may also be be in us,
[674] 33:23	that the world may believe that thou
[675] 33:25	that you did sent me.
[676] 33:27	And glory which thou has given me I have
[677] 33:30	given to them,
[678] 33:31	that they may be one, just as we are
[679] 33:34	one. Okay.
[680] 33:36	Here's the problem when we're talking to
[681] 33:39	Mormons and Muslims.
[682] 33:41	In the case of Mormons,
[683] 33:43	uh they have redefined a lot of these
[684] 33:46	terms
[685] 33:48	to
[686] 33:50	to come up with different
[687] 33:51	interpretations.
[688] 33:53	Okay?
[689] 33:56	So, when they see one here, they're not
[690] 33:58	seeing one in essence.
[691] 34:02	They're seeing one in purpose.
[692] 34:06	So, they have defined the Shema.
[693] 34:09	You know, "Hear, O Israel, the Lord thy
[694] 34:11	God, the Lord is one."
[695] 34:13	Uh and then you compound that with
[696] 34:16	Isaiah 44:6, which is
[697] 34:19	um
[698] 34:20	"Thus says the Lord, um king of Israel
[699] 34:24	and his redeemer, the Lord of hosts, I
[700] 34:26	am the first I am the last, there's no
[701] 34:29	god beside me." You know, that's very
[702] 34:31	strong statement of monotheism with two
[703] 34:34	persons.
[704] 34:37	is something that Mormon theology
[705] 34:39	doesn't deal with, but if you take John
[706] 34:40	17:20-22
[707] 34:42	alone, they've already got a pat answer
[708] 34:44	for that, which is saying it's one of
[709] 34:46	purpose.
[710] 34:49	So, for them
[711] 34:52	because they're essentially polytheists.
[712] 34:54	Mormons are polytheists.
[713] 34:56	This comes directly out of the Book of
[714] 34:59	Abraham.
[715] 35:01	So, because the Book of Abraham
[716] 35:03	posits that um that there isn't one god,
[717] 35:08	but there's many gods
[718] 35:10	all over the place
[719] 35:13	of equal authority and of power.
[720] 35:18	You are They are stuck in that position
[721] 35:20	where they're going to reinterpret this
[722] 35:23	in light of say that polytheism.
[723] 35:27	Now, strictly speaking, they're not
[724] 35:29	polytheists. They're henotheists.
[725] 35:32	They believe there are many gods, but
[726] 35:33	they owe their allegiance to one of
[727] 35:35	them.
[728] 35:37	So,
[729] 35:38	so in this particular case, they believe
[730] 35:41	that that one is is strictly one in
[731] 35:43	unity, and they will just keep saying,
