[0] 0:00	[Music] foreign
[164] 18:56	but King abgar V
[165] 19:01	um uh I've got my doubts I got my doubts okay so I'm gonna leave it at that thank
[166] 19:07	you very much for the question I hope that helped uh you gotta take every one of these these sort of letters on a
[167] 19:13	case-by-case basis some of them are going to be legitimate some of them are not
[168] 19:19	we and you have to sort of Judge to see what's likely what's credible the
[169] 19:24	language of these letters will often sort of give you a hint what which way to go on this
[170] 19:29	you know so anyway thank you very much for the question very very much appreciated
[171] 19:41	okay brick creation and this will be our last non-super chat before grid into Super chats
[172] 19:46	is the mention of tuba Kane being a craft man with iron and bronze gen s42
[173] 19:52	scissors iron chariots judges four three problematic would it be anachronistic
[174] 19:58	since iron was craft in the Iron Age sometime okay we have got to understand okay these are
[175] 20:05	two separate questions let's parse this okay
[176] 20:10	tubal cane tubal cane is not just an ancestor
[177] 20:17	it's also a regional designation we're basically part of Israelite Ethan in me
[178] 20:24	uh you look at the uh basically how Israel sort of views the world it views
[179] 20:32	it by ethnicity and tribes and basically sort of ethnic designations
[180] 20:39	tubal cane is very much what we would call turkey today
[181] 20:45	this is what we call turkey so what they're doing is doing a retrojection they're doing a retro injection and
[182] 20:52	basically saying that you know they're not saying that the literal tubal cane they're pretty flood
[183] 20:59	tubal crane developed iron the craft of iron in bronze what they're saying is
[184] 21:05	that the area where tubal cane uh settled is
[185] 21:11	now today known for ironic bronze so they're doing a retrojection here in
[186] 21:16	Genesis 4 22. and retrojection is all through Genesis so we have to kind of expect this
[187] 21:23	okay now visceros iron chariots
[188] 21:30	doesn't explore three are different uh cicera is part of the hot soar
[189] 21:37	Confederacy you know hatsor had been destroyed but still the kingdom of hatsor was in sort
[190] 21:44	of in place maybe in another another town but it had it had still maintained
[191] 21:50	its it's Kingdom integrity despite uh being destroyed by Deborah
[192] 21:57	so we have to understand that hot soar as a
[193] 22:02	kingdom had strong trade ties with the hittite empire
[194] 22:07	they were part of that sort of hit amirites Kingdom that also had
[195] 22:14	trading ties with Mari and the Hittites
[196] 22:20	and the Hittites had had iron since the early second millennium
[197] 22:25	so long before iron craft came into Canaan
[198] 22:31	the Hittites were already Manufacturing iron Goods
[199] 22:38	so we aren't told where Cicero gets his iron chariots from
[200] 22:43	that's an important detail because it would be different if it said
[201] 22:49	well Cicero made iron chariots or his his Craftsman made iron chariots
[202] 22:57	but the fact is that the Hittites were selling iron implements all over the
[203] 23:03	place this was an important trade point for
[204] 23:08	the Hittites so Cicero being say part of that hats or
[205] 23:14	Confederacy would have easily had trade connections with the Hat type hittite
[206] 23:19	Empire and thus been able to buy himself iron chariots or at least the components to make iron
[207] 23:26	chariots so the fact is that the Iron Age occurs
[208] 23:32	in different at different times in different places like for example it's it it's very early
[209] 23:39	on as I said early second Millennium in the hittite Empire it's
[210] 23:45	a little later in Canon and then it's even later in Egypt
[211] 23:50	even later in Egypt so
[212] 23:56	like for example in in Canaan the irony doesn't occur until the 12th century BC
[213] 24:01	doesn't occur in Egypt until the 10th Century BC
[214] 24:06	so you've got very the the Iron Age is not ubiquitous across all the ancient
[215] 24:13	years it occurs differently at different times for different specific regions
[216] 24:19	as I said earlier for the Hittites the later for the canine and then later again for uh the Egyptians so it is very
[217] 24:27	very likely that Cicero imported these iron chariots for his for the use of his
[218] 24:33	army so anyway thank you very much for the question I hope that answered the question and I very much appreciate it
[219] 24:41	okay
[220] 24:46	we are now going to get into Super chats here our first step Super Chat here is from Andrew Cahill for ten dollars thank you
[221] 24:53	very much Super Chat in a previous live stream somebody mentioned an inscription with
[222] 25:00	the name Jared ball can you go into a little more detail explaining the context dating and where
[223] 25:06	it was found and why you think it's Gideon okay um
[224] 25:12	I can't remember exactly where it's found at the top of my head I it was not
[225] 25:17	in this specific area where Gideon was sort of ruled so it's not in in Judah or anywhere around there
[226] 25:24	um I I'd have to look up again where it is um because it's just not something on the top of my head here
[227] 25:30	uh but the issue comes around the name Jero
[228] 25:35	ball which means let go let ball the god ball contend with him
[229] 25:42	and that's a very very interesting name
[230] 25:48	very interesting because uh Jero ball is not a name you'd give a child it's
[231] 25:54	not a flattering name it's not a compliment okay
[232] 26:02	it's basically it's basically a a name that you would give it to someone who's
[233] 26:09	and you hear the story for example in judges where
[234] 26:15	uh Gideon destroys the ephot he destroys the idol and the townspeople are Furious they're
[235] 26:22	absolutely Furious and they go up to him and they go up to his father and say control your son
[236] 26:30	and getting his father says well
[237] 26:37	you know General ball let ball deal with him okay you you guys think that ball is
[238] 26:44	such a great God let him deal with with Gideon so it's not this is not so this is not a
[239] 26:50	name you give your kid okay this is a nickname you earn okay
[240] 26:57	Okay so Okay so given that the amount of people that
[241] 27:05	would actually have that as a given name are very small we find for example like
[242] 27:12	for example uh the name nabal name all means fool okay Abigail's husband in the Texas
[243] 27:18	record as nabal now nobody would be given the name nabal as a no mother gives their gives their child the name
[244] 27:24	nabel they bought the name you word okay you don't you don't you're not born
[245] 27:31	with the name fool okay and likewise Gideon was not born with
[246] 27:37	the name Joe ball he's given that name and and that's as a result of of how he
[247] 27:45	behaves and as a result the chances of when
[248] 27:50	you've got a given name like that as opposed to a name that you are born with the chances of it of A Shard having that
[249] 27:59	name applying to some other random person is a lot lot smaller
[250] 28:04	so it comes down to statistics it comes down to probability
[251] 28:10	and given that there's very low probability that would anyone would give their kid the name Jero ball
[252] 28:17	the likelihood then that this is Gideon goes way up so anyway that's my thinking behind this
[253] 28:24	thank you very much for the Super Chat very very much appreciate it
[254] 28:30	okay the next Super Chat here from comes from uh Andrew Cahill for ten dollars thank you very much Super Chat in grad
[255] 28:37	school or earlier did you ever participate in any field work either excavation and epigraphy yes I did very
[256] 28:44	very briefly participate at the excavation at teleborg if so where did you work and what was
[257] 28:50	your best story from those days okay uh I actually worked off off site so I was
[258] 28:56	working with arrowheads and um uh Javelin uh points so for me it was
[259] 29:04	much more uh dealing with sort of the data after the fact so while I did
[260] 29:09	participate in the excavation I was not there on site uh you have to understand that most of
[261] 29:15	what I did was basically I'm a literary scholar I do most of my work behind the scenes
[262] 29:21	so for me I'll work with I will I will work with artifacts
[263] 29:26	like for example if they recover artifacts I will examine them and I will do analyzes of artifacts I'm not really a digger
[264] 29:33	okay I don't do on-site excavations that's that's not part of my what I
[265] 29:38	specialize in I'm more of a specialist in say Antiquities uh objects of uh
[266] 29:47	uh of material culture like arrowheads like
[267] 29:52	um Furniture uh jewelry that sort of thing so I'm more into objects I'm more into
[268] 29:58	objects than actually digging away things so once they dig them up then yeah okay I'm in my glory here and
[269] 30:04	that's where I dig so that's where I really do most of my
[270] 30:10	work so I'm not really in the field and um as I said the archaeological field where I'd actually go to a site and I
[271] 30:16	dig and frankly you get Scholars of all different varieties in this field you
[272] 30:21	get some who are diggers uh field archaeologists you do get some who are say us uh sexual Scholars
[273] 30:30	the the field has a huge diversity of different roles and I'm more fit into
[274] 30:36	that more the uh the scholarly end of this than actually the Practical field
[275] 30:43	archeology end of this so I hope that answered your question uh
[276] 30:48	thank you for the Super Chat I very much appreciate it
[277] 30:53	and he follows this up with a sex Super Chat thank you very much for Super Chat just in case your answer to my previous
[278] 31:00	question is no sorry if it was no but I try to give you something anyway also
[279] 31:07	ask what existing field projects excavation or uh epigraphy I need to slow down
[280] 31:14	would you want to join most given the chance oh boy I can tell you okay this one I can tell you
[281] 31:22	I'm so envious of James Hoffmeyer right now he's right now in Sudan
[282] 31:28	digging at the at the mortuary temple of taharka
[283] 31:33	I was so love to be on that dig it's not even funny
[284] 31:39	when I heard he was going there and I got left behind it was just like oh really
[285] 31:46	that is I would love I would give I
[286] 31:51	would give my my left arm to go on that dig you know that is the the the chance to go and dig at the
[287] 31:59	funeral Temple of taharka would just be just fabulous
[288] 32:04	fabulous okay 25th Dynasty you know
[289] 32:10	P not just not just Mortuary Temple but a pyramid it's a pyramid air excavation
[290] 32:16	around the site and what's cool about Sudan unlike Egypt is you can bring some stuff home
[291] 32:24	okay digging in Sudan is super special
[292] 32:30	it's not like digging in Egypt it's not like digging into Israel and it's not like digging in Jordan all those countries have strict
[293] 32:37	Antiquities laws where if you find anything at all you
[294] 32:42	can't take it with your home so what this means is that there's you
[295] 32:48	can't bring materials home to teach so you don't have any teaching examples
[296] 32:55	Sudan is one of the few countries that still allows you to take uh artifacts of
[297] 33:01	minor archaeological significance like pot shards home to
[298] 33:08	um um to teach essentially frankly they don't have the
[299] 33:14	facilities to House part charged anyway so for them this is this isn't you know
[300] 33:19	they can preserve it without them having to Fork out the expense so yeah Sudan would be a cool cool place
[301] 33:27	to dig totally awesome place to dig especially if you're on an authorized
[302] 33:33	dig so that's the one dig I'd love to be on right now absolutely would love it
[303] 33:40	uh so I obviously won't be able to be on that dick because it's happening right now
[304] 33:46	but if I could be on that dig I would so anyway thank you very much the Super Chat very very much appreciated
[305] 33:58	our next Super Chat is from the Camilla part for five dollars thank you very much for the Super Chat
[306] 34:03	which Bronze Age Nations peoples are representing in the Jaffa thoughts of
[307] 34:09	Genesis 10 1-5 all right let's pull up the text
[308] 34:16	here
[309] 34:22	Genesis 10 [Music] one through five now these are the
[310] 34:29	records of the generations of Shem ham and japheth the sons of Noah and the sons were born to them after the flood
[311] 34:35	the sons of Japans were Gomer and Magog madai and Javon tubal and mesh and
[312] 34:40	tirish and the sons of Gomer were ashkenas and Rafa and togoma and the sons of japath
[313] 34:48	were Elisha and tirshish kitim and
[314] 34:54	and from these coastlines of the nations were separated into lands each one according to the language according to
[315] 34:59	the families and their Nations okay now of all the this is part of What's
[316] 35:05	called the table of Nations which is how mankind separated After the
[317] 35:10	flood now of the three lines the lines of ham
[318] 35:16	lines of Shem and limes of japath we've got the least details about the line of
[319] 35:22	japheth the so-called japethites okay but we are given some evidence here
[320] 35:32	now all the names that we have here uh Magog
[321] 35:38	that's turkey and madai is is probably very very close
[322] 35:43	by so it you would probably madai would be say Eastern Turkey
[323] 35:50	the uh say uh tarshish that's Spain
[324] 35:56	we're talking now about the Greek Islands okay so the Nations here are
[325] 36:02	basically going from say the Caucasus they're spreading into turkey and
[326] 36:08	they're Crossing across Southern Southern Med uh the southern European
[327] 36:14	Coast North coast of the Mediterranean and they're settling all the way to
[328] 36:20	Spain that and that's cool right here that mentions tarshish because tarshish is well known that's Spain
[329] 36:28	so we are definitely getting a representation of say the Indo-European
[330] 36:34	peoples that are settling across northern Europe or sorry southern Europe
[331] 36:39	and they're gonna they're gonna spread up in the northern Europe too so so that's sort of the Bronze Age peoples
[332] 36:45	that being represented here is Southern European Northern Mediterranean
[333] 36:51	uh Coastal people basically going from caucuses into to to Turkey and Anatolia and then into the
[334] 36:58	Greek Isles and then through the Italy and Spain
[335] 37:04	so anyway I hope that answers your question thank you very much for the Super Chat we really really much appreciate it
[336] 37:14	okay our next Super Chat here
[337] 37:20	um all right yeah that's right okay from gnp17 for three dollars thank
[338] 37:26	you very much Super Chat what is the context of the second commandment let's look up what the second
[339] 37:31	commandment is again it would have been uh really really helpful if you had included a
[340] 37:38	verse here uh because the second commandment is going to how you name the second
[341] 37:45	commandment here is going to vary by tradition some traditions are going to re basically say
[342] 37:53	um are going to number these Commandments differently so I've got to kind of take a guess here because you
[343] 37:58	didn't include the verse which commandment you mean so nope sorry Universe none of characters
[344] 38:05	okay if you put it in the super if you put in live stream right now I'll know which verse so tell me which verse I'll
[345] 38:12	wait for 10 seconds and while I pull up my Bible here I'm gonna assume you're taking it from
[346] 38:18	from Exodus 20. all right uh so which one is it I can see you in
[347] 38:25	in the live stream here okay gnp70 so
[348] 38:31	uh um okay well
[349] 38:38	uh you should have known uh I believe you mean
[350] 38:43	without any other other context here I okay you should not okay you're talking verse four awesome
[351] 38:49	awesome okay great all right verse four you shall not make yourself
[352] 38:55	an idol or any likeness of what is in the heaven above or on the earth below or on the alike on the water under the
[353] 39:02	Earth You shall not worship them or serve them for I the Lord your God am a jealous God visiting the iniquity of
[354] 39:09	fathers on the children on the third and fourth generation on those who hate me but showing loving kindness to thousands
[355] 39:16	to those who love me and keep my Commandments okay
[356] 39:22	now the particular hey
[357] 39:27	hey gmp70 don't worry about it it happens don't worry about it we're good we're good don't cry okay we're we're
[358] 39:35	good okay uh the the here is the idea of making an
[359] 39:42	idol okay and an idol is something very very specific in the ancient Aries
[360] 39:49	an idol an idol in the Old Testament context now
[361] 39:55	it's going to change for the New Testament and we won't get into that because that's that's different again the an idol in the Old Testament context
[362] 40:02	is you're building a proxy body for a god
[363] 40:07	and then you're trapping him in it okay your you're building this aisle you're
[364] 40:14	trapping the spirit of the god in the idol and then you're either keeping him there by coercion or because you're
[365] 40:22	treating him so well he doesn't want to leave and then you're sort of appeasing him to
[366] 40:28	get what you want or you're extorting him to get you what you want and where whichever one that is will depend on
[367] 40:33	what culture you're from in the ancient you're in sorry in the ancient Aries is sort of different like
[368] 40:39	for example in Egypt in Egypt you treat your Gods really really well
[369] 40:44	their aisles really really well so that they would be happy and give you
[370] 40:50	blessings and wouldn't be vindictive against you in Canaan you trap the Gods in an idol
[371] 40:58	and then you extorted them because they're trapped
[372] 41:03	to give you what you want [Laughter] so that's the context of this
[373] 41:12	commandment is you're essentially making an idol to manipulate God
[374] 41:20	and what the Commandment here is telling you is Yahweh isn't like that
[375] 41:26	he can't be manipulated so don't create an idol to think you can
[376] 41:33	even manipulate me so that's what he is saying here
[377] 41:38	is you can't manipulate Yahweh you always Beyond manipulation
[378] 41:45	he is absolutely Sovereign and absolutely holy
[379] 41:53	so this is very very different than the gods of the ancient near East
[380] 42:00	this these are Yahweh is a god that is beyond all other gods
[381] 42:06	he never sleeps he's holy he's always Sovereign and always on the throne
[382] 42:13	and because of that he cannot be manipulated in the same way as say the other gods of the ancient
[383] 42:20	near East so that is the context of what's going
[384] 42:25	on here so don't make yourself any Idol of anything above the Earth that's in
[385] 42:30	heaven or in the earth below or in the water because they're all second-rate gods
[386] 42:39	so I I hope that answered your question thank you very much for the Super Chat I very very much appreciate it
[387] 42:48	our next Super Chat here is from Jan B17 again for finals thank you very much for
[388] 42:54	the Super Chat can you explain what's happening in with the lying Spirit In First Kings 22 20-23
[389] 43:02	sure battle again
[390] 43:08	and we'll go to First Kings
[391] 43:15	22. verse 23 oh my gosh
[392] 43:21	uh we just are getting an inundation of super chats here I did not expect this
[393] 43:27	uh okay uh verse 20 I'm sorry I'm a
[394] 43:32	little bit overshot this a little
[395] 43:39	okay I'll start verse 19 just for hopefully Mabel because and Micaiah said
[396] 43:44	therefore hear the word lawyer I saw the Lord sitting on his throne and all the hosts of Heaven standing by him on his
[397] 43:50	right and left and the Lord said who will entice Ahab to go and fall at Ramos
[398] 43:55	Gilead and once said this while another said that so you've got sort of what we have
[399] 44:02	here is kind of a Heiser risk Council of gods going on here verse 21 then a Spirit came forward and
[400] 44:09	stood before the Lord and said I will entice him and the Lord said how and he said I will
[401] 44:16	go out and be a deceiving spirit in the mouth of All His prophets and then he said you are to entice him
[402] 44:22	and also Prevail go and do so now therefore behold the Lord has put a
[403] 44:30	defeating spirit in the mouth of all these prophets and the Lord has proclaimed disaster against you
[404] 44:37	okay a theologians called this one of those
[405] 44:43	difficult passages how can the Lord send a deceiving spirit
[406] 44:49	now one of the things we have to be careful
[407] 44:55	of here is understanding the difference between primary and secondary causes
[408] 45:01	primary causes are essentially those causes that God himself absolutely ordains
[409] 45:08	he basically says I ordain this and it will happen
[410] 45:14	this is not quite a primary cause this is more along the line of a secondary cause and if you read the Tran
[411] 45:21	Westminster Confession it sort of delineates this really really well which
[412] 45:26	is that God ordains all things but he doesn't
[413] 45:31	cause all things those things that are primary causes
[414] 45:38	God ordains and causes those are secondary causes God allows it
[415] 45:46	gains in that he allows it but he didn't cause it this is how we reconcile for example
[416] 45:52	human beings doing evil and yet it's still within the sovereignty of God
[417] 45:58	there's a limit to what men can do as far as their evil goes
[418] 46:04	but that limit is within the purview of God himself
[419] 46:09	so God ordains it in the in the in the respect that he allows it to happen even
[420] 46:15	though he doesn't condone it so what we have here with the lying spirit is that there's a call there's a
[421] 46:24	need for Ahab to go and fall at Ramos Gilead
[422] 46:31	but God opens it up to the Council of of gods of spirits to say okay how do you
[423] 46:39	want to execute this he's giving that that autonomy to that Council
[424] 46:46	and one spirit that's up the plate and say hey I'll do it I want to do some evil let me do it
[425] 46:54	and God says all right how are you gonna do this I'm gonna put a lying lying lip uh words into the
[426] 47:01	bounces of prophets okay go do it
[427] 47:06	God's not necessarily approving of it but it's within the Sovereign will that
[428] 47:12	he allows so these Spirits are acting as secondary causes
[429] 47:19	so this is how we reconcile this passage is that these these lying Spirits are
[430] 47:25	acting as secondary causes ordained but within sort of the the
[431] 47:32	Divine purview of what God would allow yet not necessarily condoned
[432] 47:39	and we know from from what we when we understand of the Divine Council that the Divine council did not do what they
[433] 47:46	were always told they're they're acting as agents often
[434] 47:51	outside of the Sovereign will of God perfect will of God even though it's
[435] 47:57	within the ordained will so anyway I hope that explains this thank you very much for the Super Chat
[436] 48:04	very very much appreciate it
[437] 48:09	our next Super Chat uh is uh from Cole Walker for ten dollars thank you very much for Super Chat
[438] 48:15	I'd like to sponsor of non-super chat well excellent and we have selected here Mr Rich B.o.B
[439] 48:24	uh it's question did the Egyptians have codices or only Scrolls or for books
[440] 48:29	thinking of Coptic binding okay this is going to be a quick one so uh thank you very much for the question
[441] 48:36	uh the Egyptians did not have codices until the reign of Julius Caesar our
[442] 48:41	first codices that we discovered uh that we know of is was invented during the
[443] 48:47	reign of Julius Caesar now I did an article on paper and book
[444] 48:53	binding that never did get published but it was one of my first attempts at a peer-reviewed article so I looked at all
[445] 48:59	of this and the earliest courtesies that we we have are early Roman basically the Roman
[446] 49:07	period that that sort of uh as I said that during that reign of Julius Caesar but once Julius Caesar invents the
[447] 49:14	courtesy it sort of spreads everywhere now
[448] 49:19	one other thing with Egyptian books is that the courtesy was not
[449] 49:26	was not a great binding for papyrus
[450] 49:33	there are some Papyrus codices that have survived from the early Roman period
[451] 49:41	but one of the problems with prior Papyrus uh codices is they tend to chip
