[0] 1:26	Heat. Heat.
[171] 13:40	Psych. Big Destiny says local misogynist
[172] 13:43	writes best female main character.
[173] 13:49	Oh, the irony. The irony.
[174] 13:57	Those people are idiots. I'm sorry.
[175] 14:02	All right. So, let's move on to the
[176] 14:05	questions here.
[177] 14:09	Uh, first question here
[178] 14:12	is from
[179] 14:15	uh, Dedusa dude
[180] 14:17	and
[181] 14:19	he asks and this is not the correct
[182] 14:22	question. There's something properties
[183] 14:24	there's that's not the right question
[184] 14:25	here. Uh, that's from last week. Get the
[185] 14:29	this week's question here. Here's last
[186] 14:31	week's question. All right.
[187] 14:34	Aha. It's not. It's from TBTM.
[188] 14:39	Oh, knew that wasn't right. Okay. Uh,
[189] 14:43	looks like I forgot to stack those
[190] 14:44	questions ahead of time here. Okay. Um,
[191] 14:48	do you believe when Ramsay's later in
[192] 14:51	his reign
[193] 14:52	calls to kidnap Nubians in this is the
[194] 14:56	place where the Hebrews left? Um I don't
[195] 15:00	know that reference. Um it was a thing
[196] 15:04	that Ramse's uh and all the major um
[197] 15:09	kings of the new kingdom up until
[198] 15:11	Ramse's the fourth
[199] 15:14	uh had Nubia as a vassal state and they
[200] 15:18	would go to Nubia to
[201] 15:22	um
[202] 15:23	to
[203] 15:25	corvet slave labor. Okay. So that was a
[204] 15:29	thing. Um they did the same thing in
[205] 15:31	Canaan too. They would go to Canaan and
[206] 15:32	they would basically keep war captives
[207] 15:34	as slaves. So
[208] 15:37	but um I don't think that's necessarily
[209] 15:42	in response to um replacing the Hebrews.
[210] 15:45	Again, it would have to depend a lot on
[211] 15:47	the dating of that that uh that
[212] 15:50	document. The fact is too that um
[213] 15:54	Ramse's for the most part
[214] 15:57	um most of his building projects had
[215] 15:59	already been completed by his 25th year.
[216] 16:02	The only one that still remained
[217] 16:04	outstanding was Abu Simbel. I think he
[218] 16:08	finished Abu Simbel in something like
[219] 16:10	his 37th or 39th year. Um, and then that
[220] 16:14	would make sense to use Nubian labor for
[221] 16:18	that is because they're also uh
[222] 16:22	close by. The fact is it to go from Abu
[223] 16:25	Simbel to Nubia isn't that far. So
[224] 16:30	it would make sense for Ramse's to to go
[225] 16:32	to Abu Simbel to get slaves to support
[226] 16:35	the building project at at Abu Simbel.
[227] 16:38	So
[228] 16:41	um so that was sort of the last
[229] 16:44	basically his last greatest building
[230] 16:47	project was the colossi at at Abu
[231] 16:50	Simbel. So um and that's that's right on
[232] 16:54	the Sudin border. So that's past the
[233] 16:57	second cataract and I mean you're
[234] 17:00	already halfway to Nubia at that point.
[235] 17:02	So it would make sense that later on at
[236] 17:05	that point he would need that sort of
[237] 17:08	labor from that region. So
[238] 17:13	um
[239] 17:16	so that's just that's just the way
[240] 17:18	that's just the way it works. So anyway
[241] 17:21	uh hope that helped. Thank you for the
[242] 17:23	question. Very much appreciated.
[243] 17:27	Okay. There was a couple I think early
[244] 17:28	on too that I saw. Are we getting the
[245] 17:31	super chats here?
[246] 17:38	See some here
[247] 17:43	Gizgo.
[248] 17:45	>> Yeah.
[249] 17:48	>> Uh 626. I see it. Okay. Uh, Gizmo SB
[250] 17:52	says, uh, asks, "How would you respond
[251] 17:55	to the claim that Lorenzo Nigro has
[252] 17:58	presented insufficient evidence for
[253] 17:59	dating the outer mudbreak brawl at
[254] 18:01	Jericho to late Bronze rather than
[255] 18:03	middle bronze 3?"
[256] 18:07	I think I think they must have a really
[257] 18:09	good supplier of copium.
[258] 18:17	Yeah, this is this is copium. That's
[259] 18:19	what this is.
[260] 18:23	Um the fact is that that middle bronze
[261] 18:25	fortifications are essentially large
[262] 18:29	cyclopian and and and these large
[263] 18:32	massive brick fortifications. That's
[264] 18:34	that was the custom of middle bronze.
[265] 18:37	Okay.
[266] 18:39	So if you've got a a mud brick wall
[267] 18:42	there, you're almost assured it to be
[268] 18:45	late bronze. And the fact is there's
[269] 18:47	enough uh ceramic topology supporting
[270] 18:50	his claims that um that those walls date
[271] 18:55	to the late bronze. I mean there's lots
[272] 18:57	of of late bronze pot shards there. Uh
[273] 19:00	going right into late bronze 2b.
[274] 19:03	Uh
[275] 19:05	he does quote
[276] 19:08	um he does quote um what's her name now?
[277] 19:13	uh Kathleen Kenyon who did find uh those
[278] 19:16	mudbreak brawls in trenches 1, two, and
[279] 19:19	three. So, east, west, and north.
[280] 19:24	So,
[281] 19:26	uh there's there's more than ample
[282] 19:29	evidence that not only he found this,
[283] 19:32	but uh Kathleen Kenyon found this, Garen
[284] 19:34	found this, all the others found it,
[285] 19:36	too. So, as well as the Lake Bronze
[286] 19:39	Cemetery,
[287] 19:41	um, which, uh, at least is Lake Bronze
[288] 19:44	one.
[289] 19:46	So, again, you can't have a town, a
[290] 19:48	cemetery without a town.
[291] 19:51	You need you need a town to have a
[292] 19:53	cemetery. People aren't dragging their
[293] 19:55	their bodies in from the middle of
[294] 19:56	nowhere just from from from far far away
[295] 20:01	to some some remote cemetery somewhere.
[296] 20:04	That does just isn't done in ancient
[297] 20:06	times.
[298] 20:12	>> Yeah. Oh, yuck. 120 miles on an ox cart
[299] 20:16	in the middle of the raging sun. Ooh,
[300] 20:19	nice smells. Nice smells. Thank you for
[301] 20:22	bringing to that to to mine, Mrs.
[302] 20:25	Producer.
[303] 20:31	Yeah. So, I I think this is pure copium.
[304] 20:33	That's that's what I think this is.
[305] 20:36	Okay. Uh I'll also take this one from
[306] 20:39	Gizbo SPOL2 and then we'll get to the
[307] 20:41	super chats here. Uh what are your
[308] 20:43	thoughts on Richard Steiner's recent
[309] 20:45	proposal that uh Israel defeat in
[310] 20:48	numbers 14:44 to 45 and Deuteronomy 144
[311] 20:52	to 44
[312] 20:53	is what referenced the inpila and that
[313] 20:56	he is the Exodus Pharaoh. I think
[314] 21:01	Steiner's proposal is full of it. Okay.
[315] 21:05	I think it's hogwash. I think it's
[316] 21:07	complete hogwash.
[317] 21:10	Okay. The whole idea that MPA is both
[318] 21:18	the exist
[319] 21:20	they encounter in in the chafa is
[320] 21:25	garbage.
[321] 21:26	Okay. And let me explain why it's
[322] 21:28	garbage.
[323] 21:30	We have um the the MPTA dates to the
[324] 21:37	fifth regal year of MPa. Now Monetta
[325] 21:39	only reigned 10 years. Okay, he only
[326] 21:42	reigns 10 years.
[327] 21:45	Okay,
[328] 21:46	so you've got the Exodus Pharaoh. Okay,
[329] 21:49	if he's the Exodus Pharaoh, you can
[330] 21:51	count one year right there for the for
[331] 21:54	the plagues.
[332] 21:57	uh that that encounter with the
[333] 21:59	Israelites could not have happened in
[334] 22:01	year five. So that encounter with the
[335] 22:03	Israelites in the Chafa had to be in
[336] 22:06	years 1 to four.
[337] 22:09	Okay? So let's give them for the benefit
[338] 22:11	of the doubt that the Exodus, the plague
[339] 22:16	start in year one.
[340] 22:20	The Israelites leave Egypt. Then in year
[341] 22:24	two,
[342] 22:26	in year three, they're wandering the
[343] 22:29	Sinai. And then the very next year,
[344] 22:31	they're in Canaan,
[345] 22:34	having conquered most of the Amorite
[346] 22:36	cities,
[347] 22:37	and then encounter
[348] 22:42	MPa in the Chafala in year four.
[349] 22:46	That's the best case scenario for
[350] 22:49	Steiner.
[351] 22:55	Can any of you see any problems with
[352] 22:56	this? I can't
[353] 23:12	confirmed. Ancient Israelites were time
[354] 23:15	travelers.
[355] 23:18	Yeah, that would be about it.
[356] 23:22	They're time travelers.
[357] 23:24	>> Her mind.
[358] 23:28	>> Big Destiny.
[359] 23:30	Dr. [ __ ] I'm tell you, he had her mind
[360] 23:33	time tuner turner. I guess so.
[361] 23:41	It's like, "Oh, good grief. Come on,
[362] 23:44	dude. Come on.
[363] 23:47	He can't be both the Exodus Pharaoh and
[364] 23:50	the guy they that they encounter in
[365] 23:53	Canaan. He can't be both.
[366] 24:01	Jeez.
[367] 24:04	Some people's kids."
[368] 24:08	Right. So that's my thought on Richard
[369] 24:11	Steiner's proposal. I think once you
[370] 24:13	start looking at it and really
[371] 24:15	critically evaluating it, it's just
[372] 24:18	garbage.
[373] 24:20	Um the only thing I will agree with him
[374] 24:22	on is his proposal that the uh uh B um
[375] 24:26	was it uh Kadesh uh sorry the springs of
[376] 24:29	Neptoa are probably named after MPA. So
[377] 24:33	that's that's a reasonable proposal. But
[378] 24:35	everything else in that paper is
[379] 24:38	garbage.
[380] 24:44	Ryan Conap. I think he was Abraham's
[381] 24:46	pharaoh, too.
[382] 24:48	Could be. Could be.
[383] 24:56	And then I wonder why I I I'm skeptical
[384] 24:59	by these things.
[385] 25:06	Okay. Uh, let's move on to the first
[386] 25:08	super chat here. Uh, these
[387] 25:14	owls.
[388] 25:16	Uh,
[389] 25:18	forgot to preload them here. So, it's a
[390] 25:20	little
[391] 25:21	go. All right. And the first super chat
[392] 25:25	is from AEIU
[393] 25:28	for 11. Thank you for the super chat.
[394] 25:32	Hi, Dr. Folk. I struggle to comprehend
[395] 25:34	the full implications of Christ's
[396] 25:37	physical resurrected body.
[397] 25:40	Is Christ actually up there somewhere in
[398] 25:43	physical heaven or in an unseen
[399] 25:45	dimension of sorts?
[400] 25:48	Okay. Now to understand this,
[401] 25:52	that's a great question.
[402] 25:54	uh heaven does seem to be able to
[403] 25:58	accommodate the physicality of human
[404] 26:01	beings. We see Enoch taken to heaven.
[405] 26:06	Elijah taken to heaven. Enoch and Elijah
[406] 26:10	aren't dead.
[407] 26:12	They aren't dead.
[408] 26:15	They're just in heaven.
[409] 26:18	So for some reason
[410] 26:22	they can um a a person can be physically
[411] 26:28	assumed into heaven without dying
[412] 26:31	without losing their their their
[413] 26:34	attribute of humanness.
[414] 26:36	So,
[415] 26:38	so there in the physical heaven, it does
[416] 26:42	seem to be able to accommodate
[417] 26:45	in say the spiritual heaven, it does
[418] 26:47	seem to be able to accommodate physical
[419] 26:49	beings in some way. We don't know how
[420] 26:52	that works. Okay, we don't know how
[421] 26:55	exactly that works, but it does seem to
[422] 26:59	happen. and it's happened on more than
[423] 27:02	one occasion
[424] 27:04	in in the Bible.
[425] 27:07	So,
[426] 27:09	I mean, it it's hard to to rationalize
[427] 27:12	and there could be numerous solutions to
[428] 27:14	this, but again, at that point, you're
[429] 27:17	just speculating on how that works. But,
[430] 27:21	um,
[431] 27:27	Scott Warson says, "Heaven is another
[432] 27:28	dimension." Well, it can be. That's one
[433] 27:31	proposal.
[434] 27:32	Not even the ancients believe there were
[435] 27:34	ghosts at top the clouds or firmaments.
[436] 27:36	And that's true. They didn't believe
[437] 27:37	that. But they do. I mean, what what do
[438] 27:41	we even mean by another dimension?
[439] 27:42	That's that's full of uh I say loaded
[440] 27:45	language to to even say it's a another
[441] 27:48	dimension. That's loaded language all by
[442] 27:50	itself. So,
[443] 27:53	um it's hard to say. It's really hard to
[444] 27:55	say. But we do seem to to realize, we do
[445] 27:59	seem to know from the biblical
[446] 28:00	revelation that there's a place, you
[447] 28:04	know, heaven does seem to accommodate
[448] 28:07	space and place. There are places within
[449] 28:11	heaven, within the space of heaven.
[450] 28:14	Like there are there's the the mountain
[451] 28:16	of God. There's the the the mountain of
[452] 28:19	the fiery stones. there's the um there's
[453] 28:24	say shaol and and and and and its
[454] 28:28	various compartments and then there's
[455] 28:29	gehenna there's there's the there's the
[456] 28:31	lake of fire beyond that so so there
[457] 28:35	does seem to be certain places and
[458] 28:39	spaces within heaven you know in Job you
[459] 28:42	know God says to Satan where have you
[460] 28:45	been
[461] 28:47	well to say that means he's been absent
[462] 28:50	he's away.
[463] 28:52	Well, if you're away from heaven, that
[464] 28:54	means you're not in heaven. You're
[465] 28:56	somewhere else.
[466] 28:59	So,
[467] 29:00	so the whole idea that that there can be
[468] 29:04	a another heaven, well, yeah, uh not
[469] 29:09	another heaven, but a um a heaven where
[470] 29:12	there's space and place. Then if you
[471] 29:15	have space and place, you can
[472] 29:17	accommodate the physical because
[473] 29:20	physicality requires space and pace.
[474] 29:34	>> BC says maybe heaven has a cloak room
[475] 29:36	where the bodies are stored.
[476] 29:40	Nasty.
[477] 29:43	H
[478] 29:48	uh Andagram, you're the doc, doc.
[479] 29:51	Okay,
[480] 29:54	at least that's what it says on my
[481] 29:55	certificate.
[482] 30:00	All right. All right. Let's move on here
[483] 30:02	to the next super chat. But thank you
[484] 30:04	very much for that super chat. It is an
[485] 30:05	interesting question. We don't know
[486] 30:06	actually know how physicality works in
[487] 30:09	heaven. But if there's space and place,
[488] 30:11	then yeah, it can work.
[489] 30:14	All right. So, next one.
[490] 30:17	Uh, properties.
[491] 30:23	Okay, we can just cancel that and move
[492] 30:25	on here. All right, there we go. Okay,
[493] 30:29	Baron St. Von for $5. Thank you very
[494] 30:31	much for the super chat. Hey, Doc. Two
[495] 30:34	questions. I thought I said no question
[496] 30:35	stacking.
[497] 30:39	Okay, but we'll take these. Uh, one, are
[498] 30:42	donations to the channel tax deductible?
[499] 30:45	Two, is it better to donate over PayPal
[500] 30:48	than Super Chat for questions? Okay. Um,
[501] 30:51	there's two things with PayPal. Okay,
[502] 30:54	we'll talk about that and then we'll
[503] 30:55	talk about why it's not taxed
[504] 30:57	deductible.
[505] 30:59	It's better for us if you donate over
[506] 31:01	PayPal and that's because PayPal takes
[507] 31:04	less of a cut. Also, you're not giving
[508] 31:09	it for a quidd proquo. You're giving it
[509] 31:12	as a gift. And because you're giving it
[510] 31:15	as a gift and not a quid proquo, it's
[511] 31:19	not taxable. Okay? A super chat is a
[512] 31:22	quid proquo.
[513] 31:24	So, with a super chat, um
[514] 31:29	the um YouTube takes 30%.
[515] 31:33	And then the government takes 30%.
[516] 31:36	So, uh, there's a there's a large chunk
[517] 31:40	that's taken out by people before I see
[518] 31:42	the money. So, um, so that's that's the
[519] 31:46	case with with with super chats is, uh,
[520] 31:50	they do YouTube does take a large chunk
[521] 31:54	out of it. I mean, if you pay us PayPal
[522] 31:58	and don't expect a quid proquo, that's
[523] 32:01	actually the best for us overall. And
[524] 32:04	then we just take your questions for
[525] 32:05	free. No exchange. We don't guarantee
[526] 32:09	it. We never guarantee it anyway with
[527] 32:12	super chat, but the the revenue
[528] 32:14	department sees the two differently.
[529] 32:16	Okay.
[530] 32:19	So,
[531] 32:20	um the government sees super chats as a
[532] 32:23	service. So, because it's a service, you
[533] 32:26	get char I get charged taxes. With
[534] 32:28	PayPal, it's just a gift. And we we make
[535] 32:32	that clear that if you donate through
[536] 32:33	PayPal, it's just a gift. All right. So,
[537] 32:36	that answered question two. Now,
[538] 32:38	question number one.
[539] 32:41	Are donations to the channel
[540] 32:42	taxdeductible? No. And here's the here's
[541] 32:46	the issue with it. Um,
[542] 32:50	most countries don't
[543] 32:54	accept outofcountry charities for tax
[544] 32:56	deduction. Okay? So if you lived in the
[545] 32:59	United States and we were a charitable
[546] 33:01	organization, we would be a Canadian
[547] 33:04	charity. And because we're a can would
[548] 33:07	be a Canadian charity, you still
[549] 33:09	couldn't claim it on your taxes. Okay.
[550] 33:12	Now, here's the issue for us as far as
[551] 33:14	setting up a Canadian charity. We get
[552] 33:17	very very few Canadian super chatters.
[553] 33:20	Really few.
[554] 33:23	like I think we might get like two or
[555] 33:26	three a month tops.
[556] 33:29	That's not worth it for us to go through
[557] 33:30	all the paperwork to file for nonprofit
[558] 33:33	status in Canada. Okay? So,
[559] 33:38	so that's that's the problem. Now, I'm
[560] 33:40	not a tax attorney. Don't take any of
[561] 33:43	this as as gospel truth as far as as tax
[562] 33:46	advice,
[563] 33:48	but um donations to foreign nonprofits
[564] 33:52	in almost every country are not tax are
[565] 33:54	not uh deductible. So even if we did set
[566] 33:58	up a charity, it wouldn't do you any
[567] 34:00	good. So
[568] 34:06	Oh yeah, the the legal costs for setting
[569] 34:08	up a charity are are staggering.
[570] 34:11	I mean, I think in Canada it's something
[571] 34:12	like $30,000.
[572] 34:14	So, we have to be we have to be making a
[573] 34:17	whole lot more money uh before we ever
[574] 34:20	consider doing the charity. We're not
[575] 34:21	even close to meeting that threshold
[576] 34:25	just on on on what we get in, let alone
[577] 34:30	um the cost it would be to to deduct
[578] 34:32	that. So to make that worthwhile.
[579] 34:40	Okay.
[580] 34:42	Um, Big Destiny asks, "Uh, while on the
[581] 34:45	topic, can should Christians claim ties
[582] 34:48	on their taxes? I'm conflicted because I
[583] 34:50	want to be between God and I, but on the
[584] 34:53	other hand, it could be better
[585] 34:54	stewardship." Thoughts? Claim it.
[586] 34:57	Claim it. If your government allows you
[587] 35:01	to claim tithes on your taxes, do it.
[588] 35:05	Here's the thing. You have to think of
[589] 35:06	it this way. This is giving to Caesar
[590] 35:09	what is Caesar. Okay? But if Caesar's
[591] 35:12	not entitled to it, you shouldn't give
[592] 35:15	it. Okay?
[593] 35:19	Basically,
[594] 35:20	don't cheat the government. Pay your
[595] 35:23	taxes, but don't overpay your taxes.
[596] 35:28	And in a lot of countries, a tithe is
[597] 35:31	seen as something you've paid to a
[598] 35:34	charity that the government is not
[599] 35:36	entitled to tax.
[600] 35:39	So if the government is not entitled to
[601] 35:41	tax it, you shouldn't give it. In fact,
[602] 35:45	it would be be much much better
[603] 35:48	stewardship if you didn't give that to
[604] 35:51	government and gave that to another
[605] 35:53	charity.
[606] 35:55	Okay? So,
[607] 35:59	so don't give the mo government more
[608] 36:01	than it deserves. Give to Caesar what is
[609] 36:04	Caesars's, but don't give Caesar more.
[610] 36:09	So,
[611] 36:11	so there's absolutely no harm in
[612] 36:14	claiming legal proper tax deductions. I
[613] 36:19	want may stress that legal proper tax
[614] 36:23	deductions.
[615] 36:24	That's not a that's that's a tax right.
[616] 36:30	And if you don't claim the right, you
[617] 36:33	could lose the right.
[618] 36:38	So there's a very very good incentive
[619] 36:41	for you not to give Caesar more than
[620] 36:43	what what they what they want. Okay?
[621] 36:47	Because they're not entitled to it
[622] 36:48	legally.
[623] 36:51	Now, I know within tax departments,
[624] 36:54	government tax departments, they call
[625] 36:56	people who use deductions dead beats,
[626] 36:59	but that's that's not legal and that's
[627] 37:02	not correct.
[628] 37:04	Claiming a proper deduction is a legal
[629] 37:06	right.
[630] 37:09	Now, if it gets dodgy, then the
[631] 37:12	government can always disallow it. But
[632] 37:15	know the law, know your rights, and then
[633] 37:19	give to Caesar what is Caesars's. But
[634] 37:21	don't give him a scent more. Okay, so I
[635] 37:25	hope that helps. Thank you for the
[636] 37:26	question.
[637] 37:32	Next super chat here
[638] 37:35	is from TBTM for499. Thank you for the
[639] 37:38	super chat.
[640] 37:40	What is the full context of Leiden 348?
[641] 37:44	Where can find full text? Why don't
[642] 37:48	more? This is an amazing discovery and
[643] 37:50	it describes Habruu building Ramsey's.
[644] 37:53	Uh I have to would have to look up that
[645] 37:56	that text. Um I did not look that up
[646] 37:58	prior to the chat here, but let me see
[647] 38:00	if I find it in in Belleon here. Just
[648] 38:04	give me a moment to see what text this
[649] 38:06	is.
[650] 38:08	goes
[651] 38:18	Egyptian.
[652] 38:20	I mean, when you're dealing with
[653] 38:22	thousands of texts, you can't remember
[654] 38:23	what everything is. So, it will take me
[655] 38:27	a moment to just look this up.
[656] 38:34	348
[657] 38:42	Oh, this is Zippawware.
[658] 38:45	Okay.
[659] 38:46	Okay. Now I know.
[660] 38:50	Why did you just say it was Zippawware?
[661] 38:55	Jeez. Lighten 348. Just call it Iaware.
[662] 39:00	Okay.
[663] 39:02	Make it makes things easier for
[664] 39:03	everyone.
[665] 39:05	Okay. Uh, you can find all sorts of
[666] 39:07	translations of Hippoare. They're all
[667] 39:09	over the place. Um, Simpsons heore. No,
[668] 39:13	not
[669] 39:16	the Frank Turk pronunciation. The
[670] 39:18	canonical Frank Turk pronunciation
[671] 39:24	poor.
[672] 39:26	Okay. Um, uh, yeah, you can find all
[673] 39:30	over the place. Um it it doesn't
[674] 39:32	actually describe R how building Ramse's
[675] 39:35	though. Um Ipaware is a 12th dynasty
[676] 39:39	text. Uh it describes the building of
[677] 39:42	pyramids.
[678] 39:44	Okay. So
[679] 39:47	um
[680] 39:50	so it it's not it's not a 19th dynasty
[681] 39:52	text. It's it's a 12th dynasty text.
[682] 39:56	So, but you can find the full text in uh
[683] 39:59	Simpson has a translation of it. Um,
[684] 40:02	what's her name now? Um,
[685] 40:06	oh, what is her name? Uh, just about
[686] 40:09	every uh major anthology has a um
[687] 40:17	has a um
[688] 40:19	I think Pr's there's one in Pritchard,
[689] 40:21	although I don't recommend generally
[690] 40:23	recommend Pritchard. Um, but there's
[691] 40:26	lots and lots
[692] 40:28	of of translations of Ipaware.
[693] 40:31	So,
[694] 40:33	um, what's her name now?
[695] 40:40	Yeah, Ugard. I agree.
[696] 40:43	Pritchard is not great. I wish people
[697] 40:46	stopped using Pritchard, but there's
[698] 40:48	also some translations you can still
[699] 40:49	only find in Pritchard, which is kind of
[700] 40:52	um
[701] 40:55	Lick Time. You'll find him in her uh uh
[702] 40:57	translation in Lick Time, too. Again,
[703] 40:59	Lick Time's not the greatest either. Uh
[704] 41:02	Lick Time's better than Pritchard, but
[705] 41:05	Simpson is better of the three.
[706] 41:08	So,
[707] 41:10	um
