[0] 0:00	[Music] foreign
[110] 15:15	what's what's come out as a result this has not been ideal one way thank you very much for the question very much appreciate it
[111] 15:31	uh I'll take the answers question here do you think they'll ever do that to ETS
[112] 15:37	uh no I don't um here's why here's why
[113] 15:44	ETS is too big ETS is just plain too big
[114] 15:49	we have to understand that that ABR is a relatively small organization
[115] 15:54	and for those I who don't know ABR is the associates for biblical research
[116] 16:00	ABR is only an organization of about I'd say about 40 50 people is only about 40
[117] 16:06	50 people that's more than enough to take over a small organization like the neas
[118] 16:14	but ETS has 2 000 people they don't have the numbers to take over
[119] 16:21	ETS now they've influenced ETS they hold their conference their NES
[120] 16:29	conference inside of ETS so if you go to ETS you can go to the Naas conference
[121] 16:35	and you can get a whole world of ABR thinking there
[122] 16:42	okay so uh they don't have to take over ads
[123] 16:48	they're already inside of ETS but with that said
[124] 16:54	they can't take over the ETS itself it's a different organization it's a bigger organization
[125] 17:01	but again they sure have influenced it I'll say that um they have inserted their own stuff
[126] 17:09	into their into the ETS Journal uh because at times the editor has been very sympathetic
[127] 17:16	to the NES much more so than it should be
[128] 17:22	yeah I'm looking at you castenberger okay so anyway thank you very much for
[129] 17:29	the question very very much appreciate it
[130] 17:39	gonna take this also uh non-super chat here from Kitchen Bolshevik and then we'll move on to the super chats
[131] 17:48	my last in my last question you said it was normal for monotheistic cult sites to have things like double alters and
[132] 17:54	double standing stones are there Egyptian malnologists called sites that parallel us oh absolutely uh amarna the
[133] 18:03	architatin this is the cult site of um atonism
[134] 18:09	actionism has multiple altar sites so you know this is not uncommon for
[135] 18:15	monotheistic Cults not at all so we also have to realize too that
[136] 18:21	double Alters don't necessarily mean you're you're all offering the same all
[137] 18:26	offering on each altar you can have multiple different purposes
[138] 18:33	for various Alters like for example you know in the Tabernacle you have one altar that's for
[139] 18:41	say burnt offerings of say oxen and meat and
[140] 18:46	and Grains and that sort of thing but you have another altar that's just dedicated to incense
[141] 18:53	so you can have multiple multiple Alters with different purposes
[142] 19:00	and for different roles you can have an altar for libations
[143] 19:06	now we don't see that so much in Israelite culture but we do see that definitely in Egyptian culture
[144] 19:12	so absolutely we do see this that for monologus cult sites that you can have multiple Alters
[145] 19:19	multiple Standing Stones because standing Stills are basically just stones that have been covered in say
[146] 19:27	plaster and then written on so there's there's times you can have more than one of those easily
[147] 19:35	so absolutely we find this in in Monon Ultra sites in Egypt and it would make sense that we'd find
[148] 19:40	the same sort of called setup in Israel as well so anyway thank you very much for that
[149] 19:46	follow-up question I think it was an important follow-up question but absolutely we do find this it at say
[150] 19:53	okatotin so thank you very much for the question okay now we're on to the super chats
[151] 20:07	our first Super Chat here is from 501 Mobius for five uh for three twenty dollars thank you much for the Super
[152] 20:13	Chat and he says I read that the Lord redeemed Israel's firstborn in Egypt at
[153] 20:20	the time of the tenth plague someone up okay
[154] 20:25	and there was no need to redeem these a second time well
[155] 20:32	what's your opinion I think this is a debatable question okay
[156] 20:39	and he continues here that was an explanation that the 22 273
[157] 20:45	firstborn males were only newborns born between leaving Egypt and the time of
[158] 20:51	the census the problem here is that the firstborn is not referring to infants
[159] 21:00	so that'd be a huge problem with this interpretation you need to account for the fact that
[160] 21:06	the whole ancient near Eastern meaning of firstborn is the equivalent of
[161] 21:13	um your Heir Apparent
[162] 21:18	so your older brother dies now you're the firstborn even though you were the second son
[163] 21:26	that's how it works so
[164] 21:31	there's there's a difference to between say God's sparing the first form
[165] 21:39	from the death of the tenth plague
[166] 21:45	and S and the Redemption fee they serve different ritual purposes
[167] 21:53	the the the tenth plague that sort of Blood on the lentil is to Mark the home
[168] 22:01	so that tragedy doesn't strike there so the Judgment of God does not ball on
[169] 22:07	that household
[170] 22:13	right darkblade says if you're 80 and your dad's still alive you're still first born right and that is correct
[171] 22:22	it's an elderly yeah yeah uh here's one of the things we love
[172] 22:29	about say for example the movie uh the Cecil D Mills uh Ten Commandments you
[173] 22:34	know you know when the play comes sweeping through and one of the generals Falls
[174] 22:41	dead because his elderly father was still alive now that's a perfect example of this
[175] 22:48	you know and demil's got it he got a lot of what
[176] 22:54	these plagues represented and he understood because he had that Egyptian
[177] 22:59	background uh because he he actually listened to his Consultants surprise surprise after that ever happens in the
[178] 23:06	movie industry so uh
[179] 23:15	so yeah so that would be a problem with this interpretation is that you have to you have to twist the meaning of what
[180] 23:22	firstborn means here to get that but I think I think the other issue here
[181] 23:29	is that the reading of say that census may not
[182] 23:35	be exactly what we think it is either I'm still formulating some thoughts on this and I'm not ready to release them
[183] 23:41	yet but I don't think it's a literal count either I think there's more going on
[184] 23:47	here so anyway the the Becca is is which is
[185] 23:55	the Redemption fee applies to all Israelites
[186] 24:00	whether the firstborn or not so everyone has to be redeemed in a
[187] 24:07	sense okay now there is a special say sacrifice for the firstborn
[188] 24:15	that's above and beyond the backup so again it depends on what level of
[189] 24:21	redemption are you talking about say redemption of the firstborn redemption
[190] 24:26	in the community it's a whole lot that's going on here so with that many moving Parts I'd be
[191] 24:33	very careful with an interpretation like this so you know there might be some Merit to
[192] 24:38	it but I also want to be cautious about it as well so anyway thank you very much Super Chat very very much appreciate it
[193] 24:51	our second uh Super Chat here is from I'll get Robertson for 200 Swedish Court
[194] 24:57	200 Swedish Kroner thank you very much for the Super Chat very much appreciated
[195] 25:03	and he says a friend of mine said that if we culture context to understand God
[196] 25:09	it will undermine his word and create relativism uh no
[197] 25:15	okay he says like marriage was created because of birth but now we have birth
[198] 25:22	control marriage ain't needed he took as an example okay
[199] 25:28	well the second part of this is kind of a
[200] 25:33	non-sequitur uh just because
[201] 25:39	even if even if marriage was created because of birth
[202] 25:45	that wouldn't necessarily mean we don't need marriage anymore
[203] 25:50	if anything it probably necessitated even more because now you're planning
[204] 25:55	families so that would in require you to be in a
[205] 26:02	say committed relationship where you are uh where you have ma mom dad and
[206] 26:08	children okay so um the latter doesn't follow it just
[207] 26:14	simply doesn't follow but getting back to the former question about whether cultural context would create
[208] 26:21	relativism and I think that's completely baloney I think if it's quite the
[209] 26:27	opposite in fact whereas if you are trying to interpret the word
[210] 26:33	by our context I mean you're gonna you're gonna interpret the word of God by some context okay
[211] 26:39	the question is which context are you choosing are you choosing the ancient year
[212] 26:44	Eastern context which is probably the circumstances under which it was written
[213] 26:51	or are you choosing our context here today if you use our context
[214] 26:58	yeah that's going to change that is going to be relativism
[215] 27:03	because you're now interpreting the Bible like how we think today or 10 years from now or 20 years from
[216] 27:10	now or 100 years from now and every context of modern times is
[217] 27:18	going to be different you know we've seen a context of of modern readers change in just the last
[218] 27:25	50 years astoundingly fast you know 50 years ago most people were
[219] 27:31	still partially biblically literate today they're not
[220] 27:39	now they don't have any idea of that sort of culture
[221] 27:47	yeah they just yeah they don't understand the concept of emic readings
[222] 27:54	so so if anything it's quite the opposite whereas if if you try to to to
[223] 28:02	force the biblical reading into or any text I mean we don't have to we don't
[224] 28:07	have to talk about just say the Bible here you know try doing this with Shakespeare
[225] 28:13	yo there's a lewd joke in Macbeth where the gatekeeper talks about
[226] 28:20	emptying his dagger that has no relevance to today's society
[227] 28:26	yeah it's it's it's it's crude and it's lewd and it's you know
[228] 28:33	but you have to interpret that according to the context that Shakespeare wrote In
[229] 28:38	which was Elizabeth in English so this doesn't just apply to the Bible
[230] 28:44	it applies to all old texts
[231] 28:52	well yeah there's that too I mean that I mean context the the current cultural
[232] 28:58	Zeitgeist changes so fast they had to try to interpret any text by
[233] 29:06	what we think today you know I mean how much debate is going over over the U.S Constitution between
[234] 29:12	say they say the originalists who are trying to interpret it according to the
[235] 29:18	context the founding fathers versus say the modernists who are trying to interpret it as a living document of
[236] 29:24	today you know it's it's a really weird thing
[237] 29:32	is to to uh to try to to interpret texts in
[238] 29:39	that way but this also comes out of post-modernity you know post-modernity is going to say
[239] 29:46	oh well what the text means to me is what it means
[240] 29:52	what I mean I remember in my English class in college
[241] 29:59	uh we did a paper on a on on a piece of poetry and I don't remember what the poem was
[242] 30:04	but I I put in the effort to look up what the original author had said about the poem found an article that he wrote
[243] 30:11	about the poem and it's like okay I based the paper on that
[244] 30:18	and the the English teacher gave me SC minus for that because she goes oh well
[245] 30:23	we don't interpret poetry according to author's intent we interpret it to what it means to us today
[246] 30:29	like what huh
[247] 30:34	it's crazy that is absolutely crazy
[248] 30:42	you know you know if if that's it then what we
[249] 30:48	believe tomorrow is going to change and then you do have relative
[250] 30:55	that's been a lot of our problem in our Academia our schools of Higher Learning and inner
[251] 31:01	churches because we're all trying to interpret these books according to what it means to us today
[252] 31:08	not according to its cultural original context to the readers that it was
[253] 31:14	intended to be written to so anyway thank you very much for the
[254] 31:20	Super Chat very much appreciate it and I hope that helps
[255] 31:27	all right uh another Super Chat here from Algood Robertson for 100 Swedish
[256] 31:32	Kroner thank you very much for the Super Chat in the fourth most book and he means
[257] 31:38	here I think it is numbers God required me sacrifices but at the
[258] 31:44	same time people were starving how did they not die from of starvation and to add to it many died by the hand
[259] 31:51	of God's punishment okay now we have to sort of get our minds into
[260] 31:58	the mindset of the authorial intent of these sacrifices now
[261] 32:07	they are not huge amounts of sacrifices in all honesty
[262] 32:12	you know most are not unless unless it's something like a sin-off ring or Passover and even in the Passover
[263] 32:18	frankly that sacrifice is eaten by the family
[264] 32:24	so let's say like from for most families a
[265] 32:30	you might have the occasional uh grain sacrifice or a goat or lamb sacrifice
[266] 32:37	and if you're one of those people who's uh sheep herding in the Judean Foothills that's usually within your means
[267] 32:44	okay the tide which is a tenth was essentially a tax
[268] 32:51	anyway so it was kind of a religious tax and frankly as compared to the tech much
[269] 32:57	of the taxation of the ancient world it was pretty reasonable to be honest uh Studies have shown that the total
[270] 33:04	taxation for the people was roughly around 12 and
[271] 33:10	a half percent ly enough the share of the taxation was
[272] 33:15	10 percent to the temple and the two and a half percent was collected by the king
[273] 33:22	so the temple got the Lion's Share of Taxation okay
[274] 33:28	so uh here we have one of those issues where you know compared to the other a
[275] 33:35	lot of other countries this was not a bad taxation this is not a punitive taxation
[276] 33:43	so but every Kingdom taxed whether it was for a religious
[277] 33:49	institution whether it was for just the monarchy itself every Kingdom taxed
[278] 33:57	so a 10 12 and a half percent difference is not going to be that onerous
[279] 34:04	now there were some mandatory feasts and mandatory festivals that you had to attend
[280] 34:10	like Passover but even with Passover the benefits of Passover went directly to
[281] 34:18	stay the Family holding Passover so okay you had to give up one sheep a year
[282] 34:24	regardless all right so
[283] 34:29	you went to the temple you had your sheep slaughtered you brought home and you cooked it and you ate it
[284] 34:35	well the temple isn't getting that you're reading that
[285] 34:40	so now grain offers offerings went to the temple
[286] 34:46	that was what fed the priests that's what we have to understand that this 10
[287] 34:52	taxation went to support the Levites who had no
[288] 34:57	inheritance okay so a lot of these sacrifices in fact the
[289] 35:04	vast majority of these sacrifices went to feed the Levites that performed religious duties
[290] 35:11	because they didn't get land in Israel if you don't have land
[291] 35:16	or you don't have access to land you can't support yourself
[292] 35:22	you need that sort of um territory in a sojourning society in
[293] 35:28	a pastoralist Society in order to survive to maintain yourself how it balanced that out as a society
[294] 35:34	was a taxed that gave that religious tax to the
[295] 35:42	um to the 11 tribes who support the 12th tribe to support that tribe of Levi
[296] 35:50	and the tribe of Levi performed religious duties now
[297] 35:56	that's not all that's involved here though what's also involved here is the fact that you have God's promises too of
[298] 36:06	blessings and curses essentially in Deuteronomy I think it's
[299] 36:11	chapter 24. maybe some 24 uh let me find this here
[300] 36:17	uh 32.
[301] 36:23	Deuteronomy 28 okay
[302] 36:29	now it shall be if you diligently obey the Lord your God being careful to do all his Commandments which I command you
[303] 36:35	today the Lord your God will set you high above all the nations of the Earth
[304] 36:40	and all of these blessings shall come upon you and overtake you if you will
[305] 36:45	obey the Lord your God blessed shall you be in the city and
[306] 36:50	blessed shall you be in the country blessed shall be The Offspring of your body and the produce of your ground and
[307] 36:58	The Offspring of your Beast the increase of your herd and the young of your flock
[308] 37:05	blessed shall be your basket and your kneading Bowl blessed shall you be when
[309] 37:11	you come in and blessed When shall you be when you go out okay so
[310] 37:18	if they obeyed they would be blessed with abundance of food
[311] 37:24	that's part of the blessings and cursings of Deuteronomy 28.
[312] 37:29	so there's that aspect too if they did obey and do those sacrifices
[313] 37:35	and um you know obey the law and trusted in God
[314] 37:41	they there was going to be an abundance now this is not an I'm going to be very blunt about this this is not a promise
[315] 37:47	for everyone this is a promise for Israelites it's not a promise to Gentiles and this
[316] 37:54	is definitely not a new testament promise this is a promise specifically for the Israelites
[317] 38:01	so you have to you have to take that sort of sacrificial system in context to
[318] 38:09	its sort of religious Paradigm as well so anyway that's a lot to digest I know
[319] 38:16	we covered a lot of ground here I hope this answered the Super Chat thank you very much for the question very very
[320] 38:22	much appreciated
[321] 38:28	okay the next one is also from Albert Robertson for 50 Swedish Kroner thank you very much for the Super Chat
[322] 38:35	and he says uh and the fourth book of Moses which is again uh The Book of Numbers chapter 25
[323] 38:41	verse 8. thank you for including that reference why did he stab at nether region is this
[324] 38:48	symbol rather than literal why did not man get killed the same way
[325] 38:55	wow um okay this is gonna get graphic
[326] 39:02	so we're gonna we're gonna try to do this carefully but the text is
[327] 39:09	very evocative here and I'll pull it up here
[328] 39:19	okay now
[329] 39:24	this chapter is uh talking about
[330] 39:31	um the Disobedience of
[331] 39:36	one individual who brought condemnation of upon the
[332] 39:42	entire nation and play swept through as a
[333] 39:50	result but we'll read the chart a verse here and we'll start actually at verse 7.
[334] 39:57	when Phineas the son of iliazors the son of Aaron the priest sought he arose from
[335] 40:02	the midst of the congregation and took his it took a spear in his hand and he went after the man of Israel into
[336] 40:09	the tent and pierced both of them through the man of Israel and the woman through the body
[337] 40:15	so the play of the sons of Israel was checked okay so that's verses seven and eight
[338] 40:22	now here's what's going on here is
[339] 40:28	this Israelite is having coitus
[340] 40:34	with a non-israelite woman okay and midianite I believe
[341] 40:42	and I think it's a mini Knight anyway let me check here
[342] 40:52	uh moabites sorry yeah uh verse one says uh Harlot uh with
[343] 40:58	the daughters uh the people began to play the Harlot with the daughters of Moab so this is a moabite woman
[344] 41:04	all right so um
[345] 41:10	nope it is a midianite sorry verse six okay so it is a midianite I thought it was a midianite okay
[346] 41:16	so anyway we have to understand the reader would understand
[347] 41:24	that um
[348] 41:29	I'm trying to put this delicately okay I'm trying to put this really delicately
[349] 41:36	that the way that sexual positions were done in the ancient world
[350] 41:42	was that the man lied on the ground and the woman would be on the top
[351] 41:49	okay I'll leave that to you that's your imagination okay
[352] 41:56	so essentially what's happening in this passage is that Phineas sees a man go into his
[353] 42:05	tent with a midianite woman and
[354] 42:12	um he catches them in the act
[355] 42:18	okay they're doing the nasty in the tent
[356] 42:27	and basically Phineas drives sphere through them both
[357] 42:34	one thrust through both of them so that's that's what the Hebrew of this
[358] 42:41	passage conveys so it isn't that one's God through the
[359] 42:46	body and the other didn't they both got it through and the text says the belly
[360] 42:55	so he drives it through both of them at the same time
[361] 43:00	it's a very graphic passage it's meant to to inspire fear in the Israelites
[362] 43:08	okay and it should it should because of the consequences it
[363] 43:13	was having on the rest of the nation the the consequences is in verse 9 verse
[364] 43:21	eight and nine so the plague on the sons of Israel was checked and those who died by the plague was were 24
[365] 43:28	000. so because Israel was disobeying
[366] 43:34	the protection that had been upon Israel had been removed and because that plague broke out
[367] 43:41	so the actions of this Israelite had consequences on the the nation at Large
[368] 43:53	one thousand clever boy I guess it's a Bible passage you don't reach your kids at bedtime yeah I'd say not
[369] 43:59	not if you want to explain it okay
[370] 44:06	although although this is not a bad idea to to basically reach your kids tell
[371] 44:12	them that actions have consequences you know that's a perfectly good lesson
[372] 44:18	to teach your kids you know read them Sodom and Gomorrah
[373] 44:23	yeah read them what happens when people disobey God's law you know it just it doesn't
[374] 44:30	end well it just doesn't end well
[375] 44:36	I mean look you don't want to focus on just that okay but
[376] 44:41	you know exposing to the whole Bible give it give them the whole word of God but that's the context is
[377] 44:51	yeah yeah my producer here points out that that's the context is if this happened because it was affecting the
[378] 44:57	whole community everyone was being affected by this man's sin outrageous blatant sin oh you
[379] 45:06	didn't even try to cover it up you know he flaunted it
[380] 45:14	yeah so anyway uh thank you very much for the Super Chat very much appreciated and I hope that explains this
[381] 45:25	okay our next one here is also from alga Robinson for 50 Swedish kroner uh again he's talking about uh The Book
[382] 45:33	of Numbers uh chapter 51 verse six what are the holy tools for something did
[383] 45:39	Israel have holy Tool Holy War tools okay we will take this actually is a kind of
[384] 45:46	more nuanced question than you would expect
[385] 45:52	though uh verse 6 says Moses sent them a thousand of each tribe to the war and
[386] 45:58	sinius Son of elieza the priest to the war with them and the holy vessels and the trumpets for the alarm in his hand
[387] 46:04	okay so they made war against Midian just said the Lord had commanded Moses and they killed every male all right
[388] 46:11	what are the holy tools okay the holy tools are the implements
[389] 46:16	that were used in the Tabernacle that's what they are
[390] 46:21	what relevance do they have to war well they were used uh the fact is the Ark of the Covenant the altars these were often
[391] 46:29	taken on Parade when Israel went to war and they were done so to try to elicit God's blessing
[392] 46:37	on the combat they did not have holy tools of War
[393] 46:42	now there is an exception to this
[394] 46:48	get in that moment
[395] 46:53	that exception here is when a particularly notorious battle
[396] 46:59	was won the vanquished's weapons would be taken
[397] 47:05	and put into a chapel as basically a sign of God's Deliverance
[398] 47:12	the most notable of these is the sword of Goliath when Goliath was was vanquished it was
[399] 47:19	seen as a great Victory by God so his sword was taken and put
[400] 47:25	in a chapel and essentially David has goes back and
[401] 47:30	retrieves Goliath's sword from the chapel and uses it as his own weapon
[402] 47:35	because there was this idea that God this is the symbol of God's
[403] 47:41	um um deliverance and protection and he's going to use it in his future battles
[404] 47:47	so there is a small sense in which this is true but the holy tools reference here are
[405] 47:55	not weapons they're actually Implements of the Tabernacle
[406] 48:00	so you'd have say the incense alter the altar of uh offerings the
[407] 48:08	um the offering table and of course the Ark of the Covenant so those are the holy implements
[408] 48:14	and as well as say um some minor things
[409] 48:24	that's funny
[410] 48:31	I have to find it here um where's the 501 Mobius
[411] 48:37	Mobius I'm gonna highlight that one because that one is priceless I love
[412] 48:42	that one laughs
[413] 48:48	uh so no holy hand grade so no Holy Hand
[414] 48:58	Grenade of Antioch no sorry that is hysterically funny
[415] 49:08	I so wish there was a holy angry native Antioch
[416] 49:14	it would so transform the biblical narrative
[417] 49:21	this though
[418] 49:26	yeah so um uh ultimately again we're talking here
[419] 49:33	about the Ark of the Covenant and it's it's accompanying shrines or accompanying uh ritual furniture and um
[420] 49:40	it's it's holy implements which happened to do more with the service of the Tabernacle than it has to
[421] 49:48	do with any weapons of war so anyway let me get back to the
[422] 49:54	original Super Chat here um so anyway I hope that answered your
[423] 49:59	Super Chat thank you very much to the Super Chat really appreciate it and I hope that helped
[424] 50:06	coolie27 says but there was a killer rabbit oh yeah sure absolutely
[425] 50:12	hey you're not supposed to touch those rabbits okay that's a No-No in the Bible
[426] 50:22	okay our next Super Chat here is also from Albert Robinson for 50
[427] 50:28	Swedish kroners thank you very much Super Chat
[428] 50:34	um the book of Deuteronomy chapter 25 was there a difference between murder
[429] 50:40	and murder with a weapon also why did the high priest need to die before coming back
[430] 50:46	I don't understand that second question
[431] 50:51	um that one doesn't make a lot of sense to me uh do you understand that second part
[432] 50:57	uh why did the high priest need to die before coming back I'm not sure what you mean by that okay
[433] 51:03	but let's see the first one the whole difference of of murder and versus
[434] 51:10	um
[435] 51:18	sorry uh Deuteronomy
[436] 51:24	trying to get rid of that annoying uh highlighting sometimes uh it wouldn't actually be it's not in
[437] 51:30	Deuteronomy so it's actually in numbers so
[438] 51:37	so as foremost book not uh five
[439] 51:42	so let's go to that here okay and what the text here is talking about
[440] 51:48	is the levitical city uh the uh Refuge cities okay now
[441] 51:53	Israel had set up Cities of Refuge or
[442] 52:00	um so if people were accused of murder and were innocent
[443] 52:06	because they didn't intend to murder somebody or they were falsely accused they could flee to these Refuge cities
[444] 52:12	to Escape say angry Avengers Angry relatives
[445] 52:19	so they were fleeing the The Lex tillianus the law of Retribution
[446] 52:26	but there is a difference here between murder and murder with a weapon now
[447] 52:34	here's how they're parsing this we can go down here to let's see what's
[448] 52:40	first of this
[449] 52:48	okay it begins at verse 16.
[450] 52:55	let's start actually verse 50. these six cities shall be for refuge for the sons of Israel and for the alien and for the
[451] 53:01	Sojourner among them that anyone who kills a person unintentionally May flee there
[452] 53:09	but if he struck him down with an iron object so that he died he is a murderer
[453] 53:16	the murderer shall surely be put to death okay so if you struck him down
[454] 53:21	with an iron object okay you had something in your hand and just beat the guy down that's not unintentional at
[455] 53:28	least not in the mindset verse 17 if he struck him down with a stone in The Hand by which he may die as
[456] 53:34	a result he died he's a murderer and the murder shall be purely put to death okay okay so you're not using an iron tool
[457] 53:41	now you're using Stone still a weapon at Verse 18 or if he stuck him down with
[458] 53:48	a wooden object in his hand by which he may die as a result he died he's a murderer okay so if you if you
[459] 53:55	beat a guy down with a Louisville Slugger yeah you're still a murderer
[460] 54:01	in verse 19 the blood Avenger himself shall put the murderer to death and he
[461] 54:06	shall put him to death when he meets him Okay so
[462] 54:12	that's there's there's that idea here that if it looks like murder
[463] 54:18	probably is murder so
[464] 54:25	um verse 20 and then speaks to intent and if he pushed him of hatred or threw
[465] 54:32	something at him lying in weight and as a result he died or if he struck him down with his hand in enmity
[466] 54:39	and as a result he died the one who struck him shall surely be put to death he is a murderer the blood Avenger shall
[467] 54:45	put the murderer to death when he meets them okay if you meant to kill him
[468] 54:50	you're a murderer or if you did it out of anger You're a
[469] 54:56	murderer but the Refuge cities are for a
[470] 55:03	different situation okay but if he pushed some but if he pushed
[471] 55:10	him suddenly without enmity or through something at him without lying in weight
[472] 55:16	or if any deadly object of stone and without seeing it dropped on him so that
[473] 55:22	he died while he was not his enemy nor seeking his injury
