[0] 0:00	Heat.
[89] 9:45	Just don't make the bread like sloppy.
[90] 9:51	Well,
[91] 9:53	I try not to make bread like sloppy.
[92] 10:01	Okay, so we're going to get on to the
[93] 10:03	questions here. And the questions, uh,
[94] 10:07	channel rules are the same as always.
[95] 10:08	Super chats have priority. You guys all
[96] 10:10	know that.
[97] 10:12	Uh, nons super chat questions should be
[98] 10:15	begin with a Q and a colon. And if they
[99] 10:17	don't, we don't see them. We don't look
[100] 10:19	for anything else. Okay.
[101] 10:22	Only post your non-super chat questions
[102] 10:24	once,
[103] 10:27	otherwise your question will be
[104] 10:29	disqualified for the night.
[105] 10:31	If it's something from the Bible, please
[106] 10:33	give us some context. So, we're going to
[107] 10:34	need what book it's from, what chapter,
[108] 10:36	and what verse. That just saves us a
[109] 10:38	whole lot of time and helps you us to
[110] 10:40	answer your question.
[111] 10:43	You may sponsor super chat uh non-super
[112] 10:45	chats with super chats, but we ask that
[113] 10:47	you copy the question into the super
[114] 10:49	chat. Again, that saves us time and
[115] 10:52	saving us time means we don't have to
[116] 10:54	hunt for things and that means no dead
[117] 10:56	air. And finally, we ask that you only
[118] 11:01	put one question per chat. That way it's
[119] 11:06	you we don't get question stacking and
[120] 11:08	that's just fair to everybody who's
[121] 11:10	who's put in
[122] 11:13	uh a question. All right, so
[123] 11:17	let's get into the questions.
[124] 11:19	Going to start the night here with uh
[125] 11:21	three nons super chats.
[126] 11:24	Uh the first one
[127] 11:27	get that off here
[128] 11:30	is from
[129] 11:32	uh Golden Win
[130] 11:34	and asked an uh interesting
[131] 11:36	philosophical question. Could AI with
[132] 11:39	sufficient complexity develop a soul?
[133] 11:43	And my thoughts on this are yeah, why
[134] 11:48	not? Why can't they?
[135] 11:52	Here's the thing.
[136] 11:54	The idea of a soul, which is just more
[137] 11:56	or less a very complicated spirit,
[138] 12:00	isn't something distinct to humans.
[139] 12:03	Okay?
[140] 12:05	Uh
[141] 12:07	it's angels
[142] 12:09	have a spirit,
[143] 12:12	animals have spirits,
[144] 12:15	human beings have spirits. Now, there's
[145] 12:18	a question of whether a human being has
[146] 12:20	a spirit and a soul or if the spirit is
[147] 12:24	just another name for or a soul is just
[148] 12:26	another name for the spirit. So, that's
[149] 12:28	a that's a debate and we're not going to
[150] 12:29	get into that.
[151] 12:31	But
[152] 12:33	yes, Dawson, your cat has a soul and
[153] 12:35	it's going to hell cuz all cats souls go
[154] 12:37	to hell.
[155] 12:40	[Laughter]
[156] 12:46	Cats are evil.
[157] 12:54	Oh no, he's so nice though.
[158] 12:58	I think it's a theological thing.
[159] 13:07	Oh, bunnies are all bunnies are good.
[160] 13:09	All bunnies are inherently good. They're
[161] 13:11	all going to heaven.
[162] 13:15	[Laughter]
[163] 13:22	Dark Blade, where do Russian ghost
[164] 13:24	hamsters go? Oh, straight to the bottom
[165] 13:28	of the inferno.
[166] 13:30	Those things are just evil. Just evil.
[167] 13:36	Cats are reprobate, but Russian
[168] 13:38	hamsters, they're they're total pure
[169] 13:41	evil.
[170] 13:48	[Music]
[171] 13:51	So, um, no, seriously, uh, though, um, I
[172] 13:57	can't see any reason why
[173] 14:01	a sufficiently complexed AI, especially
[174] 14:04	one capable of moral reasoning,
[175] 14:07	that seems to be a huge portion of this.
[176] 14:10	If it can do moral reasoning,
[177] 14:13	then it seems to be qualify for
[178] 14:16	preservation.
[179] 14:18	So if it's something that can do moral
[180] 14:20	reasoning like a plant, a plant would
[181] 14:23	not be a would not have a spirit. It's
[182] 14:26	not capable of moral reasoning. It's not
[183] 14:29	capable of making decisions as it were.
[184] 14:31	It just grows.
[185] 14:34	So
[186] 14:37	So I think that in a soul having a soul
[187] 14:41	having a spirit is not exclusive to
[188] 14:44	biological life. In fact, we know it's
[189] 14:46	not exclusive to biological life. Angels
[190] 14:49	have are spirits. They're not biological
[191] 14:52	life.
[192] 14:54	They're spirit critters.
[193] 14:58	They have complexity in their own way,
[194] 15:02	but they're not biological. Not by a
[195] 15:05	long shot.
[196] 15:10	Um the whole question of whether
[197] 15:14	uh plants can feel pain is hotly
[198] 15:17	debated. Um those tests, especially the
[199] 15:20	ones in the 1970s that were done to see
[200] 15:23	if if plants have can respond to
[201] 15:25	emotion, music,
[202] 15:28	um pain, that sort of thing. all have
[203] 15:32	been irreduc uh have been irre
[204] 15:36	um not reproducible.
[205] 15:40	So it's it's all it's all sort of
[206] 15:44	unreproducible results.
[207] 15:47	So there's no evidence that that plants
[208] 15:51	feel pain or have moral reasoning or
[209] 15:54	have a spirit. And as such,
[210] 16:06	Carrie Stark says, "Isn't there that
[211] 16:08	bugge eating plant?" Oh, yeah. Tons of
[212] 16:10	them. In fact, I used to have one of the
[213] 16:12	largest collections of of carnivorous
[214] 16:14	plants in Canada. This was before I went
[215] 16:17	off and did my PhD. I had uh 50 species
[216] 16:20	of carnivorous plants. I used to collect
[217] 16:22	them. So I know all about carnivorous
[218] 16:25	plants.
[219] 16:30	So it was uh but they they they had
[220] 16:34	motion
[221] 16:36	but it was all it was all how do I say
[222] 16:40	this? Um um
[223] 16:45	phytochemical locomotion.
[224] 16:48	So of course you did.
[225] 16:52	Oh yeah, I could wax eloquent on on
[226] 16:54	carnivorous plants if you want. I mean,
[227] 16:56	it's just Oh yeah, we had we had large
[228] 17:00	northeiana uh nepenthees. We had
[229] 17:03	sarasenas.
[230] 17:05	Uh we had um droera which the sundos
[231] 17:10	uh my favorite were the utricularia
[232] 17:13	which were the bladder warts. Um had a
[233] 17:17	few um other strange oddities as well.
[234] 17:22	Uh BC Dr. Faulk's biography would be an
[235] 17:26	encyclopedia.
[236] 17:28	I don't know about that. But
[237] 17:32	dossman ancient Egypt in the Bible and
[238] 17:34	like a million other things.
[239] 17:44	Someone update Fulipedia. I don't even
[240] 17:46	have a wiki page. No one cares enough.
[241] 17:54	Yeah, there'd be too many idiots getting
[242] 17:55	in there and doing stuff. So,
[243] 18:02	but no, I I I don't think carnivorous
[244] 18:04	plants, as much as I love them, I really
[245] 18:06	really like carnivorous plants. They're
[246] 18:09	among my favorite kinds of plants. Uh
[247] 18:12	they are not uh I don't think they have
[248] 18:14	a spirit.
[249] 18:24	All right.
[250] 18:27	So um so yeah, absolutely. I think I
[251] 18:30	think if a an an AI that is sufficiently
[252] 18:33	complex and has moral reasoning could
[253] 18:37	develop something worth preserving. And
[254] 18:40	if it's worth preserving in the eyes of
[255] 18:42	God, then it can have a spirit. So
[256] 18:47	because here's the thing, God determines
[257] 18:49	what has a spirit and what doesn't. We
[258] 18:51	don't determine it. And it's not
[259] 18:53	something that's necessarily
[260] 18:55	emergent with biology.
[261] 18:59	So given that it's not necessarily
[262] 19:00	emergent with biology,
[263] 19:03	but it is something that is seen as
[264] 19:05	being a spirit in the eyes of God. Yeah,
[265] 19:07	sure. Absolutely. An AI could have with
[266] 19:10	sufficient complexity could develop a
[267] 19:12	soul. There's nothing preventing it. So
[268] 19:15	anyway, I hope that helped. That was a
[269] 19:16	great question and an interesting one
[270] 19:18	and a very philosophical one too. All
[271] 19:25	right, next one here
[272] 19:28	is from Harry Stark. Was Oregon a
[273] 19:31	universalist?
[274] 19:34	That's a debated point. A lot of people
[275] 19:36	a lot of people think he was. I
[276] 19:38	personally don't. I think he was sort of
[277] 19:41	in that that area of hopeful
[278] 19:43	universalist.
[279] 19:45	I don't think Oregon really believed
[280] 19:47	everyone was going to be saved. but that
[281] 19:51	he hoped everyone would be saved.
[282] 19:54	There's a lot of those people out there.
[283] 19:56	There's a lot of hopeful universalists
[284] 19:59	that are not
[285] 20:01	universalists in in absolute terms. They
[286] 20:04	don't believe that everyone will be
[287] 20:06	saved, but that the possibility exists
[288] 20:10	that everyone could be saved.
[289] 20:13	And I think I think Oregon fits in that
[290] 20:15	category of a hopeful universalist. I
[291] 20:18	don't think he was an actual
[292] 20:19	universalist.
[293] 20:26	Uh Ryan Cohen Camp, shouldn't we all be
[294] 20:29	hopeful universalists?
[295] 20:34	Yeah, we should be hopeful
[296] 20:36	universalists, but then it comes down to
[297] 20:38	the question of
[298] 20:41	is it a true position that universalism
[299] 20:44	is
[300] 20:46	is going to be? And then you've got to
[301] 20:48	be No,
[302] 20:51	no, no, that ain't going to work.
[303] 20:54	Universalism doesn't work ultimately.
[304] 20:58	But
[305] 21:02	so anyway,
[306] 21:04	um
[307] 21:06	it'd be nice if if universalism was
[308] 21:10	that eventually all would bend the knee
[309] 21:12	to Christ, but all won't. All won't.
[310] 21:16	And all you know those who won't will be
[311] 21:19	sent off on their own.
[312] 21:27	Uh big destiny. Can you define
[313] 21:29	universalism? Sure. Universalism is the
[314] 21:32	belief that every person will be saved
[315] 21:35	and that they will they will repent to
[316] 21:39	Jesus Christ. Everyone.
[317] 21:42	everyone from
[318] 21:44	the Pope right down to the guy with the
[319] 21:46	funny the German socialist with the
[320] 21:49	funny mustache. Okay, universalists
[321] 21:52	believe that the worst of the national
[322] 21:55	socialist people workers party will be
[323] 21:58	saved.
[324] 22:00	Okay, so
[325] 22:03	that's universalism in a nutshell.
[326] 22:05	Everyone eventually comes to Christ
[327] 22:08	whether or not they want to.
[328] 22:15	Yeah. They believe that Austrian painter
[329] 22:17	guy is going to be saved.
[330] 22:20	And I don't see it. Honestly, I don't.
[331] 22:28	So I I'm not a universalist myself.
[332] 22:31	Um, I believe in passive eternal
[333] 22:35	conscious torment. I think that is the
[334] 22:38	most biblically correct decision. And
[335] 22:41	frankly, my wishes on this don't play a
[336] 22:44	part in in determination. It's what does
[337] 22:46	the scriptures teach? And I think the
[338] 22:49	scriptures are quite clear that there is
[339] 22:52	an eternal punishment for the
[340] 22:55	unredeemed. So,
[341] 23:07	Okay. So, next one.
[342] 23:11	Next one is going to be from Mike JSB.
[343] 23:15	And since we're doing the ABR boogie
[344] 23:17	here, what better than a question about
[345] 23:19	Scott Strippling?
[346] 23:21	Uh, Mike asks, "How would you address
[347] 23:24	Strippling's claims about Shiloh,
[348] 23:26	specifically his associating the final
[349] 23:28	remains and late bronze 2A pottery from
[350] 23:32	the Favasa with an Israelite
[351] 23:35	occupation." Okay.
[352] 23:38	And there's a there's several issues
[353] 23:39	with that, not the least of which is
[354] 23:41	Scott's reporting.
[355] 23:45	Now, we have to keep in mind here that
[356] 23:48	Scott has not published his findings
[357] 23:51	from Shiloh.
[358] 23:54	It's really really hard to to address a
[359] 23:59	claim that's not public properly
[360] 24:02	published. And this is a beef I've
[361] 24:04	always had with Scott is the dude
[362] 24:08	doesn't publish his results.
[363] 24:11	Proto paper. Oh. Oh, Ryan. Ryan.
[364] 24:19	Yeah. Proto paper. Yeah.
[365] 24:23	Satui says, "Field reports or it didn't
[366] 24:25	happen." Yeah. Yeah. Field reports or it
[367] 24:29	didn't happen. And that's where we're
[368] 24:32	like, that's that's where we're at with
[369] 24:33	Scott. You know, he hasn't published his
[370] 24:36	results. He keeps saying he's going to
[371] 24:38	publish them. He doesn't.
[372] 24:41	So it's really hard to to comment on any
[373] 24:45	of his claims. Like I mean he he will go
[374] 24:47	and do a hundred talks but never
[375] 24:50	actually get a field report published.
[376] 25:01	Uh Danny demand I want gee I wonder why
[377] 25:04	he does this.
[378] 25:07	Brian trust me bro. Oh yeah, and it's
[379] 25:10	even worse than that because it's not
[380] 25:12	just trust me, bro. If
[381] 25:15	I mean, if you start questioning his
[382] 25:17	claims because he hasn't published any
[383] 25:19	of this, you know, he starts he starts
[384] 25:22	accusing you of of not being in the
[385] 25:24	faith,
[386] 25:26	you know, cuz I I question his claims
[387] 25:28	and he'll just go, "Well, you know, you
[388] 25:31	know that that folk guy, he's
[389] 25:34	can't trust him. I don't I don't find
[390] 25:35	him trustworthy.
[391] 25:38	I'm not even sure he's saved.
[392] 25:44	The direct quote, by the way,
[393] 25:48	[Laughter]
[394] 26:00	Slamar says, "First, they have to clean
[395] 26:02	up all the moola from those who do not
[396] 26:04	know any better." Yeah. Yeah, there's
[397] 26:07	definitely a money incentive there. It's
[398] 26:09	why they never they never back down.
[399] 26:12	It's why they never back down on any of
[400] 26:13	their claims. They still haven't backed
[401] 26:16	down on their claims of Jericho. And
[402] 26:17	that's been long disproven. You know,
[403] 26:20	that was that was disproven in the
[404] 26:22	1990s. And there still many times
[405] 26:25	doubling down on the so-called
[406] 26:29	uh
[407] 26:31	typology of Bryant Wood basically
[408] 26:34	claiming that destruction city for
[409] 26:37	Jericho dates to 1400. Still doubling
[410] 26:40	down on that.
[411] 26:42	So
[412] 26:44	So yeah.
[413] 26:47	So, so Strippling is not a universalist.
[414] 26:54	>> No.
[415] 26:55	>> No, he's not a universalist.
[416] 27:00	>> He's one of those ones.
[417] 27:07	>> Yeah. Yeah. Scotland Strippling thinks
[418] 27:09	that heaven is a pretty small place.
[419] 27:12	Very, very small place. And not many
[420] 27:14	people are getting in.
[421] 27:21	So yeah.
[422] 27:25	Okay.
[423] 27:28	So, uh,
[424] 27:31	again, yeah, you can't really respond to
[425] 27:32	this until you see the reports because
[426] 27:36	here's the thing. One of the things that
[427] 27:38	Strippling has done in the past is he
[428] 27:40	has misdated pottery to make it fit his
[429] 27:44	ideology. He did that at Mount Eel.
[430] 27:48	Like he found four um four kinds of
[431] 27:52	pottery that he said were late bronze
[432] 27:55	one 1A and
[433] 27:59	you know you start and he cited his
[434] 28:02	sources and you look up the sources and
[435] 28:04	the sources basically don't confirm what
[436] 28:06	he's saying. So he'll fudge sources.
[437] 28:11	I mean, he'll fudge them so much it's
[438] 28:14	like death like death from chocolate.
[439] 28:18	Death by chocolate. That's how much he
[440] 28:19	fudges his sources.
[441] 28:24	By the way, I am really hungry and
[442] 28:25	really tired, so I'm going to be
[443] 28:26	triggered by anything that regarding
[444] 28:28	food tonight.
[445] 28:31	So, just giving you a heads up.
[446] 28:34	Um,
[447] 28:37	so yeah, he we he we can't trust Scott
[448] 28:39	to to quote sources correctly. We can't
[449] 28:44	trust
[450] 28:46	Strippling to to accurately report his
[451] 28:50	findings. Like for example, his his
[452] 28:53	reporting of it of the findings at
[453] 28:55	Telmier
[454] 28:57	were disgraceful.
[455] 28:59	Um, so it's just like
[456] 29:04	dark blade, the ABR creed or the ABR
[457] 29:08	boogie. I believe in one God, the 1446
[458] 29:11	BC Almighty, maker of heaven and earth.
[459] 29:20	That's what it is. They've turned a a
[460] 29:23	minor debate
[461] 29:26	over a date into a salvific issue.
[462] 29:29	That's a real problem.
[463] 29:32	If you're if you're if you're elevating
[464] 29:35	a basically a minor academic
[465] 29:38	chronological debate to an issue of
[466] 29:41	salvation,
[467] 29:43	that tells me something about your
[468] 29:45	theology.
[469] 29:48	And that's not a compliment.
[470] 29:50	It's not a compliment.
[471] 29:53	So,
[472] 29:58	oh boy. So, anyway, let's move on to the
[473] 30:01	super chats here because that's are
[474] 30:05	uh that's all I'm going to say about uh
[475] 30:07	Scott Stipling's claims about Shiloh. I
[476] 30:09	don't trust them. Nobody has any reason
[477] 30:11	to trust him. He hasn't published him
[478] 30:13	and he fudges his data.
[479] 30:20	Next time you go to a conference with
[480] 30:22	him, you should bring him some fudge.
[481] 30:26	Fudge is too good for him.
[482] 30:34	Okay. Uh, first super chat of the night
[483] 30:36	here is from Seibith for $5 Canadian.
[484] 30:39	Thank you for the super chat. How did
[485] 30:42	Moses's brother kill uh, sorry, how did
[486] 30:44	Moses's brother Aaron survive the
[487] 30:47	killing of the boys in Egypt? Seems like
[488] 30:50	if Moses was in danger, Aaron would have
[489] 30:52	been as well. Okay,
[490] 30:55	here is
[491] 30:58	Dossman. Fudge is great. Bring him some
[492] 31:00	poorly break bread.
[493] 31:06	Hey, I'm not like sloppy. I make good
[494] 31:08	bread.
[495] 31:10	We had southern biscuits tonight. They
[496] 31:13	were very We went off keto tonight and
[497] 31:15	had southern biscuits and they were they
[498] 31:17	were scrum. really scrum.
[499] 31:26	Okay.
[500] 31:29	Oh, Ryan, that's the yeast you could do.
[501] 31:32	Ouch.
[502] 31:35	Okay. Uh, getting back to say Shiba's
[503] 31:37	question here. How did Moses's brother
[504] 31:40	Aaron survive the killing of the boys in
[505] 31:43	Egypt? Seems as if Moses was in danger.
[506] 31:46	If like if Moses was in danger, Aaron
[507] 31:48	would have been as well. Okay, here's
[508] 31:50	the difference. The difference was three
[509] 31:52	years.
[510] 31:54	Aaron is three years older than Moses.
[511] 31:57	Okay, so by the time the edict came from
[512] 32:02	Pharaoh to start killing the children,
[513] 32:06	he was already Aaron was already beyond
[514] 32:09	that point of being say a
[515] 32:13	infant.
[516] 32:14	Now, here's the thing.
[517] 32:16	back then in the late Bronze Age
[518] 32:22	uh and and most of antiquity,
[519] 32:25	infant mortality was at about 50%.
[520] 32:29	That's one out of two children dying
[521] 32:31	just from some post-natal infection.
[522] 32:37	That's a high number.
[523] 32:40	Okay. So back then if some potentate
[524] 32:45	wanted to kill children,
[525] 32:48	nobody was really going to put their
[526] 32:49	life on the line to protect somebody who
[527] 32:55	life was more or less a coin flip.
[528] 33:01	There was no there was no guarantee that
[529] 33:04	that child was going to survive to a
[530] 33:06	second birthday.
[531] 33:09	So
[532] 33:12	the the problem here is going to be
[533] 33:17	that if Pharaoh starts killing off
[534] 33:19	threey olds and sixy olds and 18y olds,
[535] 33:24	oh yeah, you're going to get the
[536] 33:26	population uprising. You're going to get
[537] 33:28	uprising over that.
[538] 33:30	They'll stand by and they'll watch their
[539] 33:31	infants be killed because again it's a
[540] 33:33	coin flip whether or not they live or
[541] 33:34	die.
[542] 33:36	But people that already are alive and
[543] 33:40	are
[544] 33:43	sort of walking around. Yeah, you get a
[545] 33:46	really different response here.
[546] 33:49	So Aaron wasn't in danger cuz he was
[547] 33:52	already too old. He was already three.
[548] 33:56	So, and we don't know exactly when that
[549] 34:00	was, but it was probably began that this
[550] 34:02	this issue of killing baby boys probably
[551] 34:06	happened in the first year of King I.
[552] 34:09	So,
[553] 34:11	um at that point, Aaron is already
[554] 34:15	three. He's sort of beyond the threshold
[555] 34:18	of being in danger.
[556] 34:20	Um and that's probably how he survived
[557] 34:23	this.
[558] 34:24	So, I hope that helps.
[559] 34:32	Uh, Harry Stark asks, "Uh, when Moses
[560] 34:34	saw the burning bush, was Moses an old
[561] 34:37	man or a young man?"
[562] 34:39	Uh, he would have been an old man at
[563] 34:41	that point because he sent right back to
[564] 34:43	Egypt.
[565] 34:44	So, he probably would have been in his I
[566] 34:48	would say in his 60s at the time.
[567] 34:51	So uh I don't think I don't think he
[568] 34:53	left Egypt when he was 40. I think he
[569] 34:55	was less under the age of 20 at the
[570] 34:58	time. He left for Midian for about 40ish
[571] 35:01	years and he comes back in his late 50s,
[572] 35:03	early 60s.
[573] 35:05	So
[574] 35:08	he'd be about my age.
[575] 35:15	Oh, I feel sold.
[576] 35:22	Uh, Dark Blade asks, "So, Aaron was
[577] 35:24	probably born
[578] 35:26	um,
[579] 35:29	I think he means late in the reign of
[580] 35:30	Tuton Kamoon. Is that correct?" Yeah,
[581] 35:33	that'd be correct. He would have been
[582] 35:35	probably born in year sevenish.
[583] 35:40	So, sometime around year seven of the
[584] 35:42	reign of Tutin Kamoon. So,
[585] 35:47	so that would that would that would be
[586] 35:49	correct. That's when would Aaron would
[587] 35:51	be born and then Moses would have been
[588] 35:54	born in the first year of King I
[589] 35:58	as we can best figure this out. So yeah,
[590] 36:02	absolutely. So anyway, say Shibith, I
[591] 36:05	hope that helped. Thank you very much
[592] 36:06	for the super chat. Very much
[593] 36:08	appreciated.
[594] 36:14	big destiny. You're never too old to
[595] 36:17	start it up rising.
[596] 36:20	It started off as a labor dispute,
[597] 36:23	but it certainly ended up being
[598] 36:25	something else.
[599] 36:29	Okay, next super chat here is from Big
[600] 36:31	Destiny for $4.99. Thank you for the
[601] 36:33	super chat.
[602] 36:34	It seems like God has established
[603] 36:36	hierarchies through his creation. Angels
[604] 36:39	and archangels, men over animals, and
[605] 36:41	some animals over others.
[606] 36:45	What makes one creation more valuable
[607] 36:47	than other in God's eyes? Thank you, Dr.
[608] 36:50	Fel. Well, you're welcome. Um, I don't
[609] 36:52	think
[610] 36:55	I don't think that one creation is
[611] 36:59	necessarily more valuable even if
[612] 37:01	there's hierarchies. Hierarchies don't
[613] 37:05	don't convey value. They convey order.
[614] 37:09	And it is clear that God has an ordered
[615] 37:12	creation.
[616] 37:14	But that doesn't make one creation more
[617] 37:16	valuable than the other. God's a God who
[618] 37:18	loves to create.
[619] 37:20	God loves to be in community because he
[620] 37:23	loves being in community. He's he
[621] 37:26	creates all over the place,
[622] 37:29	but not willy-nilly and not
[623] 37:31	capricciously.
[624] 37:33	So, I don't think it's a matter of one
[625] 37:36	creation being more valuable, but I
[626] 37:38	think it's a matter of because I think
[627] 37:40	God loves his his his spirit creator
[628] 37:43	children just as much as he loves
[629] 37:45	humans. The difference is his spirit
[630] 37:48	critter children are already on his
[631] 37:50	side,
[632] 37:51	whereas humans, it's a 50-50
[633] 37:53	proposition. So,
[634] 38:01	>> yeah. Yeah, God is in covenant with
[635] 38:04	animals. I mean, animals are part of the
[636] 38:07	Noic covenant. God is in covenant with
[637] 38:09	animals.
[638] 38:10	God is in covenant with people. And God
[639] 38:13	has a covenant with his spirit critters,
[640] 38:14	too. So,
[641] 38:18	so yeah.
[642] 38:21	Um, so I don't think it's a matter of
[643] 38:24	one being more valuable than the other.
[644] 38:26	And I don't think you could even assume
[645] 38:27	that there's a value proposition there.
[646] 38:30	But I think it is more of a matter that
[647] 38:32	there is hierarchy and there is order
[648] 38:33	within creation. So hope that helped.
[649] 38:37	Thank you for the super chat. Very much
[650] 38:38	appreciated.
[651] 38:41	Okay. Striding hermit for $5. Thank you
[652] 38:43	for the super chat. Blessings Faulk
[653] 38:46	family. Well, blessings to you, too.
[654] 38:48	Glad you're giving us more of your time.
[655] 38:51	Question. Well, I mean, it's Friday.
[656] 38:54	This is where I am every week.
[657] 38:56	Uh this is how I this is how I say
[658] 38:59	culture basically. Um so I don't have to
[659] 39:02	keep ask uh answering unrelated
[660] 39:05	questions on the channel chats. I do
[661] 39:10	this every Friday so we advise people to
[662] 39:13	come in and give us our questions here
[663] 39:16	so we have the opportunity to for
[664] 39:19	everyone to benefit from them. So this
[665] 39:22	is a public service as much as anything.
[666] 39:25	Okay. His question is, is it likely that
[667] 39:27	Aaron's sons are in the kingdom after
[668] 39:30	the sacrifice of Leviticus 16 1 uh 16-6?
[669] 39:35	Okay, let's look at that.
[670] 39:40	Okay, Leviticus. And I think I know
[671] 39:42	which one is this is talking about here.
[672] 39:49	Okay. And the text reads, "Now the Lord
[673] 39:52	spoke to Moses after the death of his
[674] 39:54	two sons of the two sons of Aaron when
[675] 39:56	they had approached the presence of the
[676] 39:57	Lord and died. And the Lord said to
[677] 40:01	Moses, tell your brother Aaron that he
[678] 40:03	shall not enter at any time into the
[679] 40:05	holy place inside the veil before the
[680] 40:07	mercy seat which is on the ark, lest he
[681] 40:09	die. For I will appear in the cloud over
[682] 40:12	the mercy seat."
[683] 40:14	and Aaron shall enter the holy place
[684] 40:16	with this with a bull for a sin offering
[685] 40:18	and a ma ram for a burnt offering.
[686] 40:21	He shall put on the holy linen tunic and
[687] 40:24	the linen undergarments shall be next to
[688] 40:25	his body and he shall be girded with the
[689] 40:28	linen sash and attired with the linen
[690] 40:30	tournament of these holy garments. And
[691] 40:32	he shall bathe his body in water and put
[692] 40:34	them on. And he shall take from the
[693] 40:36	congregation of the sons of Israel two
[694] 40:38	male goats for a sin offering, one ram
[695] 40:41	for a burnt offering. Then Aaron shall
[696] 40:43	offer the bull of the sin offering which
[697] 40:45	is for himself that he may make
[698] 40:47	atonement for himself and his household.
[699] 40:50	Okay.
[700] 40:52	The question of Aaron's sons whether or
[701] 40:56	not they were saved is a difficult one.
[702] 41:01	Now
[703] 41:03	the problem with with the with Aaron's
[704] 41:06	sons were
[705] 41:08	they didn't follow the Lord's teachings.
[706] 41:11	They basically did things their own way.
[707] 41:15	So the problem is if you worship God,
[708] 41:17	you got to worship him God's way.
[709] 41:21	So when you got a couple of basically
[710] 41:26	young punks who were flippant about the
[711] 41:32	things of God,
[712] 41:34	the chances of them making it into the
[713] 41:36	kingdom probably pretty small. But he
[714] 41:40	still Aaron still has to make atonement
[715] 41:42	for his entire household because there's
[716] 41:44	an aspect of communal guilt here.
[717] 41:47	The thing is that when Aaron's sons
[718] 41:51	sinned, they sinned
[719] 41:55	with kind of with their father's
[720] 41:58	knowledge.
[721] 42:00	The father knew that these the his sons
[722] 42:02	were
[723] 42:04	not doing things the right way, but he
[724] 42:07	just let them do it.
[725] 42:09	Okay.
[726] 42:12	So,
[727] 42:16	there's an issue there as to whether
