[0] 3:03	Heat.
[50] 8:16	but I'm no polymath, right?
[51] 8:25	Uh, and Graham asks, "Uh, ordination,
[52] 8:28	possibly
[53] 8:30	aquarium caretaker, possibly."
[54] 8:39	But anyway, we'll let you know how it
[55] 8:40	goes. But we do ask that you pray for me
[56] 8:42	as this is like the first major set of
[57] 8:45	exams that I've actually done in over a
[58] 8:47	decade. So, uh,
[59] 8:51	count Marcy, driver's license. I already
[60] 8:53	have a driver's license. So, um, I don't
[61] 8:56	have a car. I have a driver's license,
[62] 8:59	though.
[63] 9:02	All right.
[64] 9:03	So, with that said, let's get to the uh
[65] 9:06	channel rules and then we'll get to the
[66] 9:07	questions here.
[67] 9:09	Uh channel rules are uh super chats have
[68] 9:12	priority. So um that's true of every
[69] 9:16	channel. Doesn't uh
[70] 9:19	uh does not Oh, I skipped yours. Um what
[71] 9:23	was your guess?
[72] 9:27	Uh slammer.
[73] 9:29	Uh some software code writing
[74] 9:31	certification
[75] 9:33	could be.
[76] 9:36	Okay. Uh
[77] 9:38	so uh second is uh we do take non-s
[78] 9:42	super chats but we ask that you put a Q
[79] 9:44	and a colon in front of the question so
[80] 9:46	that we see them. If I don't see the Q
[81] 9:48	and the colon we don't see it. It might
[82] 9:50	as well not exist. Okay. Second uh or
[83] 9:54	third only post non-suphat questions
[84] 9:57	once.
[85] 9:58	Double um uh posts of non-super chat
[86] 10:02	questions will be banned for the night.
[87] 10:06	Okay. Now, we already had somebody who
[88] 10:09	who did that and but we're going to
[89] 10:12	ignore that. Even if you post that
[90] 10:14	question at the beginning of of the
[91] 10:15	week, I still see it. Okay? So, don't
[92] 10:19	post it more than once. Um, we're real
[93] 10:21	serious about that rule.
[94] 10:26	Uh, if it's a verse from the Bible, we
[95] 10:28	ask that you give us a little context.
[96] 10:30	So, we're going to need what book it's
[97] 10:31	from, what chapter, and verse. Please
[98] 10:34	include the verse because we don't want
[99] 10:36	to go scanning through chapters. It just
[100] 10:38	takes too much time.
[101] 10:40	We also allow people to to sponsor us
[102] 10:44	non-s super chats and if you do that
[103] 10:46	please include the question in the super
[104] 10:48	chat so we don't have to hunt for it.
[105] 10:49	Makes things a lot easier. And then
[106] 10:51	finally one question per per chat.
[107] 10:54	Question stacking will be uh is not fair
[108] 10:58	to anybody. So we'll end up taking one
[109] 11:00	question out of the stack. All right.
[110] 11:03	So, with that said, let's get to the
[111] 11:05	questions.
[112] 11:08	Okay, our first question, and we want to
[113] 11:11	thank Diane Loftess for congratulating
[114] 11:14	us on 18,000 subs. Yeah, with the um
[115] 11:17	with the YouTube algorithm apocalypse,
[116] 11:20	it's been very, very difficult to get
[117] 11:22	new subs. So, the fact I mean, it took
[118] 11:25	us I think 10 months to get a thousand
[119] 11:28	subs. So, it's it's been a long time. It
[120] 11:31	used
[121] 11:32	>> Yeah, it used to take us three or four
[122] 11:34	months to do it. Now it's like 10
[123] 11:35	months. So
[124] 11:38	So yeah, it's a big deal now to get a
[125] 11:40	thousand subs. Like it it has never been
[126] 11:42	before.
[127] 11:44	So we do appreciate the congratulations
[128] 11:46	and we are thankful to all our
[129] 11:48	subscribers who have decided to stick it
[130] 11:50	out with us. We really really appreciate
[131] 11:53	it.
[132] 11:55	Okay, now the first actual question of
[133] 11:57	the night here is from frogpaste.
[134] 12:01	And he asks,
[135] 12:04	"Are you aware of any trade that existed
[136] 12:06	between Egypt and the Indis called the
[137] 12:09	uh Meluak in the third or second
[138] 12:12	millennium BC?" Uh early second
[139] 12:16	millennium, not so much or the third um
[140] 12:20	mid to late second millennium. Yes. Oh
[141] 12:23	yes.
[142] 12:25	Um the first sign that we have of actual
[143] 12:27	trade between Egypt and the Indis Valley
[144] 12:31	is the um cloves whole cloves that were
[145] 12:36	found in the tomb of King Tut
[146] 12:39	and and he his dates are in the 1320s
[147] 12:43	1328 to 1333 in that in that area. So
[148] 12:47	that's late second millennium. So late
[149] 12:50	second millennium absolutely we have um
[150] 12:53	evidence of trade between uh Egypt and
[151] 12:57	the Indis Valley and even further than
[152] 12:58	that later on during the Ramiside period
[153] 13:02	but um
[154] 13:05	but before that before the um tomb of
[155] 13:07	King T we don't have any much evidence
[156] 13:10	so of of trade with the Indis Valley.
[157] 13:13	So, uh, that's about the best that we
[158] 13:15	have at the moment. But, you know,
[159] 13:18	things can always show up.
[160] 13:21	So, that's that's that's one of those
[161] 13:22	things where, you know, all it takes is
[162] 13:24	someone finding another clove in some
[163] 13:26	old tomb somewhere to change our our
[164] 13:29	opinion of that once again. But right
[165] 13:30	now, the earliest evidence we have is
[166] 13:32	the tomb of King Tut. So, hope that
[167] 13:35	helps. Thank you for the question.
[168] 13:37	Really appreciate it.
[169] 13:40	Okay, next question here is from Harry
[170] 13:42	Stark
[171] 13:44	who asks, "Is Tertullian saying in the
[172] 13:46	apology that Pilate became a Christian
[173] 13:50	when Pilot was saying
[174] 13:52	when saying Pilot was a Christian in his
[175] 13:54	mind?" Yeah. Um,
[176] 13:59	I'd have to look at that that passage um
[177] 14:01	and really analyze it. But from what I
[178] 14:04	understand, yeah, uh, Tatulian was
[179] 14:07	actually following a belief that was um
[180] 14:12	that was among early Christians
[181] 14:15	that um those who that that when Pilate
[182] 14:20	um
[183] 14:22	um
[184] 14:25	uh crucified Christ that he became a
[185] 14:28	Christian's result.
[186] 14:30	Now,
[187] 14:32	there's no evidence for that. Uh, but
[188] 14:37	there was also there's also an account
[189] 14:39	historical account that said Pilate's
[190] 14:41	wife became a Christian.
[191] 14:45	And again, the evidence for that is
[192] 14:48	secondhand accounts from Christian
[193] 14:50	sources. So, um, it's not good evidence.
[194] 14:55	It's not good evidence.
[195] 14:57	Um whether or not any of that is true is
[196] 14:59	is anyone's guess, but um it's hard to
[197] 15:02	say. Now, we do know that Tertullian,
[198] 15:05	sorry, that Pilot did commit suicide
[199] 15:08	that we know.
[200] 15:10	So,
[201] 15:11	was it because of the crucifixion of
[202] 15:14	Christ? Was it because of the pressure
[203] 15:16	of um the job was too much for him? We
[204] 15:19	don't know.
[205] 15:21	uh governor of Judea is not was not a
[206] 15:24	low pressure um post.
[207] 15:28	So um and he was he was basically sent
[208] 15:31	out as as as governor of Judea
[209] 15:35	essentially to
[210] 15:37	put him out to pasture.
[211] 15:40	He was put out to pasture basically to
[212] 15:43	squeeze the locals and get rich. You
[213] 15:45	know that was his his his golden
[214] 15:46	parachute.
[215] 15:49	And there was there is some question
[216] 15:51	that he might have been considered
[217] 15:52	himself too young to have been put out
[218] 15:55	to pasture
[219] 15:58	feeling that his career had already been
[220] 15:59	over and he's been he was sidelined out
[221] 16:02	of Roman politics for a backwater
[222] 16:05	province.
[223] 16:08	So, it's possible
[224] 16:11	that the suicide of Pilate had more to
[225] 16:13	do with the fact that um he was never
[226] 16:18	going to become a high senator in Rome.
[227] 16:23	And it seems like that that was more his
[228] 16:25	goal was to become um
[229] 16:29	high up in in in in in
[230] 16:32	Roman politics than it was actually to
[231] 16:36	become a governor out in the boondocks.
[232] 16:39	So So that's that I hope was um explains
[233] 16:45	what I think happened to Pilot. Um, but
[234] 16:48	I don't think he became a Christian and
[235] 16:51	whether or not his wife did is kind of a
[236] 16:53	dubious thing, but there were many there
[237] 16:55	were Christian early Christian authors
[238] 16:56	that did believe this. So, I hope that
[239] 16:59	helps. Thank you for the question.
[240] 17:00	Really appreciate it.
[241] 17:09	All right, next one here.
[242] 17:18	is from uh wrong class
[243] 17:22	who asks did the Hebrews take any
[244] 17:24	Egyptian jew tools, jewelry, styles or
[245] 17:26	household items with them during the
[246] 17:28	Exodus? Yes, they did. All the above.
[247] 17:32	All the above.
[248] 17:34	Um they took with them tools because
[249] 17:37	bronze tools were valuable. Uh that
[250] 17:39	would have been included in the plunder
[251] 17:41	of Egypt. Jewelry styles. Sure. Um in
[252] 17:45	fact uh jewelry styles persisted uh from
[253] 17:48	the Bronze Age right into the um into
[254] 17:51	the iron age and um household items.
[255] 17:54	Yeah, they would have taken pots
[256] 17:57	um uh various uh amphora. They would
[257] 18:01	have taken
[258] 18:03	um
[259] 18:04	um household items such as looms,
[260] 18:08	um spinning wheels, that sort of thing.
[261] 18:11	So absolutely, yes. uh all of that they
[262] 18:13	would have taken with them because
[263] 18:15	because they're
[264] 18:18	they're they're the these are the items
[265] 18:20	that that people need to make things
[266] 18:22	work. They would have taken razors,
[267] 18:24	knives,
[268] 18:26	um needles,
[269] 18:29	all of that stuff. All that stuff they
[270] 18:30	would have taken with them. So
[271] 18:33	absolutely they would have the kitchen
[272] 18:35	sink. Yeah, they would have taken the
[273] 18:36	kitchen sink too.
[274] 18:38	If they had a kitchen sink, they would
[275] 18:40	have taken that also.
[276] 18:44	Okay. So,
[277] 18:47	uh, now, Bible Nerd, your question. Now,
[278] 18:50	you did post that question twice. In the
[279] 18:53	future, don't do that. Okay. Now, I did
[280] 18:55	ask you to post your question to the
[281] 18:57	live stream, and that's a good thing. We
[282] 18:58	want you to do that. But just in the
[283] 19:01	future, just to let you know, I see all
[284] 19:03	your questions come in. So, don't worry
[285] 19:06	about me missing a question just because
[286] 19:08	it disappears from the feed. Okay? So
[287] 19:11	with that said, let's get to the
[288] 19:13	question. And he asks, "What's your take
[289] 19:16	on Mored and Bithia, daughter of Pharaoh
[290] 19:19	in 1st Chronicles 4? Is it possible they
[291] 19:22	aren't contemporaries of Moses like
[292] 19:23	people assume, but much later like in uh
[293] 19:26	like the Ephraim of 1st Chronicles 7?"
[294] 19:28	Okay. Um,
[295] 19:30	I think that this is probably best
[296] 19:33	resolved by just looking at the text
[297] 19:35	here and just making an observation,
[298] 19:38	which is
[299] 19:40	1 Chronicles.
[300] 19:42	Chronicles
[301] 19:47	chapter 4.
[302] 19:50	Go down to Mored here.
[303] 19:55	Okay. Now, this is part of
[304] 19:59	Um, this particular section is the clans
[305] 20:03	of the tribe of Judah.
[306] 20:07	And verse 17 of of chapter 4 says, "And
[307] 20:11	the sons of Ezra were Jethther, Mored,
[308] 20:14	Epher, and Jalon. And these are the sons
[309] 20:17	of Bithia, the daughter of Pharaoh, whom
[310] 20:20	Mored took. and she con conceived and
[311] 20:24	bore Miriam Shemi
[312] 20:27	Ispah the father of Eshtimoah. Okay. Now
[313] 20:33	this you'll notice here that this
[314] 20:36	section
[315] 20:38	is in parentheses
[316] 20:41	and that's because this is a scribe
[317] 20:43	gloss.
[318] 20:45	This is a little piece of text that has
[319] 20:47	been inserted by a later author,
[320] 20:52	a later editor to help explain the text.
[321] 20:58	Okay? Because here's the thing. If you
[322] 21:01	remove this, and the sons of of Ezra
[323] 21:04	were Jethther, Mored, Epher, and Jalon.
[324] 21:08	and she conceived and bore Miriam Shemi
[325] 21:12	and Ishbath the father of Eshtam Moah.
[326] 21:16	Okay, the question is who is the she?
[327] 21:21	Somehow the she from 1 Chronicles 4 God
[328] 21:24	admitted.
[329] 21:27	So what's happened here is a later
[330] 21:29	author has come a later scribe has has
[331] 21:33	filled in that blank.
[332] 21:37	Now, it's possible that one of these
[333] 21:40	persons, Mered Effer, Jalon,
[334] 21:44	they one of them could have been
[335] 21:46	daughters.
[336] 21:47	Okay? One of them could have been a
[337] 21:49	daughter and we're not exactly sure
[338] 21:50	which one is the daughter. Okay? And
[339] 21:54	this is this is sort of true when it
[340] 21:56	talks about say the sons.
[341] 22:00	Well, if there's a daughter in though
[342] 22:02	that rank that has an important clan
[343] 22:05	link, they will she'll be limp limp
[344] 22:07	lumped with the sons. And this does
[345] 22:09	happen in 1 Chronicles chapter 7.
[346] 22:12	But in this particular case, the the
[347] 22:16	daughter is not explicitly pointed out
[348] 22:19	in the text. And because of that, the
[349] 22:22	chronicler here or somebody later, most
[350] 22:25	likely somebody later has added a
[351] 22:29	scribal gloss and try to connect Mered
[352] 22:33	to the daughter of Pharaoh. Okay, now
[353] 22:36	here's the problem with that whole
[354] 22:38	thing. Daughters of Pharaohs were not
[355] 22:41	married to commoners of any kind.
[356] 22:45	Okay.
[357] 22:47	Now, especially important
[358] 22:50	scribes
[359] 22:52	might get a daughter of Pharaoh as a
[360] 22:54	bride, but you got to be really up there
[361] 22:58	in rank. Like, you have to be on like a
[362] 23:00	firstname basis with the king.
[363] 23:03	So, and even then it was usually frowned
[364] 23:06	upon.
[365] 23:10	The daughters of kings were reserved
[366] 23:13	for very very important
[367] 23:17	how do you say this um
[368] 23:20	nation building marriages.
[369] 23:23	So typically the daughters of kings were
[370] 23:25	married to nomarks or vizers
[371] 23:30	basically ways of the king securing his
[372] 23:33	familial connection to the rest of of
[373] 23:35	the egyptian power structure.
[374] 23:39	So, a daughter of a king to be married
[375] 23:42	off to some common Israelite
[376] 23:48	is just not happening. It's not
[377] 23:50	happening.
[378] 23:55	Just it ain't happening
[379] 23:59	especially in the time of of the uh
[380] 24:02	conquest. you at the conquest you're
[381] 24:05	you're talking about here um the times
[382] 24:08	of Romy's II or MPa. Yeah, there's no
[383] 24:12	way this is happening.
[384] 24:14	Not in the 19th dynasty.
[385] 24:18	Fortunes are still too good in the 19th
[386] 24:20	dynasty for this to happen.
[387] 24:24	Andrew Graham, but daddy, I love him.
[388] 24:29	That's too bad. That's really Yeah, that
[389] 24:32	was the attitude. That was the attitude.
[390] 24:34	Um there is one place where we do see a
[391] 24:39	a daughter of a king marry a scribe.
[392] 24:43	Okay. She has to renounce all connection
[393] 24:46	to the royal court to do it.
[394] 24:50	So I mean she basically has to say you
[395] 24:52	know I am not I am not the king's
[396] 24:55	daughter.
[397] 24:57	So to to just marry this scribe who had
[398] 25:00	risen to a very very high rank in the
[399] 25:02	whole royal court
[400] 25:04	and this is this was a king that had a
[401] 25:06	lot of daughters anyway. So it wasn't
[402] 25:08	you know he had he had an excess of
[403] 25:09	daughters but for him to do that
[404] 25:14	uh for her to to to marry that scribe
[405] 25:17	that scribe was hugely favored anyway.
[406] 25:20	you know, the king had had had highly
[407] 25:22	favored that scribe, but for her to to
[408] 25:26	marry that scribe, she had to renounce
[409] 25:27	her royal connections.
[410] 25:29	Um, any king any claimed that her
[411] 25:32	posterity would have uh to the throne. I
[412] 25:35	mean, it was a it was a it was a big
[413] 25:37	process and a big ordeal for that
[414] 25:40	marriage to take place.
[415] 25:43	So I just don't see this happening where
[416] 25:46	a daughter of the king during the ex uh
[417] 25:50	the wandering in in Sinai would marry
[418] 25:54	one of the sons of
[419] 25:58	one of the one of the tribes because
[420] 25:59	here's the thing. These are people
[421] 26:01	entering the land of Canaan. Okay? These
[422] 26:04	are the are the clans that are entering
[423] 26:06	Canaan.
[424] 26:07	And because they're entering the the
[425] 26:09	land of Canaan, you know,
[426] 26:13	what was the diplomatic what could be a
[427] 26:15	possibly a diplomatic connection here
[428] 26:18	between Israelites wandering the Sinai
[429] 26:21	after 40 years and the royal court?
[430] 26:23	There isn't one.
[431] 26:26	So, so scholars
[432] 26:29	generally have agreed that this is a
[433] 26:31	scribal gloss. This is an insert into
[434] 26:33	the text by a later scribe to try to
[435] 26:36	explain who the she was, as in she
[436] 26:39	conceived. Okay, so anyway, I hope that
[437] 26:42	helps. I don't think that a daughter of
[438] 26:45	Pharaoh really married into uh one of
[439] 26:48	these tribes. Um I think that's kind of
[440] 26:51	nonsense. So um yeah, I don't I don't
[441] 26:55	place any stock in this. Okay. And and
[442] 26:58	most scholars don't. So I hope that
[443] 27:00	helps. Uh thank you for the question.
[444] 27:03	It's a good question and I really
[445] 27:04	appreciate it.
[446] 27:06	Okay. Uh next one here is from uh
[447] 27:10	Gustava Hernandez
[448] 27:13	and he says, "We believe the pagan gods
[449] 27:15	of the nations are fallen angels but are
[450] 27:18	there are stories where the gods
[451] 27:20	described in a benevolent way. Do we act
[452] 27:23	have an actual answer actual form to
[453] 27:27	answer and approach these beliefs? Um, I
[454] 27:29	don't believe all the pagan gods were
[455] 27:31	fallen angels. Uh, this is a very
[456] 27:33	Heiserian point of view, but it is an
[457] 27:36	interpretive point of view and it was
[458] 27:38	championed by Michael Heiser basically
[459] 27:40	saying all the pagan gods were fallen
[460] 27:42	angels. I don't believe that. Okay.
[461] 27:47	Um, I think I think that's um
[462] 27:52	I mean I I'm going to take kind of
[463] 27:54	Paul's side on this, which is basically
[464] 27:57	the ancient gods are nothing.
[465] 28:00	You know, he you know Paul says what is
[466] 28:02	a what is a pagan god? It's nothing.
[467] 28:04	What is an idol? It's nothing.
[468] 28:07	Nothing at all.
[469] 28:10	And I think many of the gods of the
[470] 28:11	ancient world were nothing at all.
[471] 28:16	Um, Gustaf has another question here.
[472] 28:19	Uh, Gustavak has another question here.
[473] 28:21	Uh, do we have evidence that some of the
[474] 28:23	gods of the nations were made up,
[475] 28:25	therefore their stories as well? Oh,
[476] 28:26	yeah, we do.
[477] 28:29	Oh, we do. Um,
[478] 28:34	Andrew and idol is idol. Yeah. there. If
[479] 28:38	you go into the tomb of Ramse's, um I
[480] 28:41	think it's Ramse's the seventh or sixth,
[481] 28:45	um there's this wall of gods
[482] 28:50	and it's weird. It is just plain weird.
[483] 28:54	You've got guys like the upside down
[484] 28:56	god.
[485] 29:00	Did you? Oh, Mrs. producer said she just
[486] 29:04	came up came across that upon that in a
[487] 29:06	horror movie. Okay.
[488] 29:09	>> You've got a centipede god.
[489] 29:13	>> Mhm. Yeah.
[490] 29:15	>> Another one.
[491] 29:18	>> Yeah. I mean,
[492] 29:21	upside down god. You got a god who's
[493] 29:24	who's like has has two two crane heads
[494] 29:27	on it. You have a centipede god.
[495] 29:32	You got all of these strange weird
[496] 29:36	combinations of of of of things that are
[497] 29:39	deities.
[498] 29:42	Um,
[499] 29:43	they have these gods have no theology.
[500] 29:47	They have no worship. They have no
[501] 29:50	temple.
[502] 29:51	There's absolutely nothing
[503] 29:54	to them other than an image.
[504] 30:02	No, these are not fallen angels. These
[505] 30:04	were made up.
[506] 30:08	So, uh, we got a ton of evidence that a
[507] 30:12	lot of these these gods of the nations
[508] 30:15	were just sort of cut out of whole
[509] 30:17	cloth.
[510] 30:19	Some of them are inspired by other
[511] 30:21	humans
[512] 30:22	like like Dionis, you know, he's
[513] 30:24	inspired by the guy who brought grapes
[514] 30:27	to real. He just wasn't. Yeah, he was
[515] 30:30	real, but he wasn't a god.
[516] 30:31	>> He was just worshiped.
[517] 30:33	>> Yeah.
[518] 30:33	>> Guy who brought the wine was worship.
[519] 30:35	>> Yeah, just not so. A Bible uh nerd says
[520] 30:39	there's 8 million gods according to
[521] 30:41	Shintoism. There's at least three or
[522] 30:45	4,000 in Egypt, you know.
[523] 30:50	So, um, so absolutely.
[524] 30:55	Gloomgeist. Grapes are good though.
[525] 30:57	Well, they are.
[526] 31:00	I don't know though if that entitles you
[527] 31:02	to deity, but grapes are delicious.
[528] 31:08	Okay. So,
[529] 31:12	um but yeah, I think I think we got more
[530] 31:14	than enough evidence to to show that
[531] 31:17	that these the gods of the nations were
[532] 31:19	not fallen angels per se. Um, but a lot
[533] 31:21	of them were just the consequence of
[534] 31:25	having a a a polytheistic system that
[535] 31:29	once you have a few gods, they multiply
[536] 31:32	gods of many.
[537] 31:35	So,
[538] 31:39	so yeah, I don't buy that there fallen
[539] 31:41	angels. Um, some of them may have been,
[540] 31:45	possibly some. I wouldn't exclude the
[541] 31:47	possibility that some were, but
[542] 31:49	certainly not all.
[543] 31:51	So,
[544] 31:55	Rob
[545] 31:57	Rob Lar says, "My vote is for the
[546] 31:59	buttermilk biscuit god."
[547] 32:03	Well, there's a god you can get behind,
[548] 32:05	right?
[549] 32:10	Hey, they had a god of beer, a god of
[550] 32:12	bread.
[551] 32:15	Why not a buttermilk biscuit? God.
[552] 32:24	Okay. Uh let's move on.
[553] 32:30	Uh first super chat here is from 18
[554] 32:32	ministries for 199. Thank you for the
[555] 32:33	super chat. Really appreciate it. Was
[556] 32:36	Moolik a god or a practice?
[557] 32:39	Um the thinking right now is that
[558] 32:42	mooliko is a practice
[559] 32:44	uh basically the practice of child
[560] 32:48	sacrifice child burnt offerings. Okay,
[561] 32:51	that's what a molec was. Now how why
[562] 32:55	have we ruled out the idea it's a god?
[563] 32:58	That's because we don't find molec
[564] 33:02	in in theophoric names. We don't find it
[565] 33:06	in in in say um steel boule. We don't
[566] 33:12	find it in inscriptions.
[567] 33:14	Nobody no person was ever named after
[568] 33:17	Moolok.
[569] 33:19	So
[570] 33:21	it does appear that Moolok was the
[571] 33:24	practice of of um the child of the
[572] 33:28	child's sacrifice
[573] 33:30	um at the those sites where um at the
[574] 33:34	tophet sites where children would be
[575] 33:37	brought and then human sacrifice was per
[576] 33:41	uh performed and their remains were
[577] 33:42	burned. So that's a moolok.
[578] 33:46	So hope that helps. Thank you for the
[579] 33:49	super chat. Really really appreciated.
[580] 33:51	But yeah, um the thinking right now is
[581] 33:53	definitely that it is a practice, not a
[582] 33:56	deity.
[583] 34:00	Okay,
[584] 34:02	Daniel Scogan. Okay. Uh he asks,
[585] 34:07	uh I know that early Egyp Ex Exodus
[586] 34:09	daters arrive at 1446 because they
[587] 34:12	subtract 480 from 966 BC of 1st Kings
[588] 34:16	6:1. But where do people get the 966 to
[589] 34:19	begin with? Ah, great question.
[590] 34:22	Um, just about everyone agrees on the
[591] 34:26	966 date and that's because everyone
[592] 34:28	agrees on the 970 date
[593] 34:32	for the um ascension um of of King
[594] 34:37	Solomon. Okay. And how do we get that?
[595] 34:40	We get that through synchronisms through
[596] 34:43	both branches of of the um Israelite
[597] 34:48	kingdom, the northern kingdom and the
[598] 34:51	Judite kingdom. So each of those
[599] 34:53	kingdoms have synretisms that peg their
[600] 34:55	dates of the kings of it. And then you
[601] 34:58	just sort of go back and you arrive at
[602] 35:00	common agreement that the um the date of
[603] 35:04	of Solomon coming to his throne was in
[604] 35:08	970.
[605] 35:10	Now first kings 6:1 mentions that he
[606] 35:14	starts the construction of it of the of
[607] 35:17	the temple of the lord in his fourth
[608] 35:19	regal year. So 970 minus 4 gets you 966
[609] 35:25	and both early dators and late daters
[610] 35:28	agree on this. So this is a point of
[611] 35:30	common agreement between both sides. So
[612] 35:35	but that's where we get the 966 date
[613] 35:37	from. we
[614] 35:39	all agree on it and um there's no reason
[615] 35:42	to really doubt that. So that's one
[616] 35:44	thing where they're right, but we agree
[617] 35:47	with them on that too. So
[618] 35:50	um
[619] 35:53	so hope that helps. Thank you very much
[620] 35:55	for the question. Really appreciate it.
[621] 35:59	Ron Kamp asked the follow-up. Do secular
[622] 36:02	scholars actually believe that Solomon
[623] 36:03	existed?
[624] 36:06	Some do, some don't. But here's the
[625] 36:09	problem for secular scholars is
[626] 36:13	we believe they most of them now believe
[627] 36:15	in a King David.
[628] 36:17	Okay, you've got a King David
[629] 36:21	and they believe in a Rayoboam and
[630] 36:23	Jeroboam the first. So they believe in
[631] 36:26	those two kings that happened after
[632] 36:29	Solomon.
[633] 36:33	What do you do with the years between
[634] 36:40	I mean, even if you don't believe in in
[635] 36:42	the literal name Solomon, you've got to
[636] 36:44	say that somebody was there.
[637] 36:50	though. Um,
[638] 36:53	so
[639] 36:55	it's sort of a schizophrenic point of
[640] 36:57	view where those who deny Solomon
[641] 37:01	existed
[642] 37:03	also have that that that problem then of
[643] 37:06	saying, "Well, you got this 40-year gap
[644] 37:09	between David and and Rayoboam."
[645] 37:13	Uh,
[646] 37:15	okay. What do you do with that?
[647] 37:20	So if you believe that there was a
[648] 37:22	historical David, which everyone does
[649] 37:24	now pretty much, and if you believe in a
[650] 37:29	um historical Rayob and Jerobom, which
[651] 37:32	everyone pretty much does now, it almost
[652] 37:35	compels you to also at least admit that
[653] 37:38	there is someone like Solomon filling
[654] 37:41	that gap.
[655] 37:43	Now, that doesn't that doesn't prove
[656] 37:45	that the deeds of Solomon were true,
[657] 37:48	but at least there's had to be somebody
[658] 37:50	there like Solomon, a king at least of
[659] 37:54	some kind who fill that gap. It's not 40
[660] 37:58	years of anarchy.
[661] 38:00	Okay.
[662] 38:02	So,
[663] 38:04	um so there are still some some some
[664] 38:07	secular scholars that hold out against
[665] 38:09	the idea that Solomon existed. Um, but
[666] 38:12	they're getting more and more fringe by
[667] 38:15	the minute because it's just it's an
[668] 38:18	untenable position to hold. Okay, so
[669] 38:21	hope that helps. Thank you for that
[670] 38:23	follow-up question. Really appreciate
[671] 38:24	it.
[672] 38:29	Hey, Stack asks, "Will you be watching
[673] 38:32	Lee Cronin's The Mummy that comes out on
[674] 38:34	April 17th?" No, I'll be doing my taxes.
[675] 38:45	Wish I was watching my mummy. The mummy.
[676] 38:48	It's just Oh no. I got I got I've got a
[677] 38:51	massive taxes that are waiting for me
[678] 38:53	that I just got to do. So unfortunately
[679] 38:56	that's going to be my next project after
[680] 38:58	my exams tomorrow.
[681] 39:04	Co even more scary. Oh yeah. Taxes are
[682] 39:08	more scary than the mummy. Definitely.
[683] 39:11	Especially Can the Canada Revenue Agency
[684] 39:15	much more scary.
[685] 39:19	Very scary.
[686] 39:25	>> Mhm.
[687] 39:27	>> It will be interesting to see it, but I
[688] 39:29	won't be seeing it when it first comes
[689] 39:31	out. I just got too much on my plate.
[690] 39:39	Coen camp. Is that what your
[691] 39:40	certification is in taxes? Could be.
[692] 39:46	It's a guess.
[693] 39:52	Dark Blade asks, "What is the difference
[694] 39:54	between supply and quantity supplied,
[695] 39:57	and how would bringing that into tribute
[696] 40:00	from Kanan affect each?" I can't really
[697] 40:03	answer that question because I'm not an
[698] 40:04	economist.
[699] 40:07	Um that gets into some uh very very fine
[700] 40:11	points of supply and demand economics.
[701] 40:15	Um which is um which I don't think in
[702] 40:18	ancient times would have been really
[703] 40:20	accounted for.
[704] 40:22	Um
[705] 40:24	I think they would have lumped that into
[706] 40:26	together supply and quantity supplied.
[707] 40:29	So, um, again, it's
[708] 40:33	it it's one of those things where it's
[709] 40:35	really
[710] 40:38	um
[711] 40:39	it's really one of those things where
[712] 40:41	it's um
[713] 40:45	when you try to apply economic fine
[714] 40:49	economic principles that are even today
