[0] 1:24	Heat. Heat.
[82] 9:16	chat, we will only take one question in
[83] 9:18	the stack. So with that said, let's get
[84] 9:21	into questions.
[85] 9:29	Milo says, "Wednesday is going to go
[86] 9:31	hard." Okay. [laughter]
[87] 9:34	I see says, "Wow, thank you." Oh, and by
[88] 9:37	the way, if you do um listen to the
[89] 9:39	audio book, please leave a review on
[90] 9:41	Amazon. It's really helpful to us. We
[91] 9:43	really would appreciate that. More
[92] 9:45	reviews, the more it's seen, the more
[93] 9:48	people get to know about the book. So,
[94] 9:54	All right,
[95] 9:56	first question
[96] 9:58	is from Justin the Rhino.
[97] 10:01	Does Leviticus 25:44 to 46 show God's
[98] 10:05	approval of lifelong slaves from foreign
[99] 10:07	nations or is something else happening
[100] 10:10	in the text? Well, something else is
[101] 10:12	happening in the text. But let's let's
[102] 10:13	bring up the Bible here and let's
[103] 10:14	discuss it here.
[104] 10:16	Okay.
[105] 10:19	Now it says verse 44, "As for your male
[106] 10:22	and female slaves whom you may have, you
[107] 10:24	may acquire male and female slaves from
[108] 10:26	the pagan nations that are around you.
[109] 10:28	Then too, it is out of the sons of the
[110] 10:30	sojuners who live as aliens among you
[111] 10:33	that you may gain acquisition and other
[112] 10:35	families who are with you whom they will
[113] 10:38	have produced in your land. They may
[114] 10:40	also become your slaves. You may also
[115] 10:43	bequath them to your sons after you to
[116] 10:46	receive as a possession you
[117] 10:49	you can use them as permanent slaves,
[118] 10:51	but in respect to your countrymen, sons
[119] 10:54	of Israel, you shall not rule with
[120] 10:56	severity over one another. All right.
[121] 10:58	Now,
[122] 11:01	here's the issue with all of this law.
[123] 11:06	A lot of it is not stuff that God
[124] 11:08	approves as much as stuff God permits.
[125] 11:13	There are laws of divorce.
[126] 11:16	We know that God hates divorce.
[127] 11:19	Categorically hates it. You know, Christ
[128] 11:22	said God hates divorce.
[129] 11:25	The law allows divorce.
[130] 11:28	The law has concessions to human
[131] 11:30	weakness.
[132] 11:32	One of those concessions is economic.
[133] 11:35	And frankly, the entire economic system
[134] 11:39	of the ancient world was based upon
[135] 11:41	slavery.
[136] 11:43	You know, it was your slavery was your
[137] 11:46	kind of bankruptcy laws. It was your
[138] 11:48	kind of prisoner of war camp situation.
[139] 11:53	There's a there's a lot of of things
[140] 11:55	that we do today
[141] 11:57	that could not have been practical or
[142] 12:01	reasonable to have been done in an
[143] 12:03	ancient neareastern setting.
[144] 12:06	So there's a lot of a lot of
[145] 12:12	um concession that God has done within
[146] 12:16	the laws to allow human beings to still
[147] 12:20	operate
[148] 12:22	within their societies
[149] 12:25	even though he doesn't necessarily
[150] 12:28	approve of it.
[151] 12:30	So,
[152] 12:32	um, so that's that's just one of those
[153] 12:35	things that we just cannot say just
[154] 12:38	because God permits something that he
[155] 12:42	approves of something.
[156] 12:48	Rich Adams goes,
[157] 12:50	"Was uh form of slavery an economical
[158] 12:53	safety net?" Uh, it was in the sense of
[159] 12:56	say the bond servants. Now the
[160] 12:58	bondervants are different. Bonder
[161] 13:00	servants are Israelites.
[162] 13:03	They were you know they they had signed
[163] 13:06	on for for six years of servitude and
[164] 13:09	freed on the seventh. Okay.
[165] 13:12	But a a a slave could decide that hey
[166] 13:16	you know what
[167] 13:18	I'm doing a heck of a lot better as a
[168] 13:19	slave than I ever did making my own
[169] 13:21	decisions because I make crummy
[170] 13:23	decisions. Okay.
[171] 13:25	Under those circumstances, a slave could
[172] 13:28	say, "Hey, you know what? I do a lot
[173] 13:30	better here as a slave. Can I stay a
[174] 13:32	slave?"
[175] 13:34	And that becomes a one-way election.
[176] 13:37	That slave,
[177] 13:39	you know, has his ear pierced and he
[178] 13:41	wears an earring to show he's a
[179] 13:42	bondervant,
[180] 13:44	basically a servant out of choice. And
[181] 13:46	he can never cease to be a servant out
[182] 13:48	of choice.
[183] 13:51	So there is a sense in which slavery was
[184] 13:55	an economical safety net. It could
[185] 13:57	absolve your debts.
[186] 14:00	You know, this is where we get the
[187] 14:01	7-year
[188] 14:03	um uh bankruptcy laws from is from this
[189] 14:07	whole idea of of a servant paying off
[190] 14:12	his debts over seven years.
[191] 14:15	And once that seven years is done, he's
[192] 14:19	free to go off and do what he wants
[193] 14:20	again.
[194] 14:23	Like for example, within say
[195] 14:26	uh you know within a bankruptcy
[196] 14:28	situation in our modern society, you
[197] 14:30	know, you're not free to take on more
[198] 14:31	debt once you've done a bankruptcy.
[199] 14:34	You're kind of you're kind of hosed.
[200] 14:37	You're very hosed.
[201] 14:44	Iron Knight asks, "Wasn't Leviticus
[202] 14:46	24:445
[203] 14:48	a safety net for foreign slaves when
[204] 14:50	they lived in a foreign land among
[205] 14:51	tribes and clans they didn't know?" To
[206] 14:54	some extent, yes. Uh because here's the
[207] 14:56	thing, foreign nationals couldn't own
[208] 14:59	land.
[209] 15:01	The land, these are basically most of
[210] 15:05	these are sojers. Some of them are war
[211] 15:07	booty. Okay, that happened too.
[212] 15:10	Sometimes there was war booty where you
[213] 15:12	you go against a foreign nation, go to
[214] 15:15	war, you defeat the foreign power and
[215] 15:17	instead of killing everybody, you bring
[216] 15:20	some back as slaves. Okay? But for those
[217] 15:24	of Sojuners in your land who couldn't
[218] 15:28	make it as sojuners,
[219] 15:30	uh they might have to sell a family
[220] 15:34	member into slavery to pay off their
[221] 15:37	debts, you know, to keep the family
[222] 15:40	going.
[223] 15:41	Because frankly, being a sojourer is a
[224] 15:43	hard gig. It's not easy. You're on
[225] 15:47	somebody else's land. Uh you might be
[226] 15:50	chased off of that land continuously.
[227] 15:53	you're
[228] 15:55	you're you don't have a lot of societal
[229] 15:58	um protections. There's no police out
[230] 16:01	there to protect you if someone decides
[231] 16:02	to rob your flocks. So being a sojourer
[232] 16:05	is a very very hard gig. And to be a
[233] 16:08	sojourer on somebody else's land who
[234] 16:10	doesn't want you there, that gets harder
[235] 16:13	even more. So
[236] 16:16	um
[237] 16:18	so it could in in some respect act as a
[238] 16:23	um as a safety net. Uh it's it's really
[239] 16:26	how the economies of the ancient world
[240] 16:27	worked and all economies of the ancient
[241] 16:30	world worked like this to some degree or
[242] 16:32	another. There was no exception to this.
[243] 16:38	So
[244] 16:45	>> yeah, the industrial revolution.
[245] 16:48	Yeah.
[246] 16:48	>> Yeah. Science special search party
[247] 16:50	reminds me of the industrial re
[248] 16:52	revolution. Yeah. To some extent. Yeah.
[249] 16:55	Yeah. They had a lot of those things,
[250] 16:57	too.
[251] 17:04	Rich Adams goes, "Is there a general
[252] 17:06	book on ancient neareastern economy?"
[253] 17:08	Uh, there are books per to particular
[254] 17:12	disciplines
[255] 17:14	of the ancient neareastern economy, but
[256] 17:15	I don't think there's a general book on
[257] 17:18	the ancient neareastern economy. That's
[258] 17:21	a comparative book. I mean, it'd be
[259] 17:22	great if there was. I'd love it if there
[260] 17:24	was. Um like for example I know of Jock
[261] 17:27	Johnson um wrote a book on the um
[262] 17:32	economics of the Ramisai period which is
[263] 17:34	a brilliant book. It's a huge book, but
[264] 17:38	you know, that's sort of what you're
[265] 17:39	starting to talk about here is these
[266] 17:42	things are get so
[267] 17:45	um caught up in the weeds that it's very
[268] 17:50	difficult to write a book over that sort
[269] 17:53	of swath of things, especially when you
[270] 17:55	start getting Mesopotamia involved. Uh,
[271] 17:58	Mesopotamia has so many economic records
[272] 18:01	that were preserved. Collating that into
[273] 18:03	an economic book that's comparative to
[274] 18:06	the rest of the ancient near east would
[275] 18:08	be very, very difficult to do. Let's
[276] 18:10	hope someone does it. Not me, of course.
[277] 18:13	[laughter]
[278] 18:15	Okay. So, I hope that answers your
[279] 18:17	question, Justin. Uh, thank you very
[280] 18:19	much. Uh but the the the takeaway of
[281] 18:21	this is just because it's in the laws
[282] 18:24	does not mean God approves of it but he
[283] 18:27	allows it because again of the weakness
[284] 18:30	of men.
[285] 18:38	All right. Next one is from um King
[286] 18:40	Bubby who asks, "What do you think is
[287] 18:42	the greatest weakness of the NRSV uh the
[288] 18:45	new revised standard version?" Uh the
[289] 18:48	biggest reason the
[290] 18:52	um
[291] 18:55	the biggest
[292] 18:57	weakness of that particular translation
[293] 19:00	is the fact that
[294] 19:02	it is is a is sort of a denominational
[295] 19:06	um it's a denominational translation.
[296] 19:10	So it tends to steer away from or
[297] 19:13	towards say more politically sensitive
[298] 19:18	topics.
[299] 19:21	So
[300] 19:24	um it's it graphs very much 19th
[301] 19:28	um and 20th century liberalism on top of
[302] 19:31	the biblical texts. So it's what you
[303] 19:34	would call, as I say, a denominational
[304] 19:35	translation. It's not as bad as the NRSV
[305] 19:39	UI,
[306] 19:41	but it still has that liberal um pro uh
[307] 19:46	proclivity to it. And I don't I I think
[308] 19:49	it's anacronistic
[309] 19:51	to translate a Bible in that way. So
[310] 19:55	anyway, I hope that helps. Thank you for
[311] 19:57	the question. Really appreciate it.
[312] 20:04	All right, Harry Stark.
[313] 20:07	asks the provocative and uh question
[314] 20:10	will AI remove IT jobs? No, it won't.
[315] 20:17	[laughter]
[316] 20:19	It will not remove IT jobs. I mean when
[317] 20:23	I was an a system administrator in uh
[318] 20:26	working in Silicon Valley in 1999,
[319] 20:30	um the executive of Oracle Corporation
[320] 20:33	was excited that they were going to get
[321] 20:35	this software product that would replace
[322] 20:38	all system administrators.
[323] 20:42	Look, if they could do that, they'd do
[324] 20:45	it.
[325] 20:47	There is there's nothing that executives
[326] 20:49	would love more than to remove all IT
[327] 20:54	jobs.
[328] 20:56	IT jobs are expensive.
[329] 21:00	They are people that don't fit into the
[330] 21:03	culture of a corporation.
[331] 21:06	They're a pain in the butt to keep
[332] 21:08	around because they tend to have their
[333] 21:10	own ideas that don't always match with
[334] 21:13	what exacts want. They would love to get
[335] 21:16	rid of all those jobs in a heartbeat.
[336] 21:20	>> Seem to realize if they got those AI
[337] 21:22	robots,
[338] 21:25	>> robots would probably keep the workers
[339] 21:27	and remove management
[340] 21:30	>> because robots are better managers.
[341] 21:33	>> Yeah, the the the AI robots would
[342] 21:36	probably outsource it people. [laughter]
[343] 21:39	They would they would outsource they
[344] 21:41	would take the budgets that they had and
[345] 21:43	outsource it.
[346] 21:44	>> [laughter]
[347] 21:45	>> to real humans.
[348] 21:51	Yeah. So, [laughter]
[349] 21:53	yeah. No, it it's they've been they've
[350] 21:55	been hoping that for this to happen for
[351] 21:58	30 years and it still hasn't happened.
[352] 22:02	So, um
[353] 22:06	um
[354] 22:08	it's more likely to
[355] 22:10	the problem with it. And here's here's
[356] 22:14	the critical problem with it that is a
[357] 22:18	barrier for easy replacement.
[358] 22:23	You have 1,400
[359] 22:26	2,000 applications
[360] 22:30	that an IT administrator has to know to
[361] 22:33	some extent and all of them behave
[362] 22:36	different. All of them have different
[363] 22:37	syntaxes. All of them interface to each
[364] 22:41	other other diff different differently.
[365] 22:44	It's it's a it's an almost an
[366] 22:46	exponential matrix of knowledge.
[367] 22:51	That's a very very difficult thing to
[368] 22:55	replace with it or with um with AI here.
[369] 23:02	Um
[370] 23:04	so
[371] 23:08	Mr. Ice rat says
[372] 23:11	AI guy here. At least uh IT guy here. At
[373] 23:15	least at the very least they're going to
[374] 23:17	need somebody to image machines and put
[375] 23:19	them in boxes to ship. [laughter]
[376] 23:28	MV Monson says AI will replace the
[377] 23:30	Exodus deniers. I think they already
[378] 23:33	are.
[379] 23:45	Dr. Martinez, you know, AI has failed to
[380] 23:47	replace the jobs it could have easily.
[381] 23:49	Yeah.
[382] 23:50	>> No. Uh,
[383] 23:52	>> what? Which one?
[384] 23:53	>> Messianic Tal.
[385] 23:55	>> Oh, Messianic Talmud here.
[386] 23:56	>> So, office space. [laughter]
[387] 23:58	>> So, office space with terminators. Yep.
[388] 24:02	Yep. That's about it. [laughter]
[389] 24:06	>> [snorts]
[390] 24:12	[laughter]
[391] 24:13	>> Uh, Jackie D says, "My husband watches
[392] 24:16	your streams on replay when he gives our
[393] 24:18	daughter her bottle in the middle of the
[394] 24:20	night. I'm waiting for her to recognize
[395] 24:22	your voice." Cool. Cool. Awesome.
[396] 24:26	Raising them from the crib. [laughter]
[397] 24:31	Hey, we did say we wanted to influence
[398] 24:33	the next generation.
[399] 24:35	>> There you go.
[400] 24:39	Okay, moving on to the next question
[401] 24:41	here.
[402] 24:46	Uh,
[403] 24:48	from Harry Stark, does David use Libri
[404] 24:51	Office? Why or why not? Um, I don't.
[405] 24:56	Okay, it's not that I'm against Libri
[406] 24:58	Office. Um I have used it in the past
[407] 25:01	for some things.
[408] 25:03	I don't use it
[409] 25:07	uh because I have to do a lot of work
[410] 25:10	with publishing and when you do a lot of
[411] 25:12	work with publishing you really need to
[412] 25:14	use word
[413] 25:16	and word uh Microsoft Word is not so
[414] 25:21	expensive
[415] 25:22	that I can forgo its convenience.
[416] 25:26	So, I mean, I'd love to use it if it was
[417] 25:30	100% compatible with Word, but it's not.
[418] 25:34	And doesn't claim to be. So because it
[419] 25:38	doesn't claim to be um
[420] 25:46	so um it's just one of those things that
[421] 25:51	if you if you if you do professional
[422] 25:52	publishing, Word's still the standard
[423] 25:55	and you just can't get around that. As
[424] 25:57	much as I'd love to. Yeah, I hate
[425] 25:59	Microsoft. Microsoft absolutely sucks.
[426] 26:05	Uh Dark Blade, not so expensive. Google
[427] 26:07	Docs is free with your account. Oh,
[428] 26:09	yeah. But it's still not
[429] 26:12	uh Google Docs still has limited
[430] 26:14	compatibility
[431] 26:16	with Microsoft Word.
[432] 26:19	So,
[433] 26:21	you know, it's just if you're do if
[434] 26:24	you're if you're doing publishing, let's
[435] 26:26	say with uh peerreview publications,
[436] 26:30	um they expect you to use Word.
[437] 26:34	>> You just can't get around it.
[438] 26:36	it doesn't know what
[439] 26:39	I think that's
[440] 26:43	>> Oh. Um,
[441] 26:49	uh, okay. You don't know what Libre
[442] 26:51	Office is? Um, Libre Office is a
[443] 26:56	basically a Microsoft Office clone.
[444] 26:59	That's what it is. It's been around a
[445] 27:01	long long time.
[446] 27:04	Um, it's been around since the 90s,
[447] 27:08	but uh,
[448] 27:10	again, I just, um, it's just not
[449] 27:12	something that I'm going to to dabble in
[450] 27:14	cuz
[451] 27:16	it's
[452] 27:19	it just is not featured enough that I
[453] 27:22	can use it with peer-reviewed
[454] 27:24	publishers.
[455] 27:31	Make word pretty good.
[456] 27:36	Tony G, make Word Perfect Great again.
[457] 27:39	There's a there's a free version of that
[458] 27:41	now. You can now get that for free. Um,
[459] 27:44	I heard about that recently.
[460] 27:52	So, um,
[461] 27:54	so yeah, you can make Word Perfect, uh,
[462] 27:56	you can get Word Perfect for free and
[463] 27:58	some writers love it. Some readers
[464] 28:00	absolutely if you're a novelist that's
[465] 28:01	fine because you send a a a word perfect
[466] 28:05	file to a a a trad publisher and they'll
[467] 28:08	know what to do with it. The problem is
[468] 28:10	if you want to format something
[469] 28:14	if you're trying to type set it too
[470] 28:17	that's a that's an issue.
[471] 28:22	Um, here's the one advantage that say
[472] 28:26	Word has over Word Perfect is if you
[473] 28:29	want to type set a book, you can
[474] 28:32	actually type set fully type set a book
[475] 28:36	in Word. Print it out as a PDF, send it
[476] 28:39	to a printer and they'll print it out as
[477] 28:41	a per completely bound book. You can't
[478] 28:45	do that with Word Perfect. Word Perfect
[479] 28:48	does not have enough control
[480] 28:51	over its type setting that you can do it
[481] 28:55	as a complete book. So,
[482] 29:02	so while you some people love the
[483] 29:04	interface
[484] 29:06	of Word Perfect, it's not it depends on
[485] 29:10	what you want to use it for. I take my
[486] 29:12	word files
[487] 29:14	and I completely format them to the
[488] 29:17	final book,
[489] 29:20	you know, all all the type setting
[490] 29:22	that's done in my um novels done in
[491] 29:24	Word.
[492] 29:27	So,
[493] 29:29	so yeah, um people do love it. People
[494] 29:32	still use it for writing the books, but
[495] 29:35	you're going to need a trad publisher at
[496] 29:36	that point to do all the dirty work for
[497] 29:38	you of type setting it because
[498] 29:41	uh at that point that at that point it
[499] 29:43	it sort of locks you out of say uh indie
[500] 29:48	publishing at least makes it
[501] 29:50	inconvenient.
[502] 29:54	Okay, moving on.
[503] 30:05	Uh Dr. Emey Martinez asks, "Have you
[504] 30:08	ever tried making conlangs?" I've made a
[505] 30:11	lot of them. Uh [laughter]
[506] 30:16	we have a super chat in a conlang that I
[507] 30:18	designed. Yes, I have made lots of
[508] 30:21	conlangs. I'm going to just take a
[509] 30:23	little piece little excerpt here.
[510] 30:29	There it is. Okay,
[511] 30:32	here.
[512] 30:36	Try to get this up here. That is a
[513] 30:39	conlang I designed.
[514] 30:42	It's called Nako 32.
[515] 30:46	Um,
[516] 30:49	so I've done several conlangs. I've
[517] 30:51	actually taught workshops on how to do
[518] 30:53	conlangs.
[519] 30:55	Uh there was um I did it at uh
[520] 30:57	connections last year last November. I
[521] 31:00	taught a workshop on how to make a
[522] 31:03	conlang in an hour. Was it an hour or
[523] 31:06	two hours? I don't remember what that
[524] 31:07	was. Something like that. Hour 90
[525] 31:09	minutes, something like that.
[526] 31:12	And I just spilled coffee over me.
[527] 31:14	Lovely.
[528] 31:17	Okay.
[529] 31:21	Uh, Bubble Trouble asks, "What's a
[530] 31:25	conlang?" It is a constructed language,
[531] 31:27	a fake language, essentially a a
[532] 31:30	language that's didn't arise out of
[533] 31:31	natural human speech, but was created.
[534] 31:35	Espiranto is a conlang. Uh, Klingan is a
[535] 31:40	is a uh uh conlang. Elvish from the Lord
[536] 31:44	of the Rings is a conlang.
[537] 31:47	So
[538] 31:49	uh [sighs]
[539] 31:51	so yeah,
[540] 31:54	and in fact we have a super chat later
[541] 31:57	on that was is partially in the conlang
[542] 32:00	nako 32. So yeah, I've I've done a lot
[543] 32:04	of conlangs. Uh I think they're fun.
[544] 32:06	They're they're fun. They're they're a
[545] 32:07	blast to make and they're really not
[546] 32:10	that hard as long as you've sort of got
[547] 32:13	all the foundations in place.
[548] 32:17	Okay,
[549] 32:19	moving on.
[550] 32:28	Okay. Uh Justin Rhino says, "When Sarah
[551] 32:30	is taken by Pharaoh, it gives us more an
[552] 32:33	adult topic in the background than
[553] 32:35	initially understood. Did Sarah actually
[554] 32:38	have relations with Pharaoh in Genesis
[555] 32:40	12 10 to 20?" All right. Flip here.
[556] 32:48	Genesis
[557] 32:51	12
[558] 32:56	10 to 20. Now there was a famine in the
[559] 32:59	land. So Abram went down to Egypt to
[560] 33:01	sojurnn there. For the famine was severe
[561] 33:03	in the land. And it came about when he
[562] 33:05	came near to Egypt that he saw he said
[563] 33:08	to Sarah his wife, "See now, I know you
[564] 33:11	are a beautiful woman." And it will come
[565] 33:13	about when the Egyptians see you, they
[566] 33:16	that they will say, "This is his wife."
[567] 33:18	Now, keep in mind, according to biblical
[568] 33:22	chronology, she's in her 70s. Um,
[569] 33:28	this is his wife, and they will kill me,
[570] 33:30	but they will let you live.
[571] 33:33	a woman in her 70s.
[572] 33:37	Please say that you are my sister so
[573] 33:40	that it may go well with me because of
[574] 33:42	you and that I may live on account of
[575] 33:44	you.
[576] 33:46	And it came about when Abram came to
[577] 33:48	into Egypt. The Egyptians saw that the
[578] 33:50	woman was very beautiful.
[579] 33:53	And Pharaoh's officials saw her and
[580] 33:55	praised her to Pharaoh. And the woman
[581] 33:57	was taken into Pharaoh's house.
[582] 33:59	Therefore, he treated Abraham well for
[583] 34:01	her sake. Gave him sheeps and donkeys
[584] 34:03	and male and female servants and female
[585] 34:06	donkeys and camels. But the Lord struck
[586] 34:09	Pharaoh in his house with great plagues
[587] 34:11	because of Sarai, Abraham's wife.
[588] 34:14	Then Pharaoh called to Abraham and said,
[589] 34:16	"What is this that you have done to me?
[590] 34:18	Why did you not tell me she was your
[591] 34:19	wife?
[592] 34:21	Why did you not say she is my sister?
[593] 34:23	Why did you say she is my sister so that
[594] 34:24	I took her from my wife? Now then, here
[595] 34:27	is your wife. take her and go. And
[596] 34:30	Pharaoh commanded his men concerning
[597] 34:32	him, and they escorted him away and his
[598] 34:34	wife and all that belonged to him.
[599] 34:37	Okay.
[600] 34:40	Yeah. Um now,
[601] 34:45	uh it is true that Egyptian kings of the
[602] 34:49	Middle Kingdom were prided themselves in
[603] 34:52	moral rectitude.
[604] 34:54	So no king of of Egypt would have
[605] 34:58	knowingly done this.
[606] 35:00	Okay. Now it doesn't explicitly say that
[607] 35:05	there were any relations but you also
[608] 35:09	got to take this in context Genesis 20
[609] 35:13	and Genesis 20 verse 6
[610] 35:18	where this is this is where AMC king of
[611] 35:20	Guerrer
[612] 35:22	is basically Abraham pulls the same crap
[613] 35:25	here. He basically lies to Aimilec. Hey,
[614] 35:28	this is my wife, you know, or this is my
[615] 35:30	this is my sister, you know, don't kill
[616] 35:33	me. Take her as my wife.
[617] 35:36	And
[618] 35:37	God then says,
[619] 35:40	um,
[620] 35:42	uh, verse six, then God said to him in
[621] 35:44	the dream, "Yes, I know that in the
[622] 35:45	integrity of your heart that you have
[623] 35:47	done this, and also I also kept you from
[624] 35:51	sinning against me. Therefore, I did not
[625] 35:55	let you touch her." Now therefore
[626] 35:59	restore the man's wife for he as a
[627] 36:00	prophet and he will pray for you and you
[628] 36:02	will live. Okay. So
[629] 36:07	um
[630] 36:08	so the fact is that in if if Pharaoh had
[631] 36:15	taken Sarah as his had relations with
[632] 36:19	her in Genesis 12, he probably would
[633] 36:22	have ended up dead. at least according
[634] 36:24	to Genesis 20.
[635] 36:27	So, it's very very likely that nothing
[636] 36:31	happened here other than the exchange of
[637] 36:34	gifts, the exchange of gifts and the
[638] 36:37	taking of somebody's else's wife into
[639] 36:40	their home. It probably never proceeded
[640] 36:43	any further than that.
[641] 36:46	So,
[642] 36:55	>> [laughter]
[643] 36:55	>> Mama says, "Doc, when you use quotation
[644] 36:58	fingers, I know you're about to get
[645] 37:00	salty."
[646] 37:04	Dark Blade. So Abraham's just being
[647] 37:06	paranoid. Yes. Yes, he is.
[648] 37:13	Ryan Com, what I told you is true from a
[649] 37:17	certain point of view.
[650] 37:19	>> [laughter]
[651] 37:25	>> Um, says, "Abraham was weirdly a coward
[652] 37:28	about protecting his wife. He was brave
[653] 37:30	other times." Yeah.
[654] 37:32	Oh, yeah. When he had his 314 trained
[655] 37:35	men. Oh, yeah. He'd go and and and kill
[656] 37:37	a bunch of people. No problem. If he
[657] 37:39	thought he couldn't take them on, he was
[658] 37:41	not so brave.
[659] 37:47	Okay. [laughter] Andrew Grim. Snicker
[660] 37:50	doodle.
[661] 37:53	Oh, snicker doodle.
[662] 38:01	Uh, Dr. Martinez. So, I don't remember
[663] 38:04	the explanation. Why did Abraham call
[664] 38:06	his wife his sister?
[665] 38:09	Because she was a distant. She was a
[666] 38:15	relative on his father's side.
[667] 38:19	Okay. He is she is the
[668] 38:23	the daughter of his father's brother.
[669] 38:29	And because um Hebrew follows
[670] 38:35	um the Polynesian system of relation
[671] 38:38	naming, it any any sort of female
[672] 38:42	relative is a sister. Any male relative
[673] 38:46	is a mother or a brother. Um so
[674] 38:52	your cousin is a brother.
[675] 38:55	your cousin's son is a brother
[676] 38:58	and so on and so on. Just like your
[677] 39:00	father is a is is a father, your
[678] 39:03	grandfather is a father, your great
[679] 39:05	great great grandfather is a father and
[680] 39:08	so on. So it's that's that's the reason
[681] 39:11	why um it's it's kind of vague. It's
[682] 39:16	it's not like like say the Inuit system
[683] 39:19	where every last
[684] 39:22	relation has its own terminology
[685] 39:26	which would be so convenient so much
[686] 39:30	more convenient
[687] 39:32	but we don't we don't have that luxury
[688] 39:34	unfortunately.
[689] 39:38	[sighs]
[690] 39:40	Dark blade Kane is technically
[691] 39:42	everyone's brother. Yeah.
[692] 39:45	Oh yeah,
[693] 39:51	bomb papa.
[694] 39:53	Abram, Sodom and Gomorrah are lovely,
[695] 39:56	but Egypt is scary. [laughter]
[696] 39:59	Well,
[697] 40:03	uh, difference in size of armies, I
[698] 40:05	guess,
[699] 40:12	which is kind of funny because Middle
[700] 40:14	Kingdom Egypt didn't have its own
[701] 40:15	standing army.
[702] 40:18	Middle Kingdom Egypt
[703] 40:20	uh really
[704] 40:24	uh requ relied on the armies of the
[705] 40:28	Nomarks to uh flex its military might.
[706] 40:33	And um so it didn't have a large
[707] 40:36	standing army like it would later in the
[708] 40:38	New Kingdom.
[709] 40:42	They had a standing army. There's an
[710] 40:44	army.
[711] 40:45	>> The army sat
[712] 40:48	suppose so.
[713] 40:51	All right. So, hope that that uh answers
[714] 40:54	the question, Justin Rho. And moving on,
[715] 40:57	next one.
[716] 40:59	Um
[717] 41:14	Okay. Okay. Uh, Justin Rho asks,
[718] 41:16	>> "Luke
[719] 41:18	is
[720] 41:19	>> Luke Abraham is your father." [laughter]
[721] 41:23	Oh,
