[0] 1:24	Heat. Heat.
[162] 14:48	sucks.
[163] 14:57	CPM versus DOS. No happy endings. Dr.
[164] 15:00	Faulk. I'm actually opposed to happy
[165] 15:02	endings.
[166] 15:03	>> This story just did.
[167] 15:04	>> It has to be earned.
[168] 15:07	A happy ending has to be earned.
[169] 15:11	turned up.
[170] 15:19	Jack Ray, you went with the hoppy
[171] 15:21	ending.
[172] 15:26	Melma says, "And see, I thought it had a
[173] 15:29	happy ending."
[174] 15:32	It I thought it had a bittersweet
[175] 15:34	ending. Bittersweet.
[176] 15:36	I love bittersweet endings, I think. But
[177] 15:39	bittersweet endings are kind of like how
[178] 15:41	life is sometimes. You know, you get
[179] 15:44	sometimes what you want and it's not
[180] 15:46	exactly what you ever wanted. So,
[181] 15:53	so uh yeah.
[182] 15:58	Okay.
[183] 16:01	Yeah. Icy says has to be justified. A
[184] 16:03	tragic story doesn't need a happy
[185] 16:05	ending, for example. Same with other
[186] 16:08	genres. Yeah, as long as it's as long as
[187] 16:11	the as the ending
[188] 16:14	follows the story.
[189] 16:16	Uh
[190] 16:18	Aristotle once said that ending should
[191] 16:23	be inevitable and come at a s as a
[192] 16:26	surprise.
[193] 16:28	This is what I find very interesting. I
[194] 16:30	mean, Aristotle's view on this is
[195] 16:31	incredibly interesting
[196] 16:34	because trying to do an inevitable
[197] 16:36	ending
[198] 16:39	that comes as a surprise is a very very
[199] 16:42	tricky thing. It's very difficult to
[200] 16:44	pull off, which is why a lot of uh books
[201] 16:48	have bad endings. You know, they fail in
[202] 16:51	the ending because they're not
[203] 16:52	inevitable.
[204] 16:54	And if they were inevitable, they're not
[205] 16:56	they don't come as a surprise. So, I
[206] 16:59	like Aristotle's view on this. I think
[207] 17:01	it's very interesting. So,
[208] 17:05	okay, I think we talked enough here
[209] 17:06	about the books. Uh, oh, one other
[210] 17:09	thing. We have already been asked if
[211] 17:10	there's going to be a special live
[212] 17:12	stream
[213] 17:13	um once uh Lord of Steel and Sky is
[214] 17:16	released. And the answer to that is yes,
[215] 17:19	there will be a special live stream for
[216] 17:22	uh the books. Um it'll be on a Wednesday
[217] 17:26	1 month after release roughly 4 weeks
[218] 17:28	roughly. So
[219] 17:32	and this is being uh released in July
[220] 17:35	15th.
[221] 17:38	Okay.
[222] 17:47	>> Ending at the end.
[223] 17:51	>> Ryan says book has ending at the end me
[224] 17:56	shocked Pikachu face.
[225] 18:02	Okay.
[226] 18:03	All right. So, let's begin with the
[227] 18:05	questions here.
[228] 18:06	Uh, first question here
[229] 18:09	is from
[230] 18:12	uh, Dark Blade. Do you understand Latin
[231] 18:15	now? No, I haven't had the time to
[232] 18:17	really get into Latin. Um, I got the
[233] 18:20	book, but I just haven't had the time to
[234] 18:21	go through it. I've just been so busy
[235] 18:24	writing that um, it's it's I just
[236] 18:28	haven't had time. So, uh, unfortunately
[237] 18:32	have not had the chance to get into
[238] 18:33	Latin. I really want to get into it, but
[239] 18:36	I just have not had the time to do it. I
[240] 18:38	mean, that's one of the things is you're
[241] 18:39	going to be trading off something to to
[242] 18:42	write books. You write lots of books,
[243] 18:44	you don't have a lot of time for big
[244] 18:47	study projects. So,
[245] 18:52	uh, science specialist search party.
[246] 18:54	Latin is a dead language, isn't it?
[247] 18:56	Yeah, but you know what? It's used all
[248] 18:58	over the place. You find it in all sorts
[249] 19:01	of of early modern documents. Uh the
[250] 19:05	vast majority of Christian writings were
[251] 19:07	done in Latin. It's still an important
[252] 19:10	language, still an important scholarly
[253] 19:12	language, but um
[254] 19:18	Mama says, "Your characters won't shut
[255] 19:20	up." Some of them Some of them won't
[256] 19:23	shut up. That's for sure.
[257] 19:33	Uh, MV Monson says, "That's why you
[258] 19:37	always end your books with a
[259] 19:38	cliffhanger. I don't always book end my
[260] 19:40	books with a cliffhanger." Uh, only the
[261] 19:43	first book ends with a cliffhanger.
[262] 19:45	Second one doesn't end in a cliffhanger,
[263] 19:47	does it?
[264] 19:49	I wouldn't call that a cliffhanger.
[265] 19:52	And the third one doesn't really end in
[266] 19:55	a cliffhanger either.
[267] 19:58	>> Cliffhanger, it's just the way you're
[268] 20:01	writing. You know, there's what your
[269] 20:03	next story is.
[270] 20:04	>> Yeah, there there is there is an
[271] 20:06	unresolved question at the end. And an
[272] 20:09	unresolved question is not a
[273] 20:10	cliffhanger. The only one that really
[274] 20:13	had a cliffhanger was the first book.
[275] 20:17	Um,
[276] 20:20	so,
[277] 20:24	so yeah, the second one doesn't have a
[278] 20:26	cliffhanger.
[279] 20:27	Third one doesn't has as has an open
[280] 20:30	question at the end, but not really a
[281] 20:32	cliffhanger.
[282] 20:34	So,
[283] 20:37	so um, no, I don't I don't only I only
[284] 20:41	did the first one with as a cliffhanger,
[285] 20:43	but that's because the story demanded
[286] 20:45	it. I mean, I wouldn't have done that
[287] 20:48	normally, but the story just seemed to
[288] 20:50	have needed that. I mean, after I
[289] 20:53	resolved all the major questions, it
[290] 20:55	just needed that to give you a gut
[291] 20:57	punch.
[292] 20:59	So, so that's why we chose a a
[293] 21:01	cliffhanger for the first book. But
[294] 21:02	every book after that hasn't had a
[295] 21:04	cliffhanger. Every book has a
[296] 21:06	resolution, an open question maybe at
[297] 21:08	the end, but a resolution.
[298] 21:12	Okay. Um,
[299] 21:16	so, uh, let's move on.
[300] 21:19	CPN versus DOS.
[301] 21:22	That That cliffhanger was evil. Laugh
[302] 21:26	out loud. I was on the edge of my seat.
[303] 21:30	>> Yeah.
[304] 21:32	Um,
[305] 21:36	here's the I mean, here's the thing. Um,
[306] 21:38	I mean, it's a a cliffhanger on book
[307] 21:41	one.
[308] 21:43	um
[309] 21:45	does have a way of turning people off
[310] 21:49	sometimes and that was the risk we took
[311] 21:52	with it uh because
[312] 21:56	um
[313] 21:58	it could be used in a very very jaded
[314] 22:01	way to get people to buy book two. All
[315] 22:03	right, we didn't want that. Okay, that's
[316] 22:06	exactly what we didn't want.
[317] 22:09	So what we did was we made sure we had
[318] 22:13	and the fact is in many cases if you do
[319] 22:16	book one and there's no book two
[320] 22:19	>> Yeah.
[321] 22:20	>> people will get really really upset with
[322] 22:22	you.
[323] 22:23	>> That one
[324] 22:25	did that.
[325] 22:26	>> Yeah.
[326] 22:26	>> Where all the characters
[327] 22:29	blown up at the end.
[328] 22:30	>> Oh, Farscape. Yeah. Farscape did that
[329] 22:34	>> and it just
[330] 22:35	>> people were angry. They don't get
[331] 22:37	invited to book.
[332] 22:40	>> Yeah.
[333] 22:40	>> Well, that's not fair to them.
[334] 22:42	>> Yeah.
[335] 22:45	Um,
[336] 22:46	so when we did the cliffhanger for book
[337] 22:48	one, we already had book two in the can.
[338] 22:52	So,
[339] 22:57	uh, Mama says, "I both hated and loved
[340] 23:00	book one's cliffhanger."
[341] 23:02	Yeah, but again, we made sure um we made
[342] 23:06	absolutely sure that we had book two in
[343] 23:10	the can.
[344] 23:12	So, there was going to absolutely be a
[345] 23:16	book two coming out when we did book
[346] 23:19	one. So, we knew that
[347] 23:23	we knew that book two was going to be
[348] 23:25	there. So, in it was a lowrisk strategy
[349] 23:29	for us.
[350] 23:37	So, um,
[351] 23:40	now,
[352] 23:42	uh, there are going to be open questions
[353] 23:45	probably for every book going forward
[354] 23:46	until we get to the final book, but at
[355] 23:50	this point, um,
[356] 23:56	CPM versus DOSS, it was a good ending,
[357] 23:58	though. it made me go right into reading
[358] 24:00	book two the minute I got it which is
[359] 24:02	cool.
[360] 24:03	>> Um, and the fact is every book we do is
[361] 24:06	slightly different but in set in that
[362] 24:08	universe.
[363] 24:10	So you'll get a different experience
[364] 24:12	with every read and that's what we're
[365] 24:14	kind of going for here. So every every
[366] 24:18	book ends with an open question, not a
[367] 24:21	head cliffhanger necessarily, but an
[368] 24:23	open question. And that open question
[369] 24:26	will lead into
[370] 24:28	the next book. So
[371] 24:36	Ryan Kip asks, "Do you think waiting for
[372] 24:38	each book is better than reading them
[373] 24:40	back to back?" Um, well, considering I'm
[374] 24:44	like still producing them, um, read them
[375] 24:46	as they come out.
[376] 24:49	Um, that's all I can say.
[377] 24:57	Mama says, "Book two did not
[378] 24:59	disappoint." Well, we hope um we're glad
[379] 25:01	to hear that. Um,
[380] 25:05	it book two received less critical
[381] 25:07	praise than book one. Not that's not
[382] 25:09	surprising, but people seem to enjoy
[383] 25:11	book two a lot more. So, I don't know
[384] 25:14	how what to exactly make of that. Uh
[385] 25:18	>> they're waiting for books.
[386] 25:20	>> A lot of people are waiting for book
[387] 25:21	three. Yeah. Yeah. Um and we hope book
[388] 25:25	three doesn't disappoint either. Um
[389] 25:27	there's been a lot of changes to book
[390] 25:29	three anyway. So,
[391] 25:32	um,
[392] 25:34	so we are we are very very much looking
[393] 25:38	forward to see what people think of book
[394] 25:40	three.
[395] 25:44	Uh, there's even been changes since the
[396] 25:46	beta readers got it.
[397] 25:49	So, um, Mama, you're going to probably
[398] 25:53	have to reread it.
[399] 26:00	CPM versus DOSS. Book two gave us
[400] 26:03	sloppy. Yes, book two did give you
[401] 26:06	sloppy.
[402] 26:08	Okay.
[403] 26:12	Mama goes, "Oh, yes. Oh, very different
[404] 26:18	ending."
[405] 26:24	So, yeah, that's was it was fun. It was
[406] 26:26	fun to do that.
[407] 26:29	Yeah, as Kiara points out here, uh, we
[408] 26:32	did not expect Sloppy to be a fan favor.
[409] 26:34	He is much beloved. Yeah, really
[410] 26:37	surprised.
[411] 26:41	Raing Smurf. You edited it. Now we're
[412] 26:44	positing a Falcon F source.
[413] 26:52	Mama goes, I always reread my hard
[414] 26:54	copies. That's how I discovered a
[415] 26:55	certain typo. Yeah, typos are are a
[416] 26:58	thing. They will always be there.
[417] 27:02	>> What?
[418] 27:05	Again, I will never feel bad about I'll
[419] 27:08	never feel bad about typos ever again. I
[420] 27:11	mean, first of all, it does tell you
[421] 27:12	that AI is not editing it. Yeah, AI will
[422] 27:16	make your your type free of of typos. It
[423] 27:20	will also make your your manuscript free
[424] 27:23	of its voice. So, you know, that's typos
[425] 27:27	are the price you pay for uh for having
[426] 27:31	a authoral voice. So, yeah, I don't feel
[427] 27:35	I don't feel bad about typos. I try my
[428] 27:37	best to get rid of them. I don't like
[429] 27:39	them, but it's the price we pay for
[430] 27:42	them.
[431] 27:48	Jack Ray goes, "Books almost out the
[432] 27:50	door, Vulk." Oh, just one more thing.
[433] 27:53	Yeah. The ones that really bother me are
[434] 27:55	the ones that show up on the covers.
[435] 27:59	But
[436] 28:00	>> and it's happened on every book. It's
[437] 28:02	happened on every book that um
[438] 28:08	that there is um
[439] 28:11	something on the cover that isn't right.
[440] 28:15	>> And we can't see them because look at
[441] 28:17	it.
[442] 28:17	>> Yeah. And we can't see it because we
[443] 28:19	look at it too often.
[444] 28:22	>> Yeah.
[445] 28:26	All right, let's move on to the next
[446] 28:27	question here.
[447] 28:29	>> Ancient Egypt.
[448] 28:31	>> Yeah.
[449] 28:34	>> Uh, of course, Goldwin asked the
[450] 28:37	question here. Uh, artist, writer,
[451] 28:39	painter, musician, or scholarship,
[452] 28:41	biblical studies, theology, philosophy,
[453] 28:44	science. If if one can choose if you can
[454] 28:48	choose only one as a vocation,
[455] 28:51	well, what kind of poor do you want to
[456] 28:53	be? That's more the question. Uh do you
[457] 28:56	want to be um barista poor or do you
[458] 29:01	want to be food stamps poor?
[459] 29:05	Okay,
[460] 29:07	that's your choice between artist and
[461] 29:09	scholar.
[462] 29:15	If you want to be an artist, you're
[463] 29:17	going to be you're going to be breez.
[464] 29:20	If you want to be a scholar, you're
[465] 29:21	going to be food stamp poor. Okay?
[466] 29:26	That's the difference.
[467] 29:33	So, there you go. That's the answer.
[468] 29:41	Raging Smurf, one out of 10. Who would
[469] 29:44	not recommend food food stamp poor?
[470] 29:47	Yeah, I wouldn't either.
[471] 29:49	Uh, I thought I don't recommend
[472] 29:51	scholarship as a way to earn a living.
[473] 29:59	>> Yeah, you actually can't.
[474] 30:03	>> CPM versus DOSS. Rich enough for no food
[475] 30:06	stamps. Poor enough where you probably
[476] 30:08	need them. Yeah.
[477] 30:12	Uh, MV Monson goes, "Now is the worst
[478] 30:14	time to be a musician, too." Oh, yeah,
[479] 30:16	it is. It's terrible time to be a
[480] 30:18	musician. It's a terrible time to be an
[481] 30:19	artist of any kind
[482] 30:23	world is
[483] 30:27	>> Yeah.
[484] 30:38	All right, let's move on here. Um,
[485] 30:40	again,
[486] 30:45	uh, but that's really I mean follow I
[487] 30:49	mean if you're going to choose between
[488] 30:50	one poor and the other, I mean how much
[489] 30:52	difference is there? So,
[490] 30:55	um,
[491] 30:58	if you pick smartly in scholarship,
[492] 31:01	there might be money there, especially
[493] 31:02	if it's something that relates to
[494] 31:05	something industrial like engineering or
[495] 31:08	oil production. I mean, there there is
[496] 31:11	money in that stuff, but
[497] 31:13	but again, choose wisely. Choose wisely.
[498] 31:16	>> But you're going to do this rest of your
[499] 31:19	lives.
[500] 31:22	Yeah, that's true.
[501] 31:26	Dark Blade, how not to be food stamp
[502] 31:28	poor. Charge $200 for lectures where you
[503] 31:30	say in my book 50 times and show selfies
[504] 31:34	of you with Katy Perry at the pyramids.
[505] 31:37	Yeah,
[506] 31:38	we won't go into that in any detail. We
[507] 31:42	all know who you're talking about, Dark
[508] 31:44	Blade.
[509] 31:49	Yeah, he has powerful friends. All
[510] 31:52	right, let's move on. The next question
[511] 31:53	here from Dark Blade, thoughts on
[512] 31:56	grilled cheese sandwiches. Delicious.
[513] 32:00	Absolutely delicious. Get the right
[514] 32:01	bread and the right cheese. Oh yeah,
[515] 32:04	very good. Um
[516] 32:09	I would recommend for grilled cheese. Uh
[517] 32:13	one very very good grilled cheese
[518] 32:16	combination
[519] 32:17	is
[520] 32:20	um brie with strawberries
[521] 32:25	and balsamic.
[522] 32:28	Very good. An alternate to that, an
[523] 32:31	alternate goat cheese sandwich on the
[524] 32:33	similar lines is again brie with
[525] 32:37	blueberries and honey. A drizzle of
[526] 32:40	honey.
[527] 32:42	Very, very delicious.
[528] 32:53	Uh, Rich Adams asked, "Butter or mayo,
[529] 32:55	depends on what you're doing."
[530] 32:58	Uh both are good in the right in the
[531] 33:00	right ways.
[532] 33:06	Yeah, the honey can be very very
[533] 33:08	interesting especially with blueberries
[534] 33:10	and uh bree cheese if you're doing a
[535] 33:12	grilled cheese sandwich.
[536] 33:25	Okay.
[537] 33:31	I mean, there is the old the whole white
[538] 33:34	bread salted butter and cheese thing. I
[539] 33:36	mean, you can do that. I mean,
[540] 33:40	there's there's there's no wrong way to
[541] 33:42	make a grilled cheese. Um, I would just
[542] 33:45	say get a good cheese that melts, okay?
[543] 33:48	It has to have a good melting
[544] 33:50	properties.
[545] 33:51	So,
[546] 33:53	a proolone makes a very good grilled
[547] 33:55	cheese sandwich.
[548] 33:57	Swiss can make a very good grilled
[549] 34:00	cheese sandwich. Mozzarella and cheddar,
[550] 34:03	very, very good.
[551] 34:05	I would not recommend gorgonola because
[552] 34:08	it doesn't melt nice. I wouldn't
[553] 34:11	recommend any blue cheese
[554] 34:14	uh for a grilled cheese sandwich because
[555] 34:17	it just doesn't melt well, at least not
[556] 34:19	in the right way.
[557] 34:22	But um but yeah, I love grilled cheese
[558] 34:25	sandwiches. They're they're very very
[559] 34:26	good and they can be quite gourmet if
[560] 34:29	you, you know, use a little bit of
[561] 34:30	creativity.
[562] 34:34	So yeah, that's my thoughts on grilled
[563] 34:36	cheese sandwiches.
[564] 34:47	Mervmonson says, "Good cheese fits
[565] 34:49	well." It does. Um, you can do a smoked
[566] 34:52	gouda. That's very nice. Very nice as a
[567] 34:55	grilled cheese sandwich.
[568] 34:58	Mama quote. There's no wrong way to make
[569] 35:01	a grilled cheese sandwich, Dr. Faulk.
[570] 35:03	Well, there is. Just avoid the blue
[571] 35:06	cheeses. Blue cheeses are just uh boy,
[572] 35:10	blue cheeses, fetas,
[573] 35:12	um any of those cheeses that don't melt
[574] 35:14	nice.
[575] 35:22	All right, next question here is our
[576] 35:24	first um super chat,
[577] 35:29	which is from Joseph uh for $2. Thank
[578] 35:32	you for the um
[579] 35:36	uh super chat. And he asks, "Any book
[580] 35:39	recommendations onnosticism?"
[581] 35:42	Yeah, I have one book recommendation. It
[582] 35:45	depends on uh of course how much you
[583] 35:48	know about nnosticism already.
[584] 35:52	But I would recommend
[585] 35:55	uh my book of course I have a book
[586] 35:58	onnosticism
[587] 35:59	uh called ancient Egypt and the origins
[588] 36:01	ofnosticism an exploration into Egyptian
[589] 36:05	prescratic literary traditions and
[590] 36:07	philosophy.
[591] 36:09	Um that is probably the best. It's I
[592] 36:13	wrote it as a primer for understanding
[593] 36:15	nasticism and it goes into the various
[594] 36:19	theories ofnosticism their strengths and
[595] 36:21	their weaknesses
[596] 36:23	and it comes out with its own sort of
[597] 36:25	conclusions onnosticism. So that's what
[598] 36:28	I would recommend for the book for a
[599] 36:30	book onnosticism.
[600] 36:31	So,
[601] 36:33	um that's what I would recommend. But,
[602] 36:36	um getting a good general primer on
[603] 36:39	narcissism is very very difficult
[604] 36:41	because there's such um discord in the
[605] 36:45	various um
[606] 36:48	camps of Gnostic studies. So, anyway, I
[607] 36:51	hope that helps. Thank you for the super
[608] 36:53	chat. Really appreciate it.
[609] 37:00	CPM versus DOS. Where can I buy that
[610] 37:01	book? On Amazon. It's on Amazon.
[611] 37:04	I don't pitch that book very often. Uh
[612] 37:07	it was essentially my master's thesis
[613] 37:09	that was converted into a book. Uh I
[614] 37:13	also don't get much money out of that
[615] 37:15	one.
[616] 37:18	So I I don't go out of my way to promote
[617] 37:20	that one. That was one of those ones
[618] 37:21	that in hindsight I would have published
[619] 37:24	with someone else. But
[620] 37:28	>> but if somebody
[621] 37:29	>> yeah if if someone's Yeah. If if if
[622] 37:33	someone is just looking for a good book
[623] 37:35	on to to understand narcissism, it's the
[624] 37:38	best I can recommend.
[625] 37:42	Okay, moving on here. Uh next super chat
[626] 37:45	here is also from Joseph for $2. Thank
[627] 37:48	you again for the super chat. Is Ezekiel
[628] 37:51	38:39 about modern Israel? Okay,
[629] 37:56	it is. What we're dealing with with
[630] 37:58	Ezekiel in this particular passage is a
[631] 38:01	form of apocalyptic literature.
[632] 38:05	And once you start getting into
[633] 38:06	apocalyptic literature, you know,
[634] 38:11	there's a whole lot of issues that sort
[635] 38:14	of start coming in. So
[636] 38:19	it might not be related to modern
[637] 38:22	Israel. It could be, but it is related
[638] 38:24	to a future Israel.
[639] 38:27	Whether that future Israel is the Israel
[640] 38:29	of today or the Israel of tomorrow.
[641] 38:33	So,
[642] 38:35	so I'm reticent to say it's talking
[643] 38:38	about modern Israel because one of the
[644] 38:40	things when you deal with apocalyptic
[645] 38:42	literature is that apocalyptic
[646] 38:45	literature is constantly being
[647] 38:48	reinterpreted for its in its present
[648] 38:51	time
[649] 38:53	and you just have to be aware of that
[650] 38:54	when you talk about apocalyptic
[651] 38:56	literature. Uh
[652] 39:00	so,
[653] 39:02	it can be
[654] 39:03	Yeah, God could be gracious and we could
[655] 39:05	be here another 5,000 years, in which
[656] 39:07	case it's talking about the Israel from
[657] 39:09	5,000 years from now. So you you just
[658] 39:13	don't know with apocalyptic if it's
[659] 39:15	talking about present day Israel or as I
[660] 39:18	said some Israel in the future. Either
[661] 39:21	is possible
[662] 39:23	and we just can't be sure based upon the
[663] 39:25	text. Okay, so I hope that helps. Thank
[664] 39:28	you for the super chat. Really
[665] 39:30	appreciate it.
[666] 39:35	All right.
[667] 39:41	Uh, Joseph for $2. Thank you very much
[668] 39:43	for the super chat. Are there different
[669] 39:45	levels of hell? If they are, the Bible
[670] 39:48	is silent on this. Uh, we get the levels
[671] 39:51	of hell from Dante's Inferno. That's
[672] 39:54	where we get this. Uh Dante did this
[673] 39:58	masterpiece poem where he talks about
[674] 40:01	the I think it's the nine levels of
[675] 40:02	hell. Uh but it's not something that's
[676] 40:05	found in the biblical record. Okay. It's
[677] 40:08	something that uh later uh theologians
[678] 40:12	have talked about, but there's there's
[679] 40:14	no biblical warrant for this. There
[680] 40:16	might be levels to hell, but if there
[681] 40:18	are, we're not we don't have evidence
[682] 40:21	for that.
[683] 40:22	So, so it's just one of those things
[684] 40:27	um
[685] 40:30	um that we just cannot really
[686] 40:34	we don't we don't have the information.
[687] 40:36	We don't have sufficient information to
[688] 40:39	make a determination here. So, I hope
[689] 40:42	that helps. But we have to also be
[690] 40:44	careful here not to confuse what's in
[691] 40:46	literature with what's biblical fact. So
[692] 40:50	again, um,
[693] 40:54	raging smurf,
[694] 40:58	uh, Dante's Inferno and Paradise Lost is
[695] 41:00	proof that fanfiction can be extremely
[696] 41:02	powerful in influencing popular zitas.
[697] 41:05	Absolutely. Yeah.
[698] 41:16	Uh Bon Papa says, "People tend to assume
[699] 41:18	that apocalyptic predictions are going
[700] 41:20	to happen in their own lifetime." Yeah,
[701] 41:22	many do. That is not uncommon. We do see
[702] 41:27	that certain events do trigger it. Okay.
[703] 41:31	Um there are times when people tend to
[704] 41:34	do this more than others.
[705] 41:37	uh they tend to do um try to they they
[706] 41:41	they
[707] 41:43	reinterpret
[708] 41:45	apocalyptic for their own times when
[709] 41:49	time when their life life is short.
[710] 41:51	Okay. Uh when there's some numerological
[711] 41:55	event like the turning of a millennium.
[712] 41:58	Uh this happened at 1000 AD. This
[713] 42:01	happened in during Y2K.
[714] 42:06	So, this is something that that triggers
[715] 42:09	these things.
[716] 42:12	Uh, we're going to see this again around
[717] 42:13	10 uh 2030 and 2033
[718] 42:17	with the uh 2000th year of the
[719] 42:19	crucifixion of Jesus Christ. We're going
