[0] 0:00	Heat. Heat.
[161] 13:05	uh so that's uh that's the that's the
[162] 13:08	meaning of the word ark both its its
[163] 13:10	translation into English and its um its
[164] 13:15	meaning in the various usages of tea and
[165] 13:19	arrone in the old testament. Okay. And
[166] 13:23	interestingly enough, um,
[167] 13:26	Aron appears to be a Semitic word, but
[168] 13:29	tea comes from the from an Egyptian
[169] 13:31	word.
[170] 13:34	So, very very interesting little um um
[171] 13:38	linguistic note there. All right. So, I
[172] 13:40	hope that helps. Thank you very much for
[173] 13:42	the question. Very much appreciated.
[174] 13:46	I will also take these from Mike JSB as
[175] 13:48	well.
[176] 13:50	Um, he's got here a couple questions on
[177] 13:54	uh the conquest. Um, but I'll take I'll
[178] 13:57	take a one or two of them here. Uh, Mike
[179] 14:01	JSB asks, "Some early daters claim that
[180] 14:03	the middle bronze three houses found by
[181] 14:06	the German excavators built up against
[182] 14:09	the outer wall of Jericho city for in on
[183] 14:12	the north part of the tail supports the
[184] 14:14	Rahab narrow dead. Any thoughts? Yes, I
[185] 14:16	have some thoughts on this. And the
[186] 14:18	thoughts come from Joshua 2:15.
[187] 14:22	Pull that. Pull our Bible up here.
[188] 14:26	Joshua 2:15.
[189] 14:30	And here I need the other one.
[190] 14:37	All right. Joshua 21:15.
[191] 14:42	And this is this is the the part of the
[192] 14:45	narrative where the spies come and visit
[193] 14:47	Rahab uh the the harlot in her inn and
[194] 14:52	she hides them and then she has to
[195] 14:53	release them. Okay. In verse 15 it says
[196] 14:56	she let them down by a rope through the
[197] 14:59	window where her house was. Now the text
[198] 15:02	here in in the translation says on the
[199] 15:04	city wall. It's not what the text says.
[200] 15:08	It was in the city wall. So she was
[201] 15:12	living in the wall. This was called a
[202] 15:15	reduplica a clarification by
[203] 15:17	reduplication. Okay. So the here's
[204] 15:21	here's the issue. You could read this
[205] 15:23	without that reduplication. You could
[206] 15:25	read this as her house was inside the
[207] 15:27	wall like it was protected by the wall.
[208] 15:30	But reduplication is done um to to
[209] 15:34	narrow down nuance. And this is one of
[210] 15:37	the ways Hebrew compensates for its
[211] 15:41	broad lexical range. Okay. Now, the text
[212] 15:44	nowhere here says it's on the wall or
[213] 15:48	outside of the wall. The problem with
[214] 15:50	the uh middle bronze three houses is
[215] 15:52	they're located um against the outer
[216] 15:55	wall outside of the city. That's the
[217] 15:59	problem with them. Okay. So,
[218] 16:04	so the problem is, um,
[219] 16:07	oh, um, my JSB asks the followup. Why do
[220] 16:11	some translations read on the wall?
[221] 16:13	Because they cannot because here's the
[222] 16:15	thing. Translators aren't
[223] 16:16	archaeologists.
[224] 16:18	They don't understand the whole thing
[225] 16:20	about Casemate walls. Okay? Now, a
[226] 16:23	casemate wall is where you've got two
[227] 16:26	walls. Got two walls with some fill
[228] 16:28	inside. Well, people back then would
[229] 16:31	used to take that fill out and live make
[230] 16:34	homes inside the two walls. So, they
[231] 16:37	were actually living in the walls.
[232] 16:40	Okay. And you could make some pretty
[233] 16:43	pretty neat apartments like this, you
[234] 16:45	know, and they would they would build
[235] 16:47	upwards.
[236] 16:49	You had a view. Yeah. Excellent view.
[237] 16:51	Yeah. So,
[238] 16:54	so this what what the text in Joshua
[239] 16:56	2:15 here is expressing is a residence
[240] 16:59	inside of a casemate wall.
[241] 17:03	So, um the text nowhere in in here
[242] 17:06	actually says on the city wall, but it
[243] 17:10	does says in the city wall. And the
[244] 17:13	reduplication
[245] 17:15	of the text indicates that it's a it's a
[246] 17:18	it's an it's an emphasis by red by by
[247] 17:22	duplication.
[248] 17:24	So the author here is really really
[249] 17:27	stressing that it is inside the walls.
[250] 17:35	Ryan comb asked the follow-up question.
[251] 17:37	How high would the window be that the
[252] 17:39	spies repel down? Well, if she's living
[253] 17:41	inside the the the the the walls itself,
[254] 17:45	probably about 20 feet.
[255] 17:54	Um, I don't understand Dark Blade's
[256] 17:56	question there. I'll read it, but I
[257] 17:58	don't understand what he's asking. Would
[258] 17:59	it be cheaper for a certain wall fan to
[259] 18:02	build a casemate wall or a normal wall
[260] 18:06	on his country's border with its
[261] 18:07	southern neighbor? I don't understand
[262] 18:09	the question. Sorry. I know you're
[263] 18:11	trying to follow up this, but I don't
[264] 18:12	just don't understand what you're asking
[265] 18:14	here.
[266] 18:20	Oh, is it? Oh. Oh, it's a Trump
[267] 18:22	question. It's a political question.
[268] 18:23	Yeah, we won't take that.
[269] 18:32	He's making a joke. Yeah. Okay. I had to
[270] 18:35	have that explained to me.
[271] 18:41	Fair enough.
[272] 18:43	I do archaeology, not politics. Okay.
[273] 18:46	Politics not my thing.
[274] 18:50	Okay. So, um that should bring clarity
[275] 18:53	at least to the question here of whether
[276] 18:55	these middle bronze three houses could
[277] 18:57	be of that nature. Okay. And I don't
[278] 19:00	think I don't think given the text that
[279] 19:02	we have in Joshua chapter 2 that this is
[280] 19:06	a convincing explanation. All right, so
[281] 19:09	I hope that helps. Thank you for the
[282] 19:11	question. Very much appreciated.
[283] 19:14	Uh Mike JSB asks, "Will you ever do a
[284] 19:16	video discussing the middle bronze 2 and
[285] 19:18	late bronze one phases of hot sore based
[286] 19:21	on beer's recent work and how it's
[287] 19:23	problematic for ultra early and early
[288] 19:25	date conquest theories?" I might
[289] 19:27	someday. I haven't given it a lot of
[290] 19:29	thought. We do have actually a fairly
[291] 19:32	robust list at the moment of topics we
[292] 19:34	do want to do. So we might we'll put it
[293] 19:38	on our ideas list and um you know we'll
[294] 19:41	we'll see what happens. Okay.
[295] 19:44	All right. Now we get to the super
[296] 19:45	chats.
[297] 19:47	Uh the first super chat is one that did
[298] 19:50	not go through last week. Uh which we
[299] 19:53	which we received the payment but it
[300] 19:54	didn't come in on our list. So we're
[301] 19:57	going to take it this week. And if that
[302] 19:59	ever happens to somebody, yeah, YouTube
[303] 20:01	glitches sometimes. So when YouTube
[304] 20:03	glitches, we'll go good for it. No
[305] 20:05	problem.
[306] 20:07	And this is from Travis Garrett who gave
[307] 20:09	us a $5 super chat last week. Thank you
[308] 20:12	very much for the super chat. And he
[309] 20:14	says, "What were the grooming, shaving
[310] 20:16	practices outside of Egypt in the
[311] 20:18	ancient near east? Men, women, hair,
[312] 20:21	beard, body, etc. Was lice as bad
[313] 20:24	outside of Egypt?" Okay. uh the the
[314] 20:27	appearance seems to be that lice was not
[315] 20:30	as big a problem in Egypt or outside of
[316] 20:32	Egypt. Outside of Egypt, men had full
[317] 20:35	beards. Okay, most most of the cultures
[318] 20:38	of the Middle East had full beards.
[319] 20:41	uh everything from say um um the
[320] 20:45	Israelites who had full beards um to say
[321] 20:49	the Assyrians who had these like monster
[322] 20:53	beards, these these bush bushmen beards,
[323] 20:57	mountain band beards. Okay. There's
[324] 21:00	nothing more magnificent than an
[325] 21:02	Assyrian beard. Okay.
[326] 21:06	Okay.
[327] 21:09	Oh, yeah. Yeah. They were they were they
[328] 21:11	were better than the Viking beards by a
[329] 21:12	long shot.
[330] 21:15	Now, why was lice such a problem in
[331] 21:18	Egypt more so than in the in the rest of
[332] 21:20	the Levant and the ancient near east?
[333] 21:22	The reason why was um uh population
[334] 21:26	density. Okay. Uh population
[335] 21:31	density is
[336] 21:34	happens when you get people who are
[337] 21:38	packed together in such tight quarters
[338] 21:40	that things like lice, you know, lice
[339] 21:42	here's here's the thing about lice. Lice
[340] 21:44	spreads where you've got people in tight
[341] 21:46	quarters, you know, this is why you get
[342] 21:48	lice outbreaks at like schools,
[343] 21:52	cities, submarines,
[344] 21:55	uh in Egypt. Okay? So anytime you have
[345] 21:59	tight living conditions and population
[346] 22:03	density in in Egypt was really really
[347] 22:05	high. Houses were very small and people
[348] 22:09	were packed together in tight tight
[349] 22:12	communities. Um you go to to Dear Al
[350] 22:15	Medina and where you can see the the
[351] 22:17	workers village and they were houses on
[352] 22:20	top of each other. They just were it was
[353] 22:22	crazy how small those houses were.
[354] 22:27	Okay. So,
[355] 22:32	mysterious fungus. So, like how plagues
[356] 22:34	spread. Um, yeah, similar. Yeah,
[357] 22:37	similar. It's again a tight population
[358] 22:39	density will allow a plague to spread in
[359] 22:42	the same way that it'll allow lice to
[360] 22:44	spread.
[361] 22:45	Ryan Con, they had submarines in Egypt.
[362] 22:48	Did they have schools in Egypt?
[363] 22:55	Um, yeah, they did.
[364] 22:58	Jack Ray houses on top of each other
[365] 23:00	like apartments. They were multifloor uh
[366] 23:03	houses. Okay. So, so they had more than
[367] 23:06	one uh living level on a house. But you
[368] 23:09	have to understand that the four uh that
[369] 23:11	the housing that they had in Egypt was
[370] 23:14	really really had a small footprint. So
[371] 23:18	a lot of times they built up.
[372] 23:21	So houses of two and three floors were
[373] 23:23	not uncommon in Egypt.
[374] 23:30	Yeah, the walls were actually connected
[375] 23:32	like town houses. So people shared walls
[376] 23:35	in Egypt.
[377] 23:38	So yeah, it was it was a very tight
[378] 23:41	living quarters, very tight living
[379] 23:43	conditions. And that seems to have been
[380] 23:45	true throughout Egypt. So it wasn't just
[381] 23:47	Dadina. We find similar um situation at
[382] 23:51	Lahoon as well.
[383] 23:55	Ryan, they had to take it to the next
[384] 23:57	level, I suppose. So,
[385] 24:02	okay.
[386] 24:11	All right. So, I hope that answers your
[387] 24:12	question. Uh, thank you very much for
[388] 24:14	the super chat. We really appreciate it.
[389] 24:18	Okay. Let's we can move on to the rest
[390] 24:20	of the super chats here. Next one here
[391] 24:24	is from Johan Snimon for uh 70 South
[392] 24:28	African rand. Thank you very much for
[393] 24:29	the super chat. Hi Dr. Faulk. In Exodus
[394] 24:33	7 19 through 8-7, did the water return
[395] 24:37	back to normal after just 7 days or was
[396] 24:40	it actually a longer time to allow frogs
[397] 24:42	to be able to multiply enough by the
[398] 24:45	time of the second plague?
[399] 24:47	Um we are the text says that it was uh
[400] 24:52	resolved after the seven days I believe.
[401] 24:55	Let me just take a look at the text here
[402] 25:00	exodus
[403] 25:06	7.
[404] 25:12	I won't read through the whole thing
[405] 25:13	here, but this is talking about the
[406] 25:16	plague of blood where the streams and
[407] 25:18	the waters were all turned to blood.
[408] 25:26	Uh it says here verse 25, "And seven
[409] 25:28	days passed after the Lord had struck
[410] 25:30	the Nile. Then the Lord said to Moses,
[411] 25:32	go to Pharaoh and say, thus says the
[412] 25:34	Lord, let my people go they may serve
[413] 25:36	me."
[414] 25:40	And
[415] 25:41	so
[416] 25:43	so that doesn't say that the blood that
[417] 25:46	the water returned back to normal after
[418] 25:48	7 days. What it's basically saying is
[419] 25:51	after 7 days then you get the frogs.
[420] 25:56	So we don't know how long exactly the
[421] 25:58	plague of blood was. It might have been
[422] 26:01	seven days. It might have been longer.
[423] 26:03	Not sure.
[424] 26:19	Okay.
[425] 26:25	[Laughter]
[426] 26:27	Mysterious fungus. Back in my day, we
[427] 26:30	shared the wall with the neighbors or
[428] 26:32	lived inside them.
[429] 26:34	That's cramped.
[430] 26:43	Yeah,
[431] 26:45	Dark Blade. Uh, I do recall if this was
[432] 26:47	in Shanghai. I don't recall if this was
[433] 26:49	in Shanghai. Uh, Dalian, but I once saw
[434] 26:53	multif family residence building upwards
[435] 26:55	of 30 stories tall. Yeah, that's Yeah, I
[436] 26:59	I believe it. Um you you see you see
[437] 27:02	buildings like that all over the place
[438] 27:03	now today. But back then it was a little
[439] 27:06	less common because of building
[440] 27:07	standards. But uh but they did people
[441] 27:11	did build tall buildings. You know they
[442] 27:15	uh there was some that were like five
[443] 27:16	six stories easily. So you know it was
[444] 27:19	you know that's that's just something
[445] 27:21	people did.
[446] 27:24	But typically most residences were two
[447] 27:26	or three.
[448] 27:30	Okay,
[449] 27:32	next one here
[450] 27:38	is from AT Ministries
[451] 27:41	uh for 199. Thank you for the super
[452] 27:43	chat. Thoughts on the Dead Sea Scrolls
[453] 27:46	AI thing? Okay, we were thinking of
[454] 27:49	doing a mana machine alert on this, but
[455] 27:51	it turns out there isn't actually that
[456] 27:53	much to say about this.
[457] 27:55	Uh
[458] 27:58	here is the basically what they did.
[459] 28:00	They took the consensus of scholars on
[460] 28:03	various texts
[461] 28:06	did some carbon 14 tests on those texts
[462] 28:09	and then what they did was they used AI
[463] 28:11	to analyze
[464] 28:14	the handwriting samples
[465] 28:16	and contextualize it with both scholarly
[466] 28:19	opinion and the AI. And not surprisingly
[467] 28:23	trained on that data, the AI sort of
[468] 28:25	took a middle-of the road position
[469] 28:28	between what the scholars thought and
[470] 28:31	what the carbon 14 determined. Now,
[471] 28:35	there's some issues here on all fronts.
[472] 28:38	Okay. Now, uh one of the things is that
[473] 28:43	um
[474] 28:44	the AI they used was for comparative
[475] 28:47	epigraphy.
[476] 28:50	So we don't have a huge number of of
[477] 28:53	samples to do that sort of comparative
[478] 28:56	epigraphy.
[479] 28:57	So the training of the AI is going to be
[480] 29:00	spotty. Okay. Um the other thing is that
[481] 29:05	there are still some issues with the
[482] 29:06	carbon 14 itself.
[483] 29:09	Now
[484] 29:11	I think that um carbon 14 is a tool. I
[485] 29:15	think it's useful tool. I think you
[486] 29:18	can't uh depend on it entirely,
[487] 29:21	but I think the same thing about AI too.
[488] 29:24	It's a tool. It's a useful tool, but you
[489] 29:27	can't rely on it entirely either.
[490] 29:30	So,
[491] 29:32	um I think one of the things I have
[492] 29:34	concerns when I had about the what the
[493] 29:36	scholars said was I think some of the
[494] 29:38	scholars overstated some of their
[495] 29:40	claims. I think the most um um egregious
[496] 29:45	overstatement they made was where they
[497] 29:47	called the Dead Sea Scrolls authors.
[498] 29:49	They attributed them to as having
[499] 29:51	written the Bible. They didn't write the
[500] 29:54	Bible. They were copiists.
[501] 29:57	Okay? And I think the the research team
[502] 30:01	took their conclusions too far.
[503] 30:04	Uh this was a this was something that uh
[504] 30:06	Christopher Rolston had commented on
[505] 30:09	that that there's that that yeah this
[506] 30:13	this could be a very useful tool but
[507] 30:16	that the researchers themselves
[508] 30:18	overstated the conclusions of the tool
[509] 30:23	that
[510] 30:30	the AI was
[511] 30:33	Yeah.
[512] 30:38	Yeah. Yeah. My producer also said here
[513] 30:40	that they also fed the answers to the
[514] 30:44	AI. So, it's not like the AI is coming
[515] 30:47	up with this independently. It's using
[516] 30:49	both the carbon 14 results and the
[517] 30:52	scholarly opinion to inform its opinion.
[518] 30:56	it would have been a lot more a lot more
[519] 30:58	powerful result if they had had some
[520] 31:01	sort of
[521] 31:03	um third-party basis to generate its
[522] 31:08	opinion. So I think that's that's an
[523] 31:11	issue there as far as the reliability of
[524] 31:14	that tool as far as its its
[525] 31:17	um seed data goes with the results. We
[526] 31:21	like the
[527] 31:29	So it's are you really
[528] 31:34	giving?
[529] 31:38	Yep.
[530] 31:41	Yeah. Um
[531] 31:44	yeah. So uh I think there's there there
[532] 31:46	are some issues here about what it
[533] 31:50	um the basis that the AI is working
[534] 31:52	upon.
[535] 31:54	Uh Ryan Co camp asks, "So what did the
[536] 31:57	AI actually do?" Okay, here's what it
[537] 32:00	actually did.
[538] 32:02	It took the day from the carbon 14 and
[539] 32:05	it took the scholarly opinion. Now, the
[540] 32:09	researchers already knew that the um the
[541] 32:13	scholarly opinion is the late date. The
[542] 32:16	carbon 14 is the early date. Okay? So,
[543] 32:18	they had that range of of dates already.
[544] 32:20	And then what they did was they took the
[545] 32:22	AI and said, "Okay, look at the
[546] 32:25	epigraphy here and compare it to other
[547] 32:27	Hebrew first century Hebrew epigraphy."
[548] 32:30	Okay? And from that come up with a date
[549] 32:35	based upon the range you were given.
[550] 32:39	So it was already going to get a result
[551] 32:42	that we could guess was going to be in
[552] 32:44	that middle range because that was the
[553] 32:46	confines of what it was expected to do.
[554] 32:53	Dark Blade says, "Wait, did they
[555] 32:56	actually say they wrote the Bible?" Yes.
[556] 32:59	Yes, they did.
[557] 33:01	I thought the DSS status as copy was DSS
[558] 33:04	101. Dead Sea Scrolls 101. Yes, it is
[559] 33:08	Dead Sea Scrolls 101.
[560] 33:12	The thing you at least know if you're
[561] 33:14	know anything about the Dead Sea
[562] 33:16	Scrolls. Yeah.
[563] 33:18	Yeah. again. Uh these this is a how do I
[564] 33:22	say this? Uh this
[565] 33:25	Obama said
[566] 33:29	I knew it by the time I was 12. Morons.
[567] 33:35	Well, they're computer scientists. These
[568] 33:37	guys are computer scientists. These guys
[569] 33:39	who basically are specialists in the
[570] 33:41	digital um um digital humanities. Okay.
[571] 33:45	So the the team that did this were not
[572] 33:47	Dead Sea Scroll experts. Far from it.
[573] 33:51	They were a team of technologists.
[574] 33:56	So
[575] 33:59	they're
[576] 34:02	they're they're already um they're they
[577] 34:05	don't know anything about the Bible or
[578] 34:06	its formation.
[579] 34:12	Jonathan Walker says they didn't give
[580] 34:14	the AI enough to form an outcome
[581] 34:16	independent of the dating and consensus.
[582] 34:18	Yeah, that's exactly it. Yeah, that's
[583] 34:20	exactly it.
[584] 34:22	And my producer has even said that too
[585] 34:24	that uh they just um they didn't give
[586] 34:26	the AI enough
[587] 34:37	mysterious fungus. Wait, so they did
[588] 34:40	they conclude that the Dead Sea Scrolls
[589] 34:42	authors wrote the Bible because the of
[590] 34:44	their study or did they assume that that
[591] 34:47	from the beginning? It seems to be that
[592] 34:49	they concluded that from their study.
[593] 34:52	Okay, that's what it appears. But again,
[594] 34:55	is this an overstatement or or just
[595] 34:58	ignorance of of what the Dead Sea
[596] 35:00	Scrolls actually were? Don't know.
[597] 35:06	Vaults hashtag blameconstantine
[598] 35:11	could be.
[599] 35:15	[Laughter]
[600] 35:17	Yeah.
[601] 35:19	So, um
[602] 35:22	the problem with the study was not sort
[603] 35:24	of its its method, although there was
[604] 35:27	definitely methodological problems with
[605] 35:29	it. Its conclusions were definitely
[606] 35:31	concerning.
[607] 35:33	um
[608] 35:35	not because it really shattered
[609] 35:37	anything. I think one interesting
[610] 35:39	conclusion that came out of it was um an
[611] 35:42	early date for for Daniel. A really
[612] 35:45	early date for Daniel. Uh 3rd century
[613] 35:49	early date for Daniel, which at this
[614] 35:51	moment is sort of um goes against the
[615] 35:56	consensus.
[616] 35:57	the the consensus right now is that
[617] 36:01	Daniel was written in the second
[618] 36:03	century.
[619] 36:06	This would contest that claim.
[620] 36:09	So, um I don't think the study should be
[621] 36:13	thrown out completely just because the
[622] 36:16	uh the researchers
[623] 36:19	um
[624] 36:21	uh overstated their conclusions. Um I
[625] 36:24	think though that their their AI
[626] 36:26	modeling does need some improvements on
[627] 36:29	its training data. Okay, if it has a
[628] 36:32	larger set of training data, yeah, this
[629] 36:34	could be used effectively for this kind
[630] 36:36	of work. It's not the first time this
[631] 36:38	has been done. Okay, either we need to
[632] 36:41	keep that in mind too. Um comparative
[633] 36:44	linguistics has been and and
[634] 36:46	particularly comparative orthography has
[635] 36:48	been done by other computer programs
[636] 36:50	too.
[637] 36:52	So the method has merit. The method has
[638] 36:56	merit. It just needs refinement.
[639] 37:07	Dark blade 3rd century is still a lot
[640] 37:09	closer to what the secularists say than
[641] 37:11	to what the Judeo-Christian tradition
[642] 37:13	says. Yes. But here's the problem.
[643] 37:17	Once you get into that third century
[644] 37:21	and
[645] 37:23	you get into that whole sort of um
[646] 37:26	um reasoning why the secular light dated
[647] 37:31	which is because of the idea that you
[648] 37:34	know prophecy isn't real. Okay, I mean
[649] 37:36	that's what the secularists are going to
[650] 37:38	say here. Well, it has to be late
[651] 37:40	because they are predicting
[652] 37:42	um the uh that Daniel is predicting the
[653] 37:46	Salucid Tool Wars of of the second
[654] 37:50	century. So, it has to be written in the
[655] 37:52	second century.
[656] 37:54	Well, if this dates to the 3rd century,
[657] 37:59	then
[658] 38:01	this isn't that sort of this isn't you
[659] 38:04	got to give that prophecy some merit
[660] 38:06	then. So,
[661] 38:11	Mysterious fungus says, "Basically, if
[662] 38:13	you allow one prophecy to be real, then
[663] 38:15	you open the floodgates." Yeah, that's
[664] 38:16	exactly it. That's why there's such a
[665] 38:19	push to date Daniel to the second
[666] 38:22	century. Now, what's very interesting is
[667] 38:24	we already have some evidence that
[668] 38:27	suggests that Daniel is a lot older than
[669] 38:30	that. Uh for example, almost all the
[670] 38:33	scholars agree that the first Enoch
[671] 38:36	dates to the 4th century. Okay, almost
[672] 38:38	everyone agrees with that. First Enoch
[673] 38:40	quotes Daniel.
[674] 38:43	So there's already basis, there's
[675] 38:46	already some grounds to suggest that
[676] 38:48	Daniel is a lot older than the scholarly
[677] 38:50	consensus suggests.
[678] 38:54	So,
[679] 39:05	uh, Ryan Concamp asks, "Uh, what is your
[680] 39:08	take on the dating of the book of
[681] 39:10	Daniel?" I think it's I think it's an
[682] 39:12	earlier book. Um, I don't I don't hold a
[683] 39:14	scholarly consensus here. I think
[684] 39:16	there's enough warrant right now to say
[685] 39:19	it's at least fifth century BC. Okay.
[686] 39:23	So,
[687] 39:25	so I I I think I I would put it in
[688] 39:27	around the fifth century BC. I don't
[689] 39:30	think it matters that much if it isn't,
[690] 39:32	but I also think that fifth century
[691] 39:36	dating of of Daniel is not unreasonable
[692] 39:39	based upon it's the quotation from first
[693] 39:42	Enoch. Okay. So, um
[694] 39:46	so that's what I that would I would
[695] 39:48	generally hold to. Um,
[696] 39:52	I whether or not it's sixth century, I
[697] 39:55	don't know, but I would I would put it
[698] 39:56	put it at fifth. All right. So, that's
[699] 39:58	that's my that's my thoughts on the
[700] 40:00	dating of the book of Daniel. All right.
[701] 40:03	All right. Let's get back to the super
[702] 40:05	chats here.
[703] 40:09	Uh, next super chat here is from 18
[704] 40:11	ministries for 199. Thanks for the super
[705] 40:13	chat. What do you like about the Dune
[706] 40:15	series?
[707] 40:20	I like that it feels alien, but yet
[708] 40:23	there's aspects of it that are sort of
[709] 40:25	familiar, like the desert. I mean, I I
[710] 40:28	love I love I love books set in the
[711] 40:30	desert. Always have. Okay. I like its um
[712] 40:37	its take on what future religion could
[713] 40:39	be like. I think it's very interesting.
[714] 40:41	Um,
[715] 40:43	uh, I think it's its idea of of of cult
[716] 40:48	figures as a danger is very provocative.
