[0] 0:22	Oh,
[91] 10:13	into the questions.
[92] 10:16	Uh Mama says, "Seriously, congrats,
[93] 10:18	Doc." Well, thank you. That's uh as I
[94] 10:20	said, it's so cool to actually receive a
[95] 10:22	real medal, something as I said, real
[96] 10:24	and tangible, not just a electronic
[97] 10:26	certificate. So,
[98] 10:28	um so that was really cool.
[99] 10:32	Okay, our first question here is from
[100] 10:37	the Dooa Dude, and he asks when I can
[101] 10:39	see it here, there's no external
[102] 10:42	evidence of the star of Bethlehem as
[103] 10:44	stated in Matthew. Should we take this
[104] 10:45	as allegorical? No, we shouldn't. What
[105] 10:49	we should take this as is astrological.
[106] 10:53	Now, what we're going to do at some
[107] 10:55	point is a video on astrology in in the
[108] 10:58	ancient world because it doesn't quite
[109] 11:02	work the way we would expect.
[110] 11:05	So, when they say they see a star in the
[111] 11:07	east, it's a star in conjunction with
[112] 11:09	something. There is a lot of these
[113] 11:13	mentioned in ancient literature. In
[114] 11:15	fact, there's a whole treatise from
[115] 11:17	Assyrian sources on astronom uh
[116] 11:21	astrological observations.
[117] 11:24	In fact, Joshua 10 where you have the
[118] 11:27	sun standing in the sky is an
[119] 11:30	astrological
[120] 11:31	observation.
[121] 11:33	So,
[122] 11:35	so just because there isn't anything
[123] 11:36	extraordinary happening in the sky from
[124] 11:39	say our point of view or our vantage
[125] 11:42	point doesn't mean that an astrologer
[126] 11:45	wouldn't see something that's worth
[127] 11:47	noting.
[128] 11:49	So,
[129] 11:52	uh, so even if if you could sort of wind
[130] 11:55	back the clock to to, um, 4 BC in
[131] 12:00	Bethlehem and looked up in the sky and
[132] 12:03	saw a perfectly ordinary night, an
[133] 12:06	astrologer might look up and see
[134] 12:07	something different, you know, something
[135] 12:09	where there's an conjunction somewhere
[136] 12:12	where they're going, "Hey, this is
[137] 12:13	really unusual. We need to pursue this."
[138] 12:17	So we have to take that whole external
[139] 12:20	evidence thing with a kind of proverbial
[140] 12:22	grain of salt because say astrology
[141] 12:26	doesn't work the same way as say
[142] 12:28	astronomy.
[143] 12:30	It's a category error. You're using
[144] 12:33	astronomical
[145] 12:35	um um methods to try to determine
[146] 12:40	something astrological.
[147] 12:42	Not the same. So you can't use astronomy
[148] 12:47	to discount astrology.
[149] 12:51	So it is again it's just one of those
[150] 12:54	category errors and I just think it's
[151] 12:58	it does it should not drive you to
[152] 13:00	allegory just there's a different method
[153] 13:03	going on here.
[154] 13:05	Okay.
[155] 13:07	Ryan Cohen camp. So astrology isn't
[156] 13:10	entirely fake. Oh, astrology was
[157] 13:13	considered to be an entire predictive
[158] 13:15	science back back before say Newton.
[159] 13:21	Oh, you talk about astrology any time
[160] 13:24	before Newton
[161] 13:26	and people thought it was a legitimate
[162] 13:29	science.
[163] 13:31	Now, do I think it's a legitimate
[164] 13:33	science? No.
[165] 13:35	But a lot of cultures did say that like
[166] 13:39	for example the um uh Lutheran reformer
[167] 13:43	Mean he thought astrology was a
[168] 13:46	legitimate science. He believed heavily
[169] 13:48	in astrology.
[170] 13:51	Most of the ancient world believed in
[171] 13:53	astrology.
[172] 13:55	It doesn't necessarily give it
[173] 13:56	credibility but it is what people
[174] 13:58	believed. It's more of a let's say it's
[175] 14:01	it's not a prescriptive thing. It's not
[176] 14:04	it's not saying that astrology is true.
[177] 14:07	It's just more a descriptive thing where
[178] 14:11	the some astrologer saw a a sign in the
[179] 14:15	sky and pursued it believing what he
[180] 14:18	believed about it. It's a recording of
[181] 14:21	what they actually believed, not so much
[182] 14:24	what uh
[183] 14:27	uh
[184] 14:29	um what was actually observed. Okay.
[185] 14:34	So, uh, hope that helps. Thank you for
[186] 14:38	the, uh, for the question. Really
[187] 14:39	appreciate that.
[188] 14:45	Uh, broken clock. Yeah, it could be. You
[189] 14:47	could, you could use a broken clock
[190] 14:48	analogy here. You know that a broken
[191] 14:50	clock is right twice a day. Yeah.
[192] 14:58	Keeps learning. Can it be said that
[193] 15:00	astrology and astronomy were conflated
[194] 15:01	then? Yeah, back then you you'd say that
[195] 15:04	there was no astronomy back then,
[196] 15:06	though. Let's just be clear about that.
[197] 15:08	There really wasn't astronomy because
[198] 15:10	they didn't know what planets were. They
[199] 15:12	didn't know what stars really were. Uh
[200] 15:15	so astrology was
[201] 15:19	what filled the place of astronomy.
[202] 15:26	Okay, let's move on. Next question here.
[203] 15:29	Next question here is from Dartblade.
[204] 15:33	Did elephants, rhinos, and cheetahs once
[205] 15:35	roam the near east? Asking because all
[206] 15:37	three appear
[207] 15:39	both in farther east parts of Asia and
[208] 15:42	Africa. Okay.
[209] 15:45	Um
[210] 15:47	rhinos not so much. Africa. Yeah. Uh um
[211] 15:50	the rhino was in Africa. It seems to be
[212] 15:52	only um apart from its sort of um there
[213] 15:57	were versions of the rhino that were all
[214] 16:01	over Asia and uh Africa at some point
[215] 16:05	and even North America. There was even a
[216] 16:07	North American species of rhino at one
[217] 16:09	point, but all of those um died out by
[218] 16:13	the pleaene. So
[219] 16:17	um really by by the time you get into
[220] 16:21	the um anthroposine period, the holosene
[221] 16:24	period, you're really talking about the
[222] 16:26	rhino being confined to Africa at that
[223] 16:28	point. Um there might have been some in
[224] 16:31	some small groups in India, but that
[225] 16:34	would have been about it. Elephants,
[226] 16:35	elephants were all the way across
[227] 16:38	um various subspecies of elephant were
[228] 16:40	all across Africa and Asia. Cheetahs.
[229] 16:45	Cheetahs were only confined to to Africa
[230] 16:47	as far as we know. Okay. So,
[231] 16:52	there doesn't seem to be any cheetah
[232] 16:53	that that gone beyond Africa or even
[233] 16:56	North Africa as such. They seem to be
[234] 16:59	have been confined to the southern
[235] 17:01	regions of Africa. So, hope that helped.
[236] 17:04	Thank you for the super chat or the
[237] 17:06	question.
[238] 17:09	The third nons super chat here is from
[239] 17:13	Dark Blade. Do you support the shorter
[240] 17:15	10 to 11 year or the longer 14 to 15
[241] 17:18	year reign is said the first? Okay, this
[242] 17:22	one is weird.
[243] 17:24	Um I support the 14 to 15 year reign.
[244] 17:27	Okay, now here's the here's the
[245] 17:30	weirdness of this.
[246] 17:33	There's there's a weirdness to the 10 to
[247] 17:35	11 year view and I just don't buy it.
[248] 17:40	The idea is that Si the first actually
[249] 17:44	reigned 15 years, 14 to 15 years, but
[250] 17:49	that last four years was a co- regency
[251] 17:53	with Ramsey's II
[252] 17:56	and Ramsey's II used that co-regency and
[253] 18:01	padded his 66-year reign with that
[254] 18:03	co-regency.
[255] 18:05	Okay, that's not the way co-regencencies
[256] 18:09	work.
[257] 18:09	>> [laughter]
[258] 18:12	>> Just saying you don't get to take years
[259] 18:16	off of your father's reign to add it to
[260] 18:19	your reign.
[261] 18:24	I've I've always been I've always been
[262] 18:26	uncomfortable with that view. It's so so
[263] 18:30	nobody is is really contesting
[264] 18:33	that that said he reigned 14 to 15
[265] 18:36	years. The only question is did it
[266] 18:38	overlap four years with the reign of
[267] 18:41	Ramsey's II? I would say no. I I would I
[268] 18:44	definitely take the position that it
[269] 18:47	doesn't make sense to have a four-year
[270] 18:49	co- regency with Ramsey's II and then
[271] 18:51	Ramsey's I steals that four four years
[272] 18:54	and adds it to his own reign. So
[273] 19:00	not buying that.
[274] 19:03	just saying.
[275] 19:06	[laughter]
[276] 19:11	So, um yeah, I would I would go with a
[277] 19:14	14 to 15 year reign. And I think that's
[278] 19:18	I I think that's the only thing that
[279] 19:19	makes sense. If anything, when there is
[280] 19:22	a co-regency, what usually happens is um
[281] 19:29	the father gets um gets the full credit
[282] 19:32	for his reign
[283] 19:34	and then the son
[284] 19:38	may add those years to his reign, but
[285] 19:41	not at the expense of his father's
[286] 19:44	reign.
[287] 19:46	So that's that's more normal. But this
[288] 19:50	whole idea of of oh Si the first and and
[289] 19:54	Ramsey the second were co-regents
[290] 19:57	and Ramsey I steal that four years and
[291] 20:01	adds into his own while cheating dad.
[292] 20:04	[laughter]
[293] 20:05	No no that's not the way co- riches
[294] 20:07	work.
[295] 20:09	Just saying. Just saying.
[296] 20:13	Yeah. So, um,
[297] 20:17	so that's where I would that's where I'd
[298] 20:19	fall on this issue. I I I think I think
[299] 20:21	the shorter reign doesn't make a lot of
[300] 20:22	sense. Um, it doesn't it doesn't fit in
[301] 20:25	with the pattern of of say normal
[302] 20:27	Egyptian
[303] 20:29	um co- regencies.
[304] 20:33	Okay. Let's see. Was there anything else
[305] 20:36	here for non-s super chats that I want
[306] 20:38	to take?
[307] 20:40	Um, I'll take this one from Gizbo and
[308] 20:42	then we'll start moving on to the
[309] 20:45	um
[310] 20:47	uh the regular questions or sorry the
[311] 20:51	super chats.
[312] 20:54	Uh, Gizbo Espol asks the uh the non-s
[313] 20:57	super chat here. How would you respond
[314] 20:59	to the early data argument that the
[315] 21:01	toponyms in Exodus 14:2 existed in
[316] 21:04	earlier periods but relevant texts
[317] 21:06	preserving them haven't survived? Well,
[318] 21:09	let's pull up the Bible here and let's
[319] 21:11	see what 14:2 says.
[320] 21:17	Okay.
[321] 21:20	Exodus
[322] 21:26	14.
[323] 21:28	Okay. Tell the sons of Israel to turn
[324] 21:31	back and camp before Pihahi wrote
[325] 21:33	between Mdul and the sea. You shall camp
[326] 21:36	in front of Balsant opposite to it and
[327] 21:38	the sea. Okay.
[328] 21:40	Now the C is probably the is is is an
[329] 21:44	undisputed oldm. No one undisputes.
[330] 21:47	Phihakahi wrote, Mgdal and Bals Safon,
[331] 21:50	those are the ones at issue. Now in the
[332] 21:52	case of Pihiro and Bals Safon,
[333] 21:55	uh yeah, that's possible. They might
[334] 21:56	have been earlier and they um text
[335] 21:59	didn't exist to support them. The
[336] 22:02	problem with Mgdal though
[337] 22:05	is Mgdal is actually ascribed to certain
[338] 22:09	kings as having built it. There was a
[339] 22:12	big Mdoll of Si the first. There was a
[340] 22:14	Migdal of Ramsey's II. There was a Mdole
[341] 22:17	of um I think one other king of Shoshank
[342] 22:20	I believe also did a migdal. Okay. Now
[343] 22:23	the the problem here is that you're not
[344] 22:26	there wasn't any migdal pred uh um that
[345] 22:32	was a predecessor to to set the firsts.
[346] 22:35	So
[347] 22:36	um but there's other there's the problem
[348] 22:38	here with that whole text surviving
[349] 22:41	thing. Now they can they narrow it down
[350] 22:43	to 142. Okay. But there's other tokenms
[351] 22:47	here in in the Exodus account that
[352] 22:50	cannot be in any way
[353] 22:54	uh justified by uh archaeological lack
[354] 22:59	of preservation. Okay, lack of
[355] 23:00	archaeological preservation like
[356] 23:02	Pithome,
[357] 23:04	like Ramse's. Okay, those are two that
[358] 23:08	are not just specific to a certain time
[359] 23:13	but a circum circumstance
[360] 23:16	like for example Ramse's is is the
[361] 23:21	circumstance there is the building of
[362] 23:23	the capital uh P Ramsey's by uh Ramsey's
[363] 23:27	II and we know this from papyrus
[364] 23:30	Anastasia 3 because the name used
[365] 23:32	Ramse's or Ramse's is the name of
[366] 23:36	Ramse's II.
[367] 23:39	It's it's it's the name is unique to
[368] 23:43	Ramsey's II. It's not it's you couldn't
[369] 23:46	use that. You couldn't say, "Well, that
[370] 23:48	could apply to Ramsey's first." No. No,
[371] 23:51	it can't. It can't apply to Ramsey's II.
[372] 23:55	It could can't even apply to Ramosa
[373] 23:58	because the whole name of the city is P.
[374] 24:03	user ma
[375] 24:05	set enemizes
[376] 24:08	Mary Ammon
[377] 24:10	that is the whole titularary of Ramse's
[378] 24:13	II that's the name of the city that's
[379] 24:16	his full name
[380] 24:18	Ramse's is an abbreviation
[381] 24:21	so
[382] 24:23	there is absolutely no way that Ramse's
[383] 24:28	that the name Ramse's could exist in an
[384] 24:30	earlier period
[385] 24:32	because of what the full name of the
[386] 24:35	city actually is.
[387] 24:42	>> You don't have to be an Egyptologist to
[388] 24:44	know that.
[389] 24:46	So, um, so there's there's no way that
[390] 24:48	that could be. But even Pitham, you
[391] 24:50	know, Pitham, you know, that that Pum
[392] 24:55	that is that was done under a specific
[393] 24:58	historical circumstance.
[394] 25:00	That naming that naming
[395] 25:04	was done by Ramsey's II when the temple
[396] 25:09	when he built a temple of Atum at
[397] 25:12	Czechu.
[398] 25:13	Prior to that it was just called Czechu.
[399] 25:17	So there was no name Pithome prior to
[400] 25:21	Ramsey's II because he hadn't built the
[401] 25:24	temple. without him building the temple,
[402] 25:27	that name wouldn't exist.
[403] 25:30	So,
[404] 25:32	you can only go so far to say, okay,
[405] 25:38	um that these these arguments that okay,
[406] 25:44	um text preserving them haven't
[407] 25:46	survived. That will only take you so
[408] 25:48	far. But then you're going to have
[409] 25:50	you're going to hit a wall. You're going
[410] 25:52	to hit a wall when say historical events
[411] 25:56	make that impossible.
[412] 25:58	So
[413] 26:00	dark blade but my redact kadabra
[414] 26:04	[laughter]
[415] 26:07	redactadabra.
[416] 26:13	[laughter]
[417] 26:14	Oh boy.
[418] 26:17	Keeps learning. That was that was a
[419] 26:19	mouthful. Well, [laughter] yeah. I mean,
[420] 26:22	it's the name of a king. Kings have long
[421] 26:24	names. There's there's that's part
[422] 26:26	that's that's why it's good to be king.
[423] 26:27	You get to be have a long name.
[424] 26:29	[laughter]
[425] 26:35	Okay.
[426] 26:37	So, um
[427] 26:39	take that off here. Uh but so yeah,
[428] 26:41	that's that's the reason why this
[429] 26:44	doesn't work ultimately. you know, yeah,
[430] 26:46	it will work for part of for some of two
[431] 26:50	of the toponyms in Exodus 14:2. It might
[432] 26:53	be a plausible explanation. It's not a
[433] 26:55	plausible explanation for Mdal and
[434] 26:58	certainly not a plausible explanation
[435] 26:59	for Pithome or Ramse's.
[436] 27:02	So
[437] 27:04	again, you're just going to you're just
[438] 27:05	going to hit a wall with that argument
[439] 27:08	cuz I mean if if if what you're trying
[440] 27:11	to do is cherrypick the data right down
[441] 27:13	to Exodus 14:2, you might have a chance
[442] 27:17	with this argument, but once you start
[443] 27:19	engaging the fuller text of scripture,
[444] 27:22	this whole thing falls apart. So hope
[445] 27:24	that helps. Thank you for the for the
[446] 27:26	question. Really appreciate it.
[447] 27:30	Okay.
[448] 27:35	All right, let's move on to the super
[449] 27:36	chats. Super chats.
[450] 27:40	Okay, our first uh super chat is from
[451] 27:43	Aeio.
[452] 27:45	Aeui
[453] 27:46	O for 11. Thank you for the super chat.
[454] 27:50	Hey Dr. Faulk, why did Samson and the
[455] 27:53	prince of Sheckchham depend upon their
[456] 27:54	fathers to arrange their marriages?
[457] 27:56	Judges 14:3 and Genesis 34:4. Was it a
[458] 28:01	political status thing or related to
[459] 28:03	exonomy somehow? The answer is because
[460] 28:06	first marriages were always arranged by
[461] 28:08	your parents.
[462] 28:10	That's
[463] 28:11	that's always how it worked in the
[464] 28:13	ancient near east. Um second marriages
[465] 28:16	weren't.
[466] 28:18	Uh second marriages you were up to the
[467] 28:21	individual to to arrange. But a first me
[468] 28:25	a first marriage for just about anyone
[469] 28:28	was arranged by their parents.
[470] 28:31	Um in fact it was seen as sort of the
[471] 28:35	height of irresponsibility
[472] 28:38	for a parent to not make a good marital
[473] 28:41	match for their children.
[474] 28:44	Like today we just say, "Okay, kids,
[475] 28:46	just figure out dating yourself and
[476] 28:49	[laughter]
[477] 28:50	choose badly and get yourself an a quick
[478] 28:52	divorce." Okay? But that wasn't seen as
[479] 28:57	proper parenting in the ancient world.
[480] 29:00	Okay?
[481] 29:02	Uh proper parenting in the ancient world
[482] 29:04	was
[483] 29:06	you found your child a good spouse to go
[484] 29:10	out and help them in the big bad world
[485] 29:12	out there.
[486] 29:14	Okay, that was that was was considered
[487] 29:18	to be proper parenting back then. Okay,
[488] 29:22	so
[489] 29:23	um arranged marriages were not just
[490] 29:26	about political stat or political
[491] 29:28	politics or status although sometimes it
[492] 29:30	did involve that. I mean there's no
[493] 29:31	doubt it involved that especially in
[494] 29:33	upper class marriages. upper class and
[495] 29:36	wealthy marriages. Um yeah, uh politics
[496] 29:39	and status was a thing. But all classes
[497] 29:42	did this.
[498] 29:44	Um even farming classes, farmers and um
[499] 29:49	say laborer classes, you know, even they
[500] 29:53	did arrange marriages for their
[501] 29:55	children. This was just seen as the
[502] 29:58	proper
[503] 29:59	proper thing to do for your children.
[504] 30:03	Dark blade. So even if you're 45, your
[505] 30:05	first marriage will still be arranged by
[506] 30:07	mom and more primarily dad.
[507] 30:09	>> Oh yeah.
[508] 30:10	>> Oh yeah.
[509] 30:12	Um now if your parents are both dead,
[510] 30:14	no. Okay.
[511] 30:17	If you outlive your parents, no.
[512] 30:21	Uh but if your if your parents were
[513] 30:24	still alive, probably yes. And they
[514] 30:27	probably are just really unhappy at that
[515] 30:30	point that you're still single.
[516] 30:32	Okay.
[517] 30:34	Really, really unhappy that you're still
[518] 30:36	single.
[519] 30:38	They probably tried at this point a
[520] 30:40	dozen times to get you married. You just
[521] 30:43	keep messing it up.
[522] 30:49	Um [laughter]
[523] 30:51	so,
[524] 30:53	so absolutely. Yeah. Um if you're in
[525] 30:56	your 40s and you're not married,
[526] 30:59	uh you're a problem.
[527] 31:06	I mean the whole purpose.
[528] 31:09	>> Yeah. So
[529] 31:11	no no
[530] 31:13	personal happiness was not even
[531] 31:15	considered uh to be a it wasn't even
[532] 31:18	consideration
[533] 31:20	uh for marriage back then. So,
[534] 31:24	so yeah, if you were if you were if you
[535] 31:26	were still in your 40s and you weren't
[536] 31:28	married,
[537] 31:30	yeah, your parents were not happy with
[538] 31:32	you. You were you were a pariah in your
[539] 31:34	family. So,
[540] 31:41	living in the ancient near east parents
[541] 31:43	basement.
[542] 31:45	Did they have basements in in the
[543] 31:47	ancient near east? No, they didn't.
[544] 31:50	They had hoffs.
[545] 31:52	>> You were outside in the manger.
[546] 31:53	[laughter]
[547] 31:54	>> You were outside in the manger. That was
[548] 31:56	as close as it got to a basement.
[549] 31:59	[laughter]
[550] 32:05	Ryan Conamp, would you ever think about
[551] 32:07	eloping back then? It was done, but with
[552] 32:11	incredible shame attached.
[553] 32:14	Okay.
[554] 32:17	>> Yeah.
[555] 32:19	>> Yeah.
[556] 32:20	Uh there is this this Kuneaform tablet
[557] 32:24	of a young man
[558] 32:27	who
[559] 32:29	um fell in love with a with a young lady
[560] 32:33	and
[561] 32:34	um he wanted her, she wanted him. The
[562] 32:39	parents had promised her had had betrod
[563] 32:42	her to somebody else.
[564] 32:45	So the young man got a bunch of his
[565] 32:48	friends together and started singing in
[566] 32:51	the streets their his love for his
[567] 32:53	woman. And he got up to his his belove's
[568] 32:58	home and the father met them and killed
[569] 33:01	them all. [laughter]
[570] 33:07	[laughter]
[571] 33:09	That was the end of true early love.
[572] 33:12	Not happy.
[573] 33:16	>> [laughter]
[574] 33:17	>> father was having none of that.
[575] 33:21	[laughter]
[576] 33:23	Killed the killed the boyfriend and all
[577] 33:25	his friends [laughter]
[578] 33:32	[laughter]
[579] 33:36	happened because he didn't have a
[580] 33:37	shotgun. Yeah, well, if he had a
[581] 33:39	shotgun, it would have ended the same.
[582] 33:42	goes, "Wow."
[583] 33:44	Yeah. Yeah. That's young love for you in
[584] 33:46	the ancient near east.
[585] 33:50	[laughter]
[586] 33:53	CPN versus DOS. Finally, a Disney tale
[587] 33:56	for the dads.
[588] 33:59	[laughter]
[589] 34:03	[laughter]
[590] 34:09	Yep. And it's recorded with Canad form
[591] 34:11	tablet. And it's fantastic. Absolutely
[592] 34:14	fantastic.
[593] 34:19	Oh boy. [laughter]
[594] 34:26	[clears throat]
[595] 34:27	Good times. Good times.
[596] 34:30	Yeah. So, uh the long and the short of
[597] 34:32	it is that um back in the ancient near
[598] 34:35	east, your first marriage was almost
[599] 34:36	always arranged by mom or dad. usually
[600] 34:39	both. So there you go.
[601] 34:44	Not romantic, but there it is.
[602] 34:46	>> And as you said, often from birth.
[603] 34:48	>> Yeah. Well, sometimes from birth, not
[604] 34:50	always from birth, though. But
[605] 34:55	all right, let's move on. The next super
[606] 34:57	chat here. Next one here is from TBTM
[607] 35:00	for $4.99. Thank you very much for the
[608] 35:01	super chat. He says, I am confused about
[609] 35:05	Ezekiel 29:17 to 21. The prophecy seems
[610] 35:09	like it was not fulfilled. Could Persia
[611] 35:12	possibly have taken Babylon's role in
[612] 35:14	this? Let's look at this.
[613] 35:17	Okay. Ezekiel.
[614] 35:26	Ezekiel
[615] 35:28	29
[616] 35:31	17 to 21. Oops.
[617] 35:36	Okay. Verse
[618] 35:39	17. Now in the 27th year, in the first
[619] 35:42	month of the first uh first on the first
[620] 35:46	of the month, the word of the Lord came
[621] 35:48	to me, saying, "Son of man,
[622] 35:49	Nebuchadnezzar, king of Babylon, made
[623] 35:51	his army labor hard against Ty. Every
[624] 35:54	head was made bald, every shoulder was
[625] 35:57	rubbed bare, and he and his army had no
[626] 36:00	wages from Ty for the labor he had
[627] 36:02	performed against it. Therefore, thus
[628] 36:04	says the Lord God, behold, I shall give
[629] 36:06	the land of Egypt to Israel to
[630] 36:08	Nebuchadnezzar
[631] 36:10	uh king uh of Babylon, and he will carry
[632] 36:13	off her wealth and capture her spoil and
[633] 36:15	her plunder, and it will be wages for
[634] 36:18	his army, and it will be given to him
[635] 36:20	the land of Egypt for his labor which he
[636] 36:22	had performed, because they had acted
[637] 36:24	for me, declared
[638] 36:26	uh the Lord. On that day I shall make a
[639] 36:29	horn spout for the house of Israel and I
[640] 36:31	shall open your mouth in their midst and
[641] 36:33	then they will know that I am the Lord.
[642] 36:34	Okay. Now
[643] 36:39	um the whole idea there there's there's
[644] 36:42	two two issues in this text. One is the
[645] 36:46	is the Nebuchadnezzar conquest of Ty.
[646] 36:49	Second is the conquest of Egypt. Okay.
[647] 36:52	Now I would say this
[648] 36:55	um you get people who basically said
[649] 36:57	Nebuchadnezzar conquered neither.
[650] 37:01	Now we know that Nebuchadnezzar took
[651] 37:03	[laughter]
[652] 37:04	tire because there's two two um two
[653] 37:09	tablets from Nebuchadnezzar. he's
[654] 37:11	Nebuchadnezzar II
[655] 37:14	that one that says that there was a
[656] 37:16	soldier who was provisioning himself for
[657] 37:18	the conquest of Ty and then a second
[658] 37:20	tablet that dates to the Nebuchadnezzar
[659] 37:22	II that talks about
[660] 37:26	Ty as a province of Babylon. Okay. So,
[661] 37:29	it's clear that there was a conquest
[662] 37:31	attire and it was successful,
[663] 37:34	but maybe it didn't have the spoils that
[664] 37:37	uh Nebuchadnezzar was hoping for, but it
[665] 37:39	was successful.
[666] 37:41	So, from the Kaiform tablets, we can we
[667] 37:43	can definitely gather that. Now, both
[668] 37:45	those those tablets are in the British
[669] 37:46	Museum.
[670] 37:48	Okay. So then
[671] 37:51	so that's how the the the conquest
[672] 37:54	attire did go off and it was successful
[673] 37:56	although probably it took much labor to
[674] 37:59	get there. Now as far as Egypt goes
[675] 38:03	we do have uh one of the things we
[676] 38:06	noticed about Egypt at the time of say
[677] 38:10	um the Babylonian conquest
[678] 38:13	is there does seem to be have been some
[679] 38:16	looting.
[680] 38:18	Okay.
[681] 38:19	Uh the temples, the way one of the
[682] 38:22	things you can do with with say temple
[683] 38:23	furniture is you can monitor how stable
[684] 38:26	things were by the the grandiosity and
[685] 38:30	the beauty of the specific
[686] 38:33	items that were used in temple rituals
[687] 38:35	like barks.
[688] 38:38	And during say
[689] 38:41	the new kingdom, you start getting a
[690] 38:43	rise in
[691] 38:45	in the grandeur of this this consistent
[692] 38:48	rise in the grandeur of of sacred barks
[693] 38:51	from the early 18th dynasty all the way
[694] 38:54	to the end of the 20th dynasty.
[695] 38:57	Okay. So you get that
[696] 39:00	and it continues on after that to a
[697] 39:04	large extent.
[698] 39:06	Okay.
[699] 39:08	But you get to
[700] 39:11	you get to the Dynasty 25 and there's
[701] 39:13	been some looting already. So that that
[702] 39:17	that's to be expected.
[703] 39:20	But then you get a little dip up. So
[704] 39:22	after after the the the um the Napotin
[705] 39:26	dynasty loots Egypt, you get sort of
[706] 39:29	this, okay, they're starting to rebuild
[707] 39:32	things in Dynasty 26.
[708] 39:35	And right up to the end of Dynasty 26,
[709] 39:40	you get that sort of rise again of of
[710] 39:43	ritual furniture and then it plunges
[711] 39:45	again. It just like starts from nothing.
[712] 39:49	Okay. So now you got this
[713] 39:54	particularly during the reign of say
[714] 39:57	opraase. Opra is when you start seeing
[715] 39:59	it just plummet again.
[716] 40:02	So then the question is who's looting
[717] 40:04	Egypt? Who's looting Egypt around the
[718] 40:08	time of opra?
[719] 40:11	You don't have a lot of options here.
