[0] 0:53	[Music]
[63] 7:24	calendar so there is there is that now
[64] 7:31	the arm and the thumbin are very interesting and i'm gonna i'm
[65] 7:37	gonna sort of defer to michael heiser here for a change because i think his his um his view on
[66] 7:43	this is is actually quite interesting and quite profound um one of the suggestions he made was
[67] 7:50	that the um now if you've ever played um dungeons
[68] 7:56	and dragons you'll know that uh the game comes with a set of what's
[69] 8:02	called dragon dice these are essentially multi-sided dice so these aren't your ordinary six-sided dice
[70] 8:08	they can have 10 sides they can have 20 sides
[71] 8:13	this isn't new with with with with dnd
[72] 8:20	ancient people have been making uh 20-sided dice going all the way back to
[73] 8:28	say the third and fourth centuries bc in egypt okay
[74] 8:33	so it's it's really really clear that that ancient peoples had these kind of
[75] 8:38	dice so one of the suggestions that the suggestion that um hyzers came up with
[76] 8:47	was that the urum and the thumen the feminine are plural so there might have been three of
[77] 8:54	these dice each side of the dice contained a letter
[78] 9:00	okay now if you know anything about ancient hebrew all verbs all nouns have what's called a
[79] 9:08	tri-consonantal group a trick sorry a tri-consonantal root
[80] 9:14	okay so you can construct a word out of the three letters provided you
[81] 9:21	know what say the first letter is that would be the the arab
[82] 9:26	so essentially it's a roll of the dice that produces a word in hebrew
[83] 9:32	so it's a very interesting theory and it's a theory that i think has some really good merit to it
[84] 9:38	because we do have uh examples of 20-sided dice
[85] 9:43	from uh ancient times that have a letter of the
[86] 9:49	alphabet on each side of the dice and 20 is just enough
[87] 9:55	to cover most of the hebrew alphabet and there's some letters that can you
[88] 10:01	know double up here too so you know with three 20-sided dice you
[89] 10:06	can come up with practically every a serious you know word in in hebrew
[90] 10:13	so um this is um i think i think i think this is one of those theories by heiser that
[91] 10:20	really has legs i think this this this this idea really has legs
[92] 10:25	so this is where i would stand uh on this at the moment so uh because you do have oracles
[93] 10:33	in um say you know when when when saul is is searching for a um
[94] 10:41	a message from god and he's going to the urban ethereum and he's having to keep rolling
[95] 10:46	the dice because he's not getting he's getting nonsense he's not getting a message
[96] 10:53	well in order to get a message out of dice it has to actually communicate
[97] 11:00	something more than yes or no so
[98] 11:05	i think it's very very interesting that in in some sometimes the herb and the therm give you a yes and no answer
[99] 11:12	sometimes it gives you a much more complex answer that's only um
[100] 11:18	something that's possible with with more complex kinds of dice
[101] 11:23	which i think the irman thurman are in all practical terms a kind of dice to
[102] 11:28	use for um divination from the lord so that's my theory here and it's as i said
[103] 11:35	it's one i share with with michael heiser on this so thank you very much for the super chat very much appreciate it's an interesting
[104] 11:42	question okay
[105] 11:51	okay another five dollar super chat from michael harrell thank you very much
[106] 11:56	since the cherubim and seraphim are connected to the gods of ancient egypt
[107] 12:01	what are we being told theologically about yahweh well we're told a lot of things theologically about we are way
[108] 12:08	through this uh first of all we're being told that yahweh is holy
[109] 12:13	okay because these are these are not major gods these are minor gods these are these are angelic beings these are
[110] 12:18	not gods on the same level as yahweh these are not this is not a statement of polytheism
[111] 12:24	okay this is a statement of that there's one god and everyone else bows to him
[112] 12:32	okay and we see this even even in egypt in their own symbolism okay so this is this
[113] 12:39	is this is not something that's that's that's you know inferring anything pagan
[114] 12:45	what it's doing is it's inferring something very monotheistic
[115] 12:50	using the symbolism and the constructs of the late bronze age
[116] 12:56	okay it's also telling us to that you know because you know
[117] 13:02	god yahweh has no idol so even as he uses these these
[118] 13:08	constructs and these images he's using it in a way that's very distinct very different
[119] 13:15	okay so think of it this way you've got this this ark of the covenant that's similar to a sacred bark or
[120] 13:22	apartment throne okay and in egypt you would have an idol or a
[121] 13:27	person sit in that place between the cherubim well
[122] 13:32	what does it say when you have a sacred bark or sacred throne
[123] 13:39	or the ark of the covenant and there's no idol there but the presence of god is there
[124] 13:47	well without an idol there human beings can't take care of that god
[125] 13:53	you can't put that god to bed you can't clothe it you can't feed it
[126] 13:58	you're can't do anything for that god that god
[127] 14:04	is always awake he never sleeps
[128] 14:09	he doesn't need feeding he doesn't need care by human hands and he's always on the throne
[129] 14:15	that's what it tells us theologically about god that god is the master of the universe
[130] 14:23	god is in control unlike these other pagan gods who are not always in control because they have
[131] 14:29	got to go to sleep at night because because amun ray needs his rest okay but yahweh doesn't
[132] 14:37	he has doesn't have human needs he heaven is his throne
[133] 14:44	the earth is his footstool okay that's what this tells us about uh
[134] 14:52	so it's giving us a really monotheistic really um
[135] 14:58	theologically that god is is the be all and the end-all of of all
[136] 15:04	matters of faith so this is what it tells us
[137] 15:10	so you don't have to worry about the symbolism inferring anything pagan
[138] 15:15	the symbolism is redeemed it's it's redeemed to communicate yahweh
[139] 15:21	worship so anyway i hope that answers your question thank you very much for the
[140] 15:26	super chat very much appreciate it
[141] 15:32	okay that's the end of the super chats we can we'll get back to uh regular questions again
[142] 15:42	um all right let's take this one from tribal chief
[143] 15:48	how do you interpret god hardening pharaoh's heart in an egyptian context
[144] 15:53	did god take away his free will is there any place we can go to for further reading okay
[145] 15:58	uh this has been covered by a number of scholars
[146] 16:05	what we see in the progression of exodus is a and through the plagues
[147] 16:12	is that [Music] pharaoh hardens his own heart well we see the reflexive what's called
[148] 16:19	the nipple tense being used often here at least at the first at the beginning
[149] 16:24	of of the narrative okay that reflexive is you know pharaoh
[150] 16:32	hardened his own heart then pharaoh hardened his own heart
[151] 16:38	and god said okay you're going to go there fine i'll harden it for you
[152] 16:45	you want to continue down that road that's where it leads so we do have to understand that that
[153] 16:52	you know there's a comes a with free will there does come a point
[154] 16:57	and no return pharaoh made the choice early on
[155] 17:03	and because he made that choice early on god said yeah you're gonna you're gonna
[156] 17:09	stick by that choice okay we'll keep you going down that road
[157] 17:14	so we do have to understand that what god's doing here is he's not taking
[158] 17:19	away fear pharaoh's free will he is respecting the free will of pharaoh in his previous
[159] 17:27	decisions okay so
[160] 17:33	as a deity that that respects his previous decisions he says okay yeah
[161] 17:41	you did you did this to yourself this is the path you chose
[162] 17:47	so that's where that's how um we can see that that progression
[163] 17:52	of uh pharaoh from basically okay he's making the decisions on his own to
[164] 17:58	he's now being used for a greater purpose because he made those decisions
[165] 18:04	okay it's it's not in it's not in spite of his free will it is because of his free
[166] 18:11	will that pharaoh has his heart hardened okay
[167] 18:17	so i hope that answers your question thank you very much for the question very much appreciate that
[168] 18:26	okay uh matthew harwell two dollar super chat thank you very much who were the nephilim and the rephaim okay i'm not
[169] 18:34	really up on my rephaim so i'm gonna defer that i need to study that more the nephilim's a little different okay uh
[170] 18:42	the nephilim are i think it comes from a root word
[171] 18:48	meaning to fall the fallen ones okay now who are the nephilim they are
[172] 18:55	connected uh to what's called the sons of god okay now
[173] 19:00	i in this particular case i don't think this is where i'm gonna disagree with heiser i don't think the sons of god
[174] 19:08	here were say the divine council i think what we have here is a um
[175] 19:16	is a very very human institution essentially a fallen priesthood
[176] 19:22	now what do i mean by that um you look at say mesopotamian texts it
[177] 19:28	talks about the sons of ishtar okay well who are the sons of ishtar well that's a special class of priests
[178] 19:36	what do we talk we even see this this reference for example the kings of egypt
[179] 19:41	uh who are the who is the high priest of all egypt is called the son of ray
[180] 19:47	okay so priests in the ancient world are often called the suns according to whatever
[181] 19:54	deity they worshipped so it's sort of a a a um
[182] 19:59	an alternate term for priest but you also have what's um uh what are
[183] 20:06	called meditum in in the ancient near east too now and the detune is a priestess that takes a special
[184] 20:14	sexual vow a vow of abstinence uh so she can serve the god or goddess
[185] 20:21	now what happens sometimes is
[186] 20:26	people who take the naditum val sometimes break it
[187] 20:32	and under these conditions a child is born and that's considered to be a bad omen
[188] 20:38	that's considered to be a bad sign when a child is born from a detune
[189] 20:45	breaking that vow uh the the most famous uh example of
[190] 20:50	this is uh the we mentioned him earlier uh sargon of akkad
[191] 20:56	he was the child of a detuned priestess who broke her vow
[192] 21:04	the result of the uh the birth of sargonia god leads to the overthrow of many kingdoms
[193] 21:14	so it was considered to be a a a um really really bad sign when these
[194] 21:21	children were birthed okay so i think the nephilim
[195] 21:27	are essentially the children of an entire class of
[196] 21:33	of priests and priestesses who'd taken these in the detuned vows that ended up breaking them
[197] 21:39	so i think that is the best explanation for who are the nephilim okay now as i said the referee i need to look
[198] 21:47	up and do more research before i say anything definitive there but i hope that answers at least part of
[199] 21:53	your question uh thank you very much for the super chat very much appreciate it
[200] 22:01	okay we have got a 20 super chat from uh slam rn thank you very much hey it's
[201] 22:08	good to see you it's nice to have you here on the channel okay
[202] 22:15	as jeremiah 19 6 therefore behold the days are coming declares the lord
[203] 22:22	when this place will no longer be called toffet or valley of benjamin
[204] 22:27	but rather the valley of slaughter has been fulfilled yet or is
[205] 22:32	gehenna hell okay now gehenna is one of those interesting i'm
[206] 22:39	just going to flip into my version of this on my bible software here so at least i'm
[207] 22:45	hoping on the same page so just give me a moment here
[208] 22:51	so jeremiah
[209] 22:57	19
[210] 23:02	6 okay
[211] 23:09	so the context is um looking at i look at the entire
[212] 23:14	context here of genesis 19. you know the prophet is told to go to
[213] 23:21	the alley of ben hinon and
[214] 23:26	you know where they're where they are performing um bird sacrifices to ball
[215] 23:32	and human sacrifices too okay because a toffit is is child sacrifice
[216] 23:38	okay a toffit is where you know a child is is essentially uh richly killed and
[217] 23:43	and burned so uh
[218] 23:48	that's what happened in in um the hit on valley is is there was a toffee there and there was human sacrifice
[219] 23:56	okay so um the idea that it would be
[220] 24:02	[Music] no longer called toffet or the valley of benghan island rather the valley of
[221] 24:07	slaughter the
[222] 24:13	is the hebrew word for slaughter it's hard to know uh
[223] 24:20	if that had been in the inter-testamental period when they said that so the question of um
[224] 24:27	um i don't think this is a directly a reference to hell okay
[225] 24:33	now there is there is a places in in the
[226] 24:39	[Music] in the in the biblical text are often um idealized to have greater significance
[227] 24:47	we see this for example in babylon you know uh for example you know babylon is is
[228] 24:53	destroyed and made desolate and we're told in in
[229] 25:00	the old testament that it would be inhabited no more and yet we see in the book of revelation
[230] 25:07	you know the city of babylon the great okay
[231] 25:12	so we understand that that reference in in revelation is an idealization
[232] 25:19	that is has the characteristics of babylon but isn't babylon per se
[233] 25:24	okay the gehenna which is which is a hell
[234] 25:31	uh hell is is a latin term meaning suffering gehennan is the um
[235] 25:37	is is actually in reference to the valley of of hinon
[236] 25:42	and after it was used as a toffee it was used as a garbage dump okay it smelled
[237] 25:50	garbage was burned there you know prisoners were buried there you
[238] 25:55	know because he you know no self-respecting cemetery would take a prisoner
[239] 26:02	so we find people who were crucified actually one of the best evidences we have for crucifixion
[240] 26:09	is a um is a piece of an ankle bone with a nail driven through it that was
[241] 26:16	found in the hennan valley so
[242] 26:21	uh i don't uh it's it's i think this verse is actually talking about the real
[243] 26:26	henon valley here because there was a toffee there and um
[244] 26:33	again child sacrifice was what was going on there so um
[245] 26:39	you could you could have a secondary reading of this text though to infer
[246] 26:45	that that it's a hell like entity but i don't think this this text is specifically
[247] 26:51	talking about the idealization yet we will find that later on however in say
[248] 26:58	the new testament the new testament will idealize this and make it a reference to hell
[249] 27:07	but or the lake of fire but at this point in time in jeremiah 19 here it's just talking
[250] 27:14	about the physical place that valley that's right beside jerusalem so thank you very much for that super
[251] 27:21	chat wonderful super chat very generous thank you very much i hope that answered your question
[252] 27:28	okay uh we've got another super chat from matthew harel for five dollars thank you
[253] 27:35	very much uh why are some cherubim in ezekiel and revelation described as having three
[254] 27:42	animal heads one human head and where do the uh ophanine come from okay
[255] 27:49	i'm gonna have to admit it ignorance the ophanim i'll have to look that up um
[256] 27:55	i think that's a reference to snake deities but i'm not quite sure
[257] 28:00	um but the animal heads and the human heads again
[258] 28:06	um these are spiritual beings these are spiritual beings but they are claimed to have
[259] 28:13	uh animal-like qualities okay sometimes they're being portrayed as
[260] 28:19	having lion features sometimes uh lamb features sometimes eagle features
[261] 28:25	there are many different descriptions
[262] 28:30	for the cherubim and they are not always the same okay
[263] 28:36	like for example one of the things we find is um is when you look at the four horsemen in
[264] 28:43	the book of revelation you know well that refers to an old testament reference
[265] 28:49	and that old testament reference is clearly to angelic figures
[266] 28:54	on these horses okay they are kind of of of angels in
[267] 29:01	that respect as in being messengers so we do see this uh these different
[268] 29:08	descriptions uh being applied but they're they're they're not static
[269] 29:14	you're you're not to take away from this that they are actually look like animals
[270] 29:19	in that respect they are not actually supposed to
[271] 29:25	be um physical beings they're not they're not physical beings
[272] 29:31	they're they're they're spirits but they are spirits that that are being
[273] 29:37	described in natural ways because we're natural we're corporeal beings
[274] 29:43	so because we're corporeal beings in order for us to identify with what these
[275] 29:49	other beings are like the biblical writer is using analogical
[276] 29:56	language they're using an analogy to try to communicate
[277] 30:03	something about these you know the idea that they have three heads they're constantly changing form
[278] 30:10	they have uh six wings showing the splendor
[279] 30:15	and the glory you know two wings to cover the face two wings to fly with two
[280] 30:20	wings to cover their feet well that's that's communicating you know eyes that cannot look upon the glory of
[281] 30:27	god even for them wings that support them and wings to cover their feet
[282] 30:33	and that's actually a really important symbol in the ancient near east
[283] 30:38	um because if uh in the ancient near east you covered your feet to cover your shame
[284] 30:46	you know and it's still true today it is still true today that if you are in in in the middle east
[285] 30:53	and you cross your legs i mean westerners cross their legs all the time and you expose your bottom of your foot
[286] 30:59	to somebody that's a deep insult in fact i was in the cairo airport
[287] 31:06	waiting for my flight i was sitting there with my legs crossed
[288] 31:13	and this old guy with two wives comes and sits down right beside me
[289] 31:20	and he starts chewing me out for having my uh my foot exposed to him so um
[290] 31:26	you know real traditional type real traditional muslim type
[291] 31:31	so that that covering of the feet is um it's very very important
[292] 31:38	uh i in fact on my tour in egypt uh and in january
[293] 31:44	uh we were at the uh the uh garbage city which is has has now become
[294] 31:50	has been basically turned from a slum to a christian enclave inside of cairo
[295] 31:57	which is a fabulous story all of its own it's just an incredible tale of of redemption of of an entire uh
[296] 32:06	basically district that was sort of cast off
[297] 32:11	um there is there's the uh there's a saint there patron saint who who
[298] 32:17	who's said to gouge out his own eyes uh because uh a woman had come in he was
[299] 32:23	a shoemaker and the the woman had exposed her dress up
[300] 32:28	to but not including the knee and one of the interesting things was on the tour is like
[301] 32:35	he's like um you know i don't get this i don't i don't understand this
[302] 32:40	why why would he gouge out his eye just for um
[303] 32:48	exposing up to the knee well culturally that's the equivalent of
[304] 32:54	going all the way so there is there is actually a very very
[305] 33:01	significant you know cultural reference here by the
[306] 33:06	covering of the feet okay so i hope that explains some of
[307] 33:12	this symbolism uh thank you very much for the super chat and the question very much appreciated
[308] 33:20	okay so that's it for the super chats again let's go back to ordinary questions
[309] 33:31	okay it's the wheels with eyes okay so um yeah um again that that does seem to be
[310] 33:39	now the orpheum uh uh the the of uh ophenem the wheels with eyes i thank you
[311] 33:45	for pointing that out um that
[312] 33:50	is it's it's it's it's it's hard to say whether that's an angelic
[313] 33:56	being or just part of the throne okay now one of the things about
[314] 34:03	uh that vision in ezekiel is it's god's portable throne
[315] 34:11	so god is actually coming to the prophet instead of the prophet going to them and and this is this is this is an example
[316] 34:18	of god's relationship becoming more and more distant to mankind
[317] 34:25	now early on in the days of the prophets the prophet was actually
[318] 34:31	lifted up into the throne room of god himself but as israel became more and more
[319] 34:38	sinful over time mankind couldn't be brought back up
[320] 34:43	there so eventually what happened was god came to them and then finally we get to the uh
[321] 34:51	revelation of daniel and um god doesn't show up to the prophets
[322] 34:56	anymore he just sends messengers and angels okay so part of that that what we're being
[323] 35:02	shown here in in the ezekiel revelation with the wheels with eyes is the throne of god
[324] 35:09	okay now you see this this imagery of the throne of god uh of the throne port
[325] 35:14	of thrown in some mesopotamian inscriptions and it's essentially a
[326] 35:20	throne on a platform with four wheels
[327] 35:25	okay and these wheels could move the throne okay so it's kind of like a wagon on
[328] 35:31	which the throne of the king was sat so the wheels with eyes here are you are
[329] 35:38	supposed to get that impression here that this is god's portable throne
[330] 35:43	okay so thank you for explaining what that was because that
[331] 35:49	that opens things up that that makes it clear sorry
[332] 35:56	so uh thank you very much for the super chat very much appreciate that
[333] 36:01	and the clarification okay
[334] 36:08	matthew ralph again for five dollars thank you will you please speak about the priestly garments of leviticus
[335] 36:15	uh does it come from somewhere that's a good question um
[336] 36:21	some of it does some of it doesn't uh the kilt uh practically every priest in the
[337] 36:27	ancient eeries had a kilt okay so um the ephod
[338] 36:34	absolutely he thought the breastplate also very indicative of common
[339] 36:39	ancient eastern religion and that's you know sash also
[340] 36:45	very common now um the turban
[341] 36:50	is not something you find ubiquitous we don't know where the tournament originates from as far as ancient near
[342] 36:56	eastern cultures the idea of the breastplate having 12
[343] 37:03	stones does not have say antecedent at least as
[344] 37:08	far as we can tell um almost none of it except for say the
[345] 37:14	linen aspect seems to be it doesn't the priesthood garments don't seem to be that inspired from
[346] 37:21	egyptian sources so they're getting this from somewhere else if they are borrowing it from say other religious
[347] 37:28	contexts but i'm suspecting here that there's there's there's more involved than just
[348] 37:35	say ancient eastern borrowing here i think they are trying to communicate
[349] 37:40	something new here with with a lot of the high priestly governments
[350] 37:45	so i don't see a lot of ancient eastern analogs to the priestly high priestly
[351] 37:52	garments but that's not saying we won't find it any in the future either so
[352] 37:59	but it doesn't seem to come from egypt that seems to be clear so they are seem to be getting it from
[353] 38:05	something else now there is a possibility the antecedent could have been
[354] 38:11	um what was being used at say the temple of ball
[355] 38:17	now the temple of baal was probably the most influential
[356] 38:24	religious influence uh the early israelites actually had
[357] 38:31	the temple of ball had been at avaris since the roughly the 11th dynasty
[358] 38:38	and it had been there almost the entire time that the israelites were in egypt
[359] 38:44	so it was the largest temple at a varus it was the most important temple atavarus
[360] 38:52	so the practices there and those practices a lot of them came from
[361] 38:58	a levantine context so knowing that
[362] 39:03	there is a possibility that it comes the priestly garments might
[363] 39:09	have been something that had come into israelite culture analogously
[364] 39:16	through um what they knew at um at avarice
[365] 39:21	uh through the rituals of the of the temple of bull we can't say for sure we don't have much
[366] 39:27	inscriptions from that temple we know a little bit about that temple we do know
[367] 39:32	it was something that the hicks office imported with them
[368] 39:38	we do know that that was the temple par excellence there it was basically the
[369] 39:44	center of the asiatic population at avarice so it was it was incredibly
[370] 39:50	important to them and the egyptians themselves had sort of a
[371] 39:56	um on-again off-again sort of um admiration for ball
[372] 40:04	so i hope that answers your question thank you very much for the super chat very much appreciated
[373] 40:16	okay jd freeze for ten dollars hey good to see you um glad you made it
[374] 40:25	uh hebrew greek sometimes use the same words for both breath wind and various
[375] 40:31	spirits yes they do uh for example in hebrew you get ruroc
[376] 40:37	which means both breath and spirit um
[377] 40:44	same with um with the greek the greek also does the same same thing here
[378] 40:51	did egyptian any language also connect these concepts and if so does the uh
[379] 40:57	metaphor extend to human spirits um
[380] 41:03	no uh it's not quite the same in egyptian there is a little bit of that
[381] 41:09	it is thought that that in an egyptian one does breathe when breathes in you were breathing in spirit and exhaling
[382] 41:16	spirit so there is there is that metaphor um
[383] 41:21	however uh that metaphor does not extend to say the
[384] 41:27	soul or the human spirit the one that that that's part of you
[385] 41:33	personally okay so to give you sort of the contrast here
[386] 41:38	uh in in hebrew and greek you know the concept of the spirit and
[387] 41:45	the breath are one the same they're one and the same
[388] 41:51	you know god breathes the breath of life in him and makes
[389] 41:56	him a spirit a human being okay so that breath of god is the same as as the
[390] 42:03	spirit of man so you do have that one-to-one um
[391] 42:09	um correspondence egyptian is different in this way
[392] 42:16	the egyptian concept of humanity you know you breathe in the spirit and you
[393] 42:22	breathe out the spirit but it's it's not that part of you okay
[394] 42:28	the spirit of man is divided into two portions the car and the ba
[395] 42:35	and the car and the ball are sort of they are spirits but they're also independent of the
[396] 42:40	breath so with that said there is there is there's there's
[397] 42:46	there's the metaphor is there it's just not the same connotations and not quite
[398] 42:54	the same implications so we have to kind of understand that
[399] 43:00	there's limits to how far we can take some of these these these these parallels there is a parallel
[400] 43:07	it's just not exactly the same so but at the same time too
[401] 43:14	it's again part of that common ancient near eastern you know um
[402] 43:20	common understanding it's a common understanding that that there is a connection between the breath and the spirit even though it's not exactly the
[403] 43:26	same so anyway thank you for that super chat great to see you
[404] 43:32	all right
[405] 43:38	we've got uh sean horton here uh with a 20 super chat thank you very much
[406] 43:43	for the super chat very much appreciated very generous okay
[407] 43:51	uh why would the copiers of the old testament have left numbers as they were
[408] 43:57	for example age of the patriarchs number of people uh leaving egypt even as the cultural context
[409] 44:05	required to understand what they meant became further away in time
[410] 44:13	that's a very good question there comes a point where
[411] 44:19	one doesn't dicker with the text okay and i think what we're dealing with here
[412] 44:25	is the fact that you know even though later writers did understand and it
[413] 44:32	didn't take very long for for whatever reasons they had for having those
[414] 44:38	numbers okay we we don't understand completely the
[415] 44:44	context of those numbers and there are there are lots of good scholars right now that are doing
[416] 44:49	research on this it's a very very difficult problem
[417] 44:55	um because it's we have to understand when we're looking at this through our lens
[418] 45:01	it's not the same as their lens we're looking at this through
[419] 45:06	not just science and engineering now but accounting you know how much of our world today is
[420] 45:12	has been shaped by accounting we don't even think about this what do you think of us as a technological
[421] 45:17	society it's an engineering society but we're also an accounting society
[422] 45:23	you know the 20th century is essentially built on on accounting
[423] 45:28	you know businesses corporations books budgets
[424] 45:34	um bank accounts uh all these these these little things that
[425] 45:40	that require precision and numbers are part of our world you know
[426] 45:47	we are deeply deeply influenced by accounting
[427] 45:52	ancient world not so much you know
[428] 45:58	you know the ancient world wasn't as concerned with precision you know we see this you know uh when we
[429] 46:05	look at say archaeoastronomy where they're making measurements of the cycles of the moon
[430] 46:10	or the rising of the star sirius if they were off by some days they
[431] 46:16	didn't care that was just oh close enough you know that's that's the way they
[432] 46:22	thought that close enough was good enough
[433] 46:29	you know so um we have to understand that you know
[434] 46:34	when they start using numbers in a specific way they might be using it as an idiomatic
[435] 46:41	expression and if they're using it as an idiomatic expression then it is subject to changes of the
[436] 46:47	language and culture and we do understand that you know by the inter-testamental period a lot of
[437] 46:54	even hebrew scribes started realizing that some of these numbers
[438] 47:00	weren't translating well to ma to the idioms of their day
[439] 47:07	so they're they're left with a question then do they change that text do they update
[440] 47:13	that text or do they just leave it as it is and i think in most cases they just left
[441] 47:19	it as it is you know we see this it not just happening with numbers but with place names
[442] 47:25	you know there are places in the in the old testament that by the inter-testamental period have completely
[443] 47:32	disappeared you know some some of them didn't even make it to say the babylonian exile like for
[444] 47:40	example the city of ramses city of ramses had been completely abandoned and disappeared and you know
[445] 47:46	completely more or less wiped off the map as all that stone was recycled to build tannis
[446] 47:53	that city didn't exist anymore well would they go there what were their
[447] 47:59	options for say the book of exodus or numbers do they go back and change
[448] 48:05	that uh that reference to ramsay's do they replace it with say
[449] 48:10	stay what's its next closest which is tennis um do they put in a scribe of gloss
[450] 48:16	because that was an option too you know ramsay's now called tannis you know
[451] 48:21	not the same but so it's very very clear that um
[452] 48:29	that you know even though the cultural context changed there was a certain respect for the
[453] 48:35	original text that um sort of inhibited
[454] 48:42	them changing it now that's not to say that they didn't sometimes change it
[455] 48:48	like for example that there there were times like for example like with the numbers the generations
[456] 48:54	that um that they were sometimes changed to try to make sense of it
[457] 49:00	because they figured the math didn't work or it had implications that they didn't like
[458] 49:06	so there was that that that was those times when they
[459] 49:12	did change numbers for specific reasons again but that too carried it over
[460] 49:18	problems which is now they're using the context of their time which again now you're having to read
[461] 49:23	the context of of say the late bronze age and then you're having to figure out the context of the
[462] 49:28	inter-testamental period and then try to compare to our own context and it doesn't help us much
[463] 49:34	anymore but uh in fact it makes things more complicated
[464] 49:41	but this is why i also think that it's it's it's great that we have say nowadays that we have
[465] 49:47	uh multiple text types that have been discovered that we can use to figure out
[466] 49:53	in many cases what is the uh audit what the autographs would have originally said
[467] 49:59	so um i i think they were concerned about this
[468] 50:04	i think they did see this as a concern but i also think too that um
[469] 50:10	that you know what could they do about it anyway so anyway uh i hope that answered your
[470] 50:17	question thank you very much for the super chat very much appreciate it
[471] 50:23	okay matthew harrell for another five dollars
[472] 50:29	thank you again um do you know any books about arabian
[473] 50:35	polytheism i can't find any what do you recommend i understand
[474] 50:42	am i ready i i can't find any and what do you recommend i read to understand american
[475] 50:49	beliefs okay well that's a tough one in both cases there's
[476] 50:55	i i know there are some um arabian specialists that have have worked a bit
[477] 51:00	in this field um what you do need to do there's there's
[478] 51:07	um to sort of trace down something on arabian polytheism what you're going to have to do is look at
[479] 51:14	say books that talk about um old arabic
[480] 51:20	the old arabic um countries like uh sabah hadrumuts
[481] 51:27	um those those those nations in this arabian peninsula uh the all the pre-islamic stuff
